t,value
1620558028,0
1620558955,0
1620558985,0
1620559015,13
1620559045,13
1620559075,13
1620559105,13
1620559135,13
1620559165,13
1620559195,13
1620559225,13
1620559255,13
1620559285,13
1620559315,13
1620559345,13
1620559375,13
1620559405,13
1620559435,13
1620559465,13
1620559495,13
1620559525,13
1620559555,13
1620559585,13
1620559615,13
1620559645,13
1620559675,13
1620559705,13
1620559735,13
1620559765,17
1620559795,17
1620559825,18
1620559855,18
1620559885,18
1620559915,18
1620559945,18
1620559975,18
1620560005,18
1620560035,18
1620560065,18
1620560095,18
1620560125,18
1620560155,18
1620560185,18
1620560215,18
1620560245,18
1620560275,18
1620560305,18
1620560335,18
1620560365,18
1620560395,18
1620560425,18
1620560455,18
1620560485,18
1620560515,18
1620560545,18
1620560575,18
1620560605,18
1620560635,18
1620560665,18
1620560695,18
1620560725,18
1620560755,18
1620560785,18
1620560815,18
1620560845,18
1620560875,18
1620560905,18
1620560935,18
1620560965,18
1620560995,18
1620561025,18
1620561055,18
1620561085,18
1620561115,18
1620561145,18
1620561175,18
1620561205,18
1620561235,18
1620561265,18
1620561295,18
1620561325,18
1620561355,18
1620561385,18
1620561415,18
1620561445,18
1620561475,18
1620561505,18
1620561535,18
1620561565,18
1620561595,18
1620561625,18
1620561655,18
1620561685,18
1620561715,18
1620561745,18
1620561775,20
1620561805,20
1620561835,21
1620561865,21
1620561895,21
1620561925,21
1620561955,21
1620561985,21
1620562015,3
1620562045,3
1620562075,3
1620562105,3
1620562135,3
1620562165,3
1620562195,3
1620562225,3
1620562255,3
1620562285,3
1620562315,3
1620562345,3
1620562375,3
1620562405,3
1620562435,3
1620562465,3
1620562495,3
1620562525,3
1620562555,3
1620562585,3
1620562615,3
1620562645,3
1620562675,3
1620562705,3
1620562735,3
1620562765,3
1620562795,3
1620562825,3
1620562855,3
1620562885,3
1620562915,3
1620562945,3
1620562975,3
1620563005,3
1620563035,3
1620563065,3
1620563095,3
1620563125,3
1620563155,3
1620563185,3
1620563215,3
1620563245,3
1620563275,3
1620563305,3
1620563335,3
1620563365,3
1620563395,3
1620563425,3
1620563455,3
1620563485,3
1620563515,3
1620563545,3
1620563575,3
1620563605,3
1620563635,3
1620563665,3
1620563695,3
1620563725,3
1620563755,3
1620563785,3
1620563815,3
1620563845,3
1620563875,3
1620563905,3
1620563935,3
1620563965,3
1620563995,3
1620564025,3
1620564055,3
1620564085,3
1620564115,3
1620564145,3
1620564175,3
1620564205,3
1620564235,3
1620564265,3
1620564295,3
1620564325,3
1620564355,3
1620564385,3
1620564415,3
1620564445,3
1620564475,3
1620564505,3
1620564535,3
1620564565,3
1620564595,3
1620564625,3
1620564655,3
1620564685,3
1620564715,3
1620564745,3
1620564775,3
1620564805,3
1620564835,3
1620564865,3
1620564895,3
1620564925,3
1620564955,3
1620564985,3
1620565015,3
1620565045,3
1620565075,3
1620565105,3
1620565135,3
1620565165,3
1620565195,3
1620565225,3
1620565255,3
1620565285,3
1620565315,3
1620565345,3
1620565375,3
1620565405,3
1620565435,3
1620565465,3
1620565495,3
1620565525,3
1620565555,3
1620565585,3
1620565615,3
1620565645,3
1620565675,3
1620565705,3
1620565735,3
1620565765,3
1620565795,3
1620565825,3
1620565855,3
1620565885,3
1620565915,3
1620565945,3
1620565975,3
1620566005,3
1620566035,3
1620566065,3
1620566095,3
1620566125,3
1620566155,3
1620566185,3
1620566215,3
1620566245,3
1620566275,3
1620566305,3
1620566335,3
1620566365,3
1620566395,3
1620566425,3
1620566455,3
1620566485,3
1620566515,3
1620566545,3
