t,value
1620558028,9223372036854775807
1620558955,9223372036854775807
1620558985,9223372036854775807
1620559015,9223372036854775807
1620559045,9223372036854775807
1620559075,9223372036854775807
1620559105,9223372036854775807
1620559135,9223372036854775807
1620559165,9223372036854775807
1620559195,9223372036854775807
1620559225,9223372036854775807
1620559255,9223372036854775807
1620559285,9223372036854775807
1620559315,9223372036854775807
1620559345,9223372036854775807
1620559375,9223372036854775807
1620559405,9223372036854775807
1620559435,9223372036854775807
1620559465,9223372036854775807
1620559495,9223372036854775807
1620559525,9223372036854775807
1620559555,9223372036854775807
1620559585,9223372036854775807
1620559615,9223372036854775807
1620559645,9223372036854775807
1620559675,9223372036854775807
1620559705,9223372036854775807
1620559735,9223372036854775807
1620559765,9223372036854775807
1620559795,9223372036854775807
1620559825,9223372036854775807
1620559855,9223372036854775807
1620559885,9223372036854775807
1620559915,9223372036854775807
1620559945,9223372036854775807
1620559975,9223372036854775807
1620560005,9223372036854775807
1620560035,9223372036854775807
1620560065,9223372036854775807
1620560095,9223372036854775807
1620560125,9223372036854775807
1620560155,9223372036854775807
1620560185,9223372036854775807
1620560215,9223372036854775807
1620560245,9223372036854775807
1620560275,9223372036854775807
1620560305,9223372036854775807
1620560335,9223372036854775807
1620560365,9223372036854775807
1620560395,9223372036854775807
1620560425,9223372036854775807
1620560455,9223372036854775807
1620560485,9223372036854775807
1620560515,9223372036854775807
1620560545,9223372036854775807
1620560575,9223372036854775807
1620560605,9223372036854775807
1620560635,9223372036854775807
1620560665,9223372036854775807
1620560695,9223372036854775807
1620560725,9223372036854775807
1620560755,9223372036854775807
1620560785,9223372036854775807
1620560815,9223372036854775807
1620560845,9223372036854775807
1620560875,9223372036854775807
1620560905,9223372036854775807
1620560935,9223372036854775807
1620560965,9223372036854775807
1620560995,9223372036854775807
1620561025,9223372036854775807
1620561055,9223372036854775807
1620561085,9223372036854775807
1620561115,9223372036854775807
1620561145,9223372036854775807
1620561175,9223372036854775807
1620561205,9223372036854775807
1620561235,9223372036854775807
1620561265,9223372036854775807
1620561295,9223372036854775807
1620561325,9223372036854775807
1620561355,9223372036854775807
1620561385,9223372036854775807
1620561415,9223372036854775807
1620561445,9223372036854775807
1620561475,9223372036854775807
1620561505,9223372036854775807
1620561535,9223372036854775807
1620561565,9223372036854775807
1620561595,9223372036854775807
1620561625,9223372036854775807
1620561655,9223372036854775807
1620561685,9223372036854775807
1620561715,9223372036854775807
1620561745,9223372036854775807
1620561775,9223372036854775807
1620561805,9223372036854775807
1620561835,9223372036854775807
1620561865,9223372036854775807
1620561895,9223372036854775807
1620561925,9223372036854775807
1620561955,9223372036854775807
1620561985,9223372036854775807
1620562015,9223372036854775807
1620562045,9223372036854775807
1620562075,9223372036854775807
1620562105,9223372036854775807
1620562135,9223372036854775807
1620562165,9223372036854775807
1620562195,9223372036854775807
1620562225,9223372036854775807
1620562255,9223372036854775807
1620562285,9223372036854775807
1620562315,9223372036854775807
1620562345,9223372036854775807
1620562375,9223372036854775807
1620562405,9223372036854775807
1620562435,9223372036854775807
1620562465,9223372036854775807
1620562495,9223372036854775807
1620562525,9223372036854775807
1620562555,9223372036854775807
1620562585,9223372036854775807
1620562615,9223372036854775807
1620562645,9223372036854775807
1620562675,9223372036854775807
1620562705,9223372036854775807
1620562735,9223372036854775807
1620562765,9223372036854775807
1620562795,9223372036854775807
1620562825,9223372036854775807
1620562855,9223372036854775807
1620562885,9223372036854775807
1620562915,9223372036854775807
1620562945,9223372036854775807
1620562975,9223372036854775807
1620563005,9223372036854775807
1620563035,9223372036854775807
1620563065,9223372036854775807
1620563095,9223372036854775807
1620563125,9223372036854775807
1620563155,9223372036854775807
1620563185,9223372036854775807
1620563215,9223372036854775807
1620563245,9223372036854775807
1620563275,9223372036854775807
1620563305,9223372036854775807
1620563335,9223372036854775807
1620563365,9223372036854775807
1620563395,9223372036854775807
1620563425,9223372036854775807
1620563455,9223372036854775807
1620563485,9223372036854775807
1620563515,9223372036854775807
1620563545,9223372036854775807
1620563575,9223372036854775807
1620563605,9223372036854775807
1620563635,9223372036854775807
1620563665,9223372036854775807
1620563695,9223372036854775807
1620563725,9223372036854775807
1620563755,9223372036854775807
1620563785,9223372036854775807
1620563815,9223372036854775807
1620563845,9223372036854775807
1620563875,9223372036854775807
1620563905,9223372036854775807
1620563935,9223372036854775807
1620563965,9223372036854775807
1620563995,9223372036854775807
1620564025,9223372036854775807
1620564055,9223372036854775807
1620564085,9223372036854775807
1620564115,9223372036854775807
1620564145,9223372036854775807
1620564175,9223372036854775807
1620564205,9223372036854775807
1620564235,9223372036854775807
1620564265,9223372036854775807
1620564295,9223372036854775807
1620564325,9223372036854775807
1620564355,9223372036854775807
1620564385,9223372036854775807
1620564415,9223372036854775807
1620564445,9223372036854775807
1620564475,9223372036854775807
1620564505,9223372036854775807
1620564535,9223372036854775807
1620564565,9223372036854775807
1620564595,9223372036854775807
1620564625,9223372036854775807
1620564655,9223372036854775807
1620564685,9223372036854775807
1620564715,9223372036854775807
1620564745,9223372036854775807
1620564775,9223372036854775807
1620564805,9223372036854775807
1620564835,9223372036854775807
1620564865,9223372036854775807
1620564895,9223372036854775807
1620564925,9223372036854775807
1620564955,9223372036854775807
1620564985,9223372036854775807
1620565015,9223372036854775807
1620565045,9223372036854775807
1620565075,9223372036854775807
1620565105,9223372036854775807
1620565135,9223372036854775807
1620565165,9223372036854775807
1620565195,9223372036854775807
1620565225,9223372036854775807
1620565255,9223372036854775807
1620565285,9223372036854775807
1620565315,9223372036854775807
1620565345,9223372036854775807
1620565375,9223372036854775807
1620565405,9223372036854775807
1620565435,9223372036854775807
1620565465,9223372036854775807
1620565495,9223372036854775807
1620565525,9223372036854775807
1620565555,9223372036854775807
1620565585,9223372036854775807
1620565615,9223372036854775807
1620565645,9223372036854775807
1620565675,9223372036854775807
1620565705,9223372036854775807
1620565735,9223372036854775807
1620565765,9223372036854775807
1620565795,9223372036854775807
1620565825,9223372036854775807
1620565855,9223372036854775807
1620565885,9223372036854775807
1620565915,9223372036854775807
1620565945,9223372036854775807
1620565975,9223372036854775807
1620566005,9223372036854775807
1620566035,9223372036854775807
1620566065,9223372036854775807
1620566095,9223372036854775807
1620566125,9223372036854775807
1620566155,9223372036854775807
1620566185,9223372036854775807
1620566215,9223372036854775807
1620566245,9223372036854775807
1620566275,9223372036854775807
1620566305,9223372036854775807
1620566335,9223372036854775807
1620566365,9223372036854775807
1620566395,9223372036854775807
1620566425,9223372036854775807
1620566455,9223372036854775807
1620566485,9223372036854775807
1620566515,9223372036854775807
1620566545,9223372036854775807
1620566575,9223372036854775807
1620566605,9223372036854775807
1620566635,9223372036854775807
1620566665,9223372036854775807
1620566695,9223372036854775807
1620566725,9223372036854775807
1620566755,9223372036854775807
1620566785,9223372036854775807
1620566815,9223372036854775807
1620566845,9223372036854775807
1620566875,9223372036854775807
1620566905,9223372036854775807
1620566935,9223372036854775807
1620566965,9223372036854775807
1620566995,9223372036854775807
1620567025,9223372036854775807
1620567055,9223372036854775807
1620567085,9223372036854775807
1620567115,9223372036854775807
1620567145,9223372036854775807
1620567175,9223372036854775807
1620567205,9223372036854775807
1620567235,9223372036854775807
1620567265,9223372036854775807
1620567295,9223372036854775807
1620567325,9223372036854775807
1620567355,9223372036854775807
1620567385,9223372036854775807
1620567415,9223372036854775807
1620567445,9223372036854775807
1620567475,9223372036854775807
1620567505,9223372036854775807
1620567535,9223372036854775807
1620567565,9223372036854775807
1620567595,9223372036854775807
1620567625,9223372036854775807
1620567655,9223372036854775807
1620567685,9223372036854775807
1620567715,9223372036854775807
1620567745,9223372036854775807
1620567775,9223372036854775807
1620567805,9223372036854775807
1620567835,9223372036854775807
1620567865,9223372036854775807
1620567895,9223372036854775807
1620567925,9223372036854775807
1620567955,9223372036854775807
1620567985,9223372036854775807
1620568015,9223372036854775807
1620568045,9223372036854775807
1620568075,9223372036854775807
1620568105,9223372036854775807
1620568135,9223372036854775807
1620568165,9223372036854775807
1620568195,9223372036854775807
1620568225,9223372036854775807
1620568255,9223372036854775807
1620568285,9223372036854775807
1620568315,9223372036854775807
1620568345,9223372036854775807
1620568375,9223372036854775807
1620568405,9223372036854775807
1620568435,9223372036854775807
1620568465,9223372036854775807
1620568495,9223372036854775807
1620568525,9223372036854775807
