t,value
1620558955,594
1620558985,3880
1620559015,493
1620559045,3788
1620559075,420
1620559105,3722
1620559135,314
1620559165,3625
1620559195,263
1620559225,3551
1620559255,174
1620559285,3467
1620559315,108
1620559345,3411
1620559375,47
1620559405,3360
1620559435,0
1620559465,3306
1620559495,6619
1620559525,3255
1620559555,6562
1620559585,3186
1620559615,6485
1620559645,3115
1620559675,6411
1620559705,3038
1620559735,6335
1620559765,2976
1620559795,6277
1620559825,2887
1620559855,6175
1620559885,2794
1620559915,6098
1620559945,2719
1620559975,6039
1620560005,2666
1620560035,5995
1620560065,2631
1620560095,5936
1620560125,2570
1620560155,5869
1620560185,2492
1620560215,5796
1620560245,2426
1620560275,5718
1620560305,2320
1620560335,5646
1620560365,2258
1620560395,5558
1620560425,2185
1620560455,5498
1620560485,2121
1620560515,5435
1620560545,2056
1620560575,5386
1620560605,2010
1620560635,5321
1620560665,1941
1620560695,5244
1620560725,1874
1620560755,2814
1620560785,1818
1620560815,5128
1620560845,1751
1620560875,5064
1620560905,1690
1620560935,4996
1620560965,1642
1620560995,4965
1620561025,1599
1620561055,4915
1620561085,1541
1620561115,4861
1620561145,1466
1620561175,4766
1620561205,1402
1620561235,4699
1620561265,1328
1620561295,4625
1620561325,1250
1620561355,4534
1620561385,1153
1620561415,4462
1620561445,1107
1620561475,4400
1620561505,1022
1620561535,4329
1620561565,947
1620561595,4261
1620561625,868
1620561655,4162
1620561685,781
1620561715,4085
1620561745,723
1620561775,4031
1620561805,659
1620561835,3969
1620561865,610
1620561895,3927
1620561925,545
1620561955,3832
1620561985,465
1620562015,3779
1620562045,405
1620562075,3720
1620562105,360
1620562135,3672
1620562165,311
1620562195,3624
1620562225,248
1620562255,3566
1620562285,186
1620562315,3485
1620562345,93
1620562375,3402
1620562405,30
1620562435,3327
1620562465,6635
1620562495,3279
1620562525,6593
1620562555,3198
1620562585,6506
1620562615,3143
1620562645,6442
1620562675,3067
1620562705,6377
1620562735,3015
1620562765,6315
1620562795,2953
1620562825,6265
1620562855,2890
1620562885,6198
1620562915,2831
1620562945,6149
1620562975,2757
1620563005,6057
1620563035,2697
1620563065,6000
1620563095,2615
1620563125,5933
1620563155,2581
1620563185,5873
1620563215,2508
1620563245,5834
1620563275,2461
1620563305,5762
1620563335,2397
1620563365,5700
1620563395,2322
1620563425,5646
1620563455,2279
1620563485,5583
1620563515,2230
1620563545,5527
1620563575,2163
1620563605,5481
1620563635,2116
1620563665,5439
1620563695,2050
1620563725,5359
1620563755,1990
1620563785,5298
1620563815,1934
1620563845,5217
1620563875,1850
1620563905,5162
1620563935,1773
1620563965,5089
1620563995,1717
1620564025,5022
1620564055,1653
1620564085,4973
1620564115,1593
1620564145,4901
1620564175,1527
1620564205,4814
1620564235,1424
1620564265,4724
1620564295,1365
1620564325,4657
1620564355,1281
1620564385,4600
1620564415,1244
1620564445,4522
1620564475,1156
1620564505,4453
1620564535,1084
1620564565,4359
1620564595,997
1620564625,4318
1620564655,926
1620564685,4218
1620564715,858
1620564745,4174
1620564775,795
1620564805,4095
1620564835,735
1620564865,4055
1620564895,686
1620564925,3984
1620564955,625
1620564985,3918
1620565015,545
1620565045,3835
1620565075,456
1620565105,3763
1620565135,403
1620565165,3727
1620565195,341
1620565225,3629
1620565255,232
1620565285,3530
1620565315,182
1620565345,3480
1620565375,109
1620565405,3397
1620565435,47
1620565465,3347
1620565495,6638
1620565525,3270
1620565555,6587
1620565585,3221
1620565615,6527
1620565645,3159
1620565675,6458
1620565705,3078
1620565735,6376
1620565765,3002
1620565795,6310
1620565825,2929
1620565855,6217
1620565885,2868
1620565915,6157
1620565945,2780
1620565975,6084
1620566005,2706
1620566035,5998
1620566065,2647
1620566095,5944
1620566125,2576
1620566155,5854
1620566185,2480
1620566215,5784
1620566245,2420
1620566275,5710
1620566305,2338
1620566335,5655
1620566365,2292
1620566395,5585
1620566425,2223
1620566455,5525
1620566485,2149
1620566515,5422
1620566545,2057
1620566575,5356
1620566605,1997
1620566635,5297
1620566665,1929
1620566695,5211
1620566725,1807
1620566755,5123
1620566785,1758
1620566815,5042
1620566845,1665
1620566875,4985
1620566905,1606
1620566935,4908
1620566965,1530
1620566995,4842
1620567025,1465
1620567055,4774
1620567085,1402
1620567115,4703
1620567145,1325
1620567175,4634
1620567205,1267
1620567235,4595
1620567265,1221
1620567295,4534
1620567325,1170
1620567355,4462
1620567385,1083
1620567415,4404
1620567445,1020
1620567475,4335
1620567505,964
1620567535,4276
1620567565,911
1620567595,4224
1620567625,855
1620567655,4162
1620567685,808
1620567715,4104
1620567745,751
1620567775,4050
1620567805,722
