t,value
1620558028,0
1620558955,0
1620558985,0
1620559015,51
1620559045,51
1620559075,51
1620559105,51
1620559135,51
1620559165,51
1620559195,51
1620559225,51
1620559255,51
1620559285,51
1620559315,51
1620559345,51
1620559375,51
1620559405,51
1620559435,51
1620559465,51
1620559495,51
1620559525,51
1620559555,51
1620559585,51
1620559615,51
1620559645,51
1620559675,51
1620559705,51
1620559735,51
1620559765,51
1620559795,51
1620559825,51
1620559855,51
1620559885,51
1620559915,51
1620559945,51
1620559975,51
1620560005,51
1620560035,51
1620560065,51
1620560095,51
1620560125,51
1620560155,51
1620560185,51
1620560215,51
1620560245,51
1620560275,51
1620560305,51
1620560335,51
1620560365,51
1620560395,51
1620560425,51
1620560455,51
1620560485,51
1620560515,51
1620560545,51
1620560575,51
1620560605,51
1620560635,51
1620560665,51
1620560695,51
1620560725,51
1620560755,171
1620560785,171
1620560815,171
1620560845,171
1620560875,171
1620560905,171
1620560935,171
1620560965,171
1620560995,171
1620561025,171
1620561055,171
1620561085,171
1620561115,171
1620561145,171
1620561175,171
1620561205,171
1620561235,171
1620561265,171
1620561295,171
1620561325,171
1620561355,171
1620561385,171
1620561415,171
1620561445,171
1620561475,171
1620561505,171
1620561535,171
1620561565,171
1620561595,171
1620561625,171
1620561655,171
1620561685,171
1620561715,171
1620561745,171
1620561775,171
1620561805,171
1620561835,171
1620561865,171
1620561895,171
1620561925,171
1620561955,171
1620561985,171
1620562015,171
1620562045,171
1620562075,171
1620562105,171
1620562135,171
1620562165,171
1620562195,171
1620562225,171
1620562255,171
1620562285,171
1620562315,171
1620562345,171
1620562375,171
1620562405,171
1620562435,171
1620562465,171
1620562495,171
1620562525,171
1620562555,171
1620562585,171
1620562615,171
1620562645,171
1620562675,171
1620562705,171
1620562735,171
1620562765,171
1620562795,171
1620562825,171
1620562855,171
1620562885,171
1620562915,171
1620562945,171
1620562975,171
1620563005,171
1620563035,171
1620563065,171
1620563095,171
1620563125,171
1620563155,171
1620563185,171
1620563215,171
1620563245,171
1620563275,171
1620563305,171
1620563335,171
1620563365,171
1620563395,171
1620563425,171
1620563455,171
1620563485,171
1620563515,171
1620563545,171
1620563575,171
1620563605,171
1620563635,171
1620563665,171
1620563695,171
1620563725,171
1620563755,171
1620563785,171
1620563815,171
1620563845,171
1620563875,171
1620563905,171
1620563935,171
1620563965,171
1620563995,171
1620564025,171
1620564055,171
1620564085,171
1620564115,171
1620564145,171
1620564175,171
1620564205,171
1620564235,171
1620564265,171
1620564295,171
1620564325,171
1620564355,171
1620564385,171
1620564415,171
1620564445,171
1620564475,171
1620564505,171
1620564535,171
1620564565,171
1620564595,171
1620564625,171
1620564655,171
1620564685,171
1620564715,171
1620564745,171
1620564775,171
1620564805,171
1620564835,171
1620564865,171
1620564895,171
1620564925,171
1620564955,171
1620564985,171
1620565015,171
1620565045,171
1620565075,171
1620565105,171
1620565135,171
1620565165,171
1620565195,171
1620565225,171
1620565255,171
1620565285,171
1620565315,171
1620565345,171
1620565375,171
1620565405,171
1620565435,171
1620565465,171
1620565495,171
1620565525,171
1620565555,171
1620565585,171
1620565615,171
1620565645,171
1620565675,171
1620565705,171
1620565735,171
1620565765,171
1620565795,171
1620565825,171
1620565855,171
1620565885,171
1620565915,171
1620565945,171
1620565975,171
1620566005,171
1620566035,171
1620566065,171
1620566095,171
1620566125,171
1620566155,171
1620566185,171
1620566215,171
1620566245,171
1620566275,171
1620566305,171
1620566335,171
1620566365,171
1620566395,171
1620566425,171
1620566455,171
1620566485,171
1620566515,171
1620566545,171
