t,value
1620558028,0
1620558955,0
1620558985,0
1620559015,75
1620559045,75
1620559075,75
1620559105,75
1620559135,75
1620559165,75
1620559195,75
1620559225,75
1620559255,75
1620559285,75
1620559315,75
1620559345,75
1620559375,75
1620559405,75
1620559435,75
1620559465,75
1620559495,75
1620559525,75
1620559555,75
1620559585,75
1620559615,75
1620559645,75
1620559675,75
1620559705,75
1620559735,75
1620559765,75
1620559795,75
1620559825,75
1620559855,75
1620559885,75
1620559915,75
1620559945,75
1620559975,75
1620560005,75
1620560035,75
1620560065,75
1620560095,75
1620560125,75
1620560155,75
1620560185,75
1620560215,75
1620560245,75
1620560275,75
1620560305,75
1620560335,75
1620560365,75
1620560395,75
1620560425,75
1620560455,75
1620560485,75
1620560515,75
1620560545,75
1620560575,75
1620560605,75
1620560635,75
1620560665,75
1620560695,75
1620560725,75
1620560755,196
1620560785,196
1620560815,196
1620560845,196
1620560875,196
1620560905,196
1620560935,196
1620560965,196
1620560995,196
1620561025,196
1620561055,196
1620561085,196
1620561115,196
1620561145,196
1620561175,196
1620561205,196
1620561235,196
1620561265,196
1620561295,196
1620561325,196
1620561355,196
1620561385,196
1620561415,196
1620561445,196
1620561475,196
1620561505,196
1620561535,196
1620561565,196
1620561595,196
1620561625,196
1620561655,196
1620561685,196
1620561715,196
1620561745,196
1620561775,196
1620561805,196
1620561835,196
1620561865,196
1620561895,196
1620561925,196
1620561955,196
1620561985,196
1620562015,196
1620562045,196
1620562075,196
1620562105,196
1620562135,196
1620562165,196
1620562195,196
1620562225,196
1620562255,196
1620562285,196
1620562315,196
1620562345,196
1620562375,196
1620562405,196
1620562435,196
1620562465,196
1620562495,196
1620562525,196
1620562555,196
1620562585,196
1620562615,196
1620562645,196
1620562675,196
1620562705,196
1620562735,196
1620562765,196
1620562795,196
1620562825,196
1620562855,196
1620562885,196
1620562915,196
1620562945,196
1620562975,196
1620563005,196
1620563035,196
1620563065,196
1620563095,196
1620563125,196
1620563155,196
1620563185,196
1620563215,196
1620563245,196
1620563275,196
1620563305,196
1620563335,196
1620563365,196
1620563395,196
1620563425,196
1620563455,196
1620563485,196
1620563515,196
1620563545,196
1620563575,196
1620563605,196
1620563635,196
1620563665,196
1620563695,196
1620563725,196
1620563755,196
1620563785,196
1620563815,196
1620563845,196
1620563875,196
1620563905,196
1620563935,196
1620563965,196
1620563995,196
1620564025,196
1620564055,196
1620564085,196
1620564115,196
1620564145,196
1620564175,196
1620564205,196
1620564235,196
1620564265,196
1620564295,196
1620564325,196
1620564355,196
1620564385,196
1620564415,196
1620564445,196
1620564475,196
1620564505,196
1620564535,196
1620564565,196
1620564595,196
1620564625,196
1620564655,196
1620564685,196
1620564715,196
1620564745,196
1620564775,196
1620564805,196
1620564835,196
1620564865,196
1620564895,196
1620564925,196
1620564955,196
1620564985,196
1620565015,196
1620565045,196
1620565075,196
1620565105,196
1620565135,196
1620565165,196
1620565195,196
1620565225,196
1620565255,196
1620565285,196
1620565315,196
1620565345,196
1620565375,196
1620565405,196
1620565435,196
1620565465,196
1620565495,196
1620565525,196
1620565555,196
1620565585,196
1620565615,196
1620565645,196
1620565675,196
1620565705,196
1620565735,196
1620565765,196
1620565795,196
1620565825,196
1620565855,196
1620565885,196
1620565915,196
1620565945,196
1620565975,196
1620566005,196
1620566035,196
1620566065,196
1620566095,196
1620566125,196
1620566155,196
1620566185,196
1620566215,196
1620566245,196
1620566275,196
1620566305,196
1620566335,196
1620566365,196
1620566395,196
1620566425,196
1620566455,196
1620566485,196
1620566515,196
1620566545,196
