t,value
1620558028,811008
1620558955,820269
1620558985,820269
1620559015,820269
1620559045,820269
1620559075,820269
1620559105,820269
1620559135,820269
1620559165,820269
1620559195,820269
1620559225,820269
1620559255,820269
1620559285,820269
1620559315,820269
1620559345,820269
1620559375,820269
1620559405,820269
1620559435,820269
1620559465,820269
1620559495,820269
1620559525,843722
1620559555,843722
1620559585,843722
1620559615,843722
1620559645,843722
1620559675,843722
1620559705,843722
1620559735,843722
1620559765,843722
1620559795,843722
1620559825,843722
1620559855,843722
1620559885,843722
1620559915,843722
1620559945,843722
1620559975,843722
1620560005,843722
1620560035,843722
1620560065,843722
1620560095,843722
1620560125,909450
1620560155,909450
1620560185,909450
1620560215,909450
1620560245,909450
1620560275,909450
1620560305,909450
1620560335,909450
1620560365,909450
1620560395,909450
1620560425,909450
1620560455,909450
1620560485,909450
1620560515,909450
1620560545,909450
1620560575,909450
1620560605,909450
1620560635,909450
1620560665,909450
1620560695,909450
1620560725,909450
1620560755,909450
1620560785,909450
1620560815,909450
1620560845,909450
1620560875,909450
1620560905,909450
1620560935,909450
1620560965,909450
1620560995,909450
1620561025,909450
1620561055,909450
1620561085,909450
1620561115,909450
1620561145,909450
1620561175,909450
1620561205,909450
1620561235,909450
1620561265,909450
1620561295,909450
1620561325,941774
1620561355,941774
1620561385,941774
1620561415,941774
1620561445,941774
1620561475,941774
1620561505,941774
1620561535,941774
1620561565,941774
1620561595,941774
1620561625,941774
1620561655,941774
1620561685,941774
1620561715,941774
1620561745,941774
1620561775,941774
1620561805,941774
1620561835,941774
1620561865,941774
1620561895,941774
1620561925,941774
1620561955,941774
1620561985,941774
1620562015,941774
1620562045,941774
1620562075,941774
1620562105,941774
1620562135,941774
1620562165,941774
1620562195,941774
1620562225,941774
1620562255,941774
1620562285,941774
1620562315,941774
1620562345,941774
1620562375,941774
1620562405,941774
1620562435,941774
1620562465,941774
1620562495,941774
1620562525,941774
1620562555,941774
1620562585,941774
1620562615,941774
1620562645,941774
1620562675,941774
1620562705,941774
1620562735,941774
1620562765,941774
1620562795,941774
1620562825,941774
1620562855,941774
1620562885,941774
1620562915,941774
1620562945,941774
1620562975,941774
1620563005,941774
1620563035,941774
1620563065,941774
1620563095,941774
1620563125,941774
1620563155,941774
1620563185,941774
1620563215,941774
1620563245,941774
1620563275,941774
1620563305,941774
1620563335,941774
1620563365,941774
1620563395,941774
1620563425,941774
1620563455,941774
1620563485,941774
1620563515,941774
1620563545,941774
1620563575,941774
1620563605,941774
1620563635,941774
1620563665,941774
1620563695,941774
1620563725,941774
1620563755,941774
1620563785,941774
1620563815,941774
1620563845,941774
1620563875,941774
1620563905,941774
1620563935,941774
1620563965,941774
1620563995,941774
1620564025,941774
1620564055,941774
1620564085,941774
1620564115,941774
1620564145,941774
1620564175,941774
1620564205,941774
1620564235,941774
1620564265,941774
1620564295,941774
1620564325,941774
1620564355,941774
1620564385,941774
1620564415,941774
1620564445,941774
1620564475,941774
1620564505,941774
1620564535,941774
1620564565,941774
1620564595,941774
1620564625,941774
1620564655,941774
1620564685,941774
1620564715,941774
1620564745,941774
1620564775,941774
1620564805,941774
1620564835,941774
1620564865,941774
1620564895,941774
1620564925,941774
1620564955,941774
1620564985,941774
1620565015,941774
1620565045,941774
1620565075,941774
1620565105,941774
1620565135,941774
1620565165,941774
1620565195,941774
1620565225,941774
1620565255,941774
1620565285,941774
1620565315,941774
1620565345,941774
1620565375,941774
1620565405,941774
1620565435,941774
1620565465,941774
1620565495,941774
1620565525,941774
1620565555,941774
1620565585,941774
1620565615,941774
1620565645,941774
1620565675,941774
1620565705,941774
1620565735,941774
1620565765,941774
1620565795,941774
1620565825,941774
1620565855,941774
1620565885,941774
1620565915,941774
1620565945,941774
1620565975,941774
1620566005,941774
1620566035,941774
