t,value
1620558028,0
1620558955,21
1620558985,21
1620559015,21
1620559045,21
1620559075,21
1620559105,21
1620559135,21
1620559165,21
1620559195,21
1620559225,21
1620559255,21
1620559285,21
1620559315,21
1620559345,21
1620559375,21
1620559405,21
1620559435,21
1620559465,21
1620559495,21
1620559525,21
1620559555,21
1620559585,21
1620559615,21
1620559645,21
1620559675,21
1620559705,21
1620559735,21
1620559765,21
1620559795,21
1620559825,21
1620559855,21
1620559885,21
1620559915,21
1620559945,21
1620559975,21
1620560005,21
1620560035,21
1620560065,21
1620560095,21
1620560125,21
1620560155,21
1620560185,21
1620560215,21
1620560245,21
1620560275,21
1620560305,21
1620560335,21
1620560365,21
1620560395,21
1620560425,21
1620560455,21
1620560485,21
1620560515,21
1620560545,21
1620560575,21
1620560605,21
1620560635,21
1620560665,21
1620560695,21
1620560725,21
1620560755,21
1620560785,21
1620560815,21
1620560845,21
1620560875,21
1620560905,21
1620560935,21
1620560965,21
1620560995,21
1620561025,21
1620561055,21
1620561085,21
1620561115,21
1620561145,21
1620561175,21
1620561205,21
1620561235,21
1620561265,21
1620561295,21
1620561325,21
1620561355,21
1620561385,21
1620561415,21
1620561445,21
1620561475,21
1620561505,21
1620561535,21
1620561565,21
1620561595,21
1620561625,21
1620561655,21
1620561685,21
1620561715,21
1620561745,21
1620561775,21
1620561805,21
1620561835,21
1620561865,21
1620561895,21
1620561925,21
1620561955,21
1620561985,21
1620562015,21
1620562045,21
1620562075,21
1620562105,21
1620562135,21
1620562165,21
1620562195,21
1620562225,21
1620562255,21
1620562285,21
1620562315,21
1620562345,21
1620562375,21
1620562405,21
1620562435,21
1620562465,21
1620562495,21
1620562525,21
1620562555,21
1620562585,21
1620562615,21
1620562645,21
1620562675,21
1620562705,21
1620562735,21
1620562765,21
1620562795,21
1620562825,21
1620562855,21
1620562885,21
1620562915,21
1620562945,21
1620562975,21
1620563005,21
1620563035,21
1620563065,21
1620563095,21
1620563125,21
1620563155,21
1620563185,21
1620563215,21
1620563245,21
1620563275,21
1620563305,21
1620563335,21
1620563365,21
1620563395,21
1620563425,21
1620563455,21
1620563485,21
1620563515,21
1620563545,21
1620563575,21
1620563605,21
1620563635,21
1620563665,21
1620563695,21
1620563725,21
1620563755,21
1620563785,21
1620563815,21
1620563845,21
1620563875,21
1620563905,21
1620563935,21
1620563965,21
1620563995,21
1620564025,21
1620564055,21
1620564085,21
1620564115,21
1620564145,21
1620564175,21
1620564205,21
1620564235,21
1620564265,21
1620564295,21
1620564325,21
1620564355,21
1620564385,21
1620564415,21
1620564445,21
1620564475,21
1620564505,21
1620564535,21
1620564565,21
1620564595,21
1620564625,21
1620564655,21
1620564685,21
1620564715,21
1620564745,21
1620564775,21
1620564805,21
1620564835,21
1620564865,21
1620564895,21
1620564925,21
1620564955,21
1620564985,21
1620565015,21
1620565045,21
1620565075,21
1620565105,21
1620565135,21
1620565165,21
1620565195,21
1620565225,21
1620565255,21
1620565285,21
1620565315,21
1620565345,21
1620565375,21
1620565405,21
1620565435,21
1620565465,21
1620565495,21
1620565525,21
1620565555,21
1620565585,21
1620565615,21
1620565645,21
1620565675,21
1620565705,21
1620565735,21
1620565765,21
1620565795,21
1620565825,21
1620565855,21
1620565885,21
1620565915,21
1620565945,21
1620565975,21
1620566005,21
1620566035,21
1620566065,21
1620566095,21
1620566125,21
1620566155,21
1620566185,21
1620566215,21
1620566245,21
1620566275,21
1620566305,21
1620566335,21
1620566365,21
1620566395,21
1620566425,21
1620566455,21
1620566485,21
1620566515,21
1620566545,21
1620566575,21
1620566605,21
1620566635,21
1620566665,21
1620566695,21
1620566725,21
1620566755,21
1620566785,21
1620566815,21
1620566845,21
1620566875,21
1620566905,21
1620566935,21
1620566965,21
1620566995,21
1620567025,21
1620567055,21
1620567085,21
1620567115,21
1620567145,21
1620567175,21
1620567205,21
1620567235,21
1620567265,21
1620567295,21
1620567325,21
1620567355,21
1620567385,21
1620567415,21
1620567445,21
1620567475,21
1620567505,21
1620567535,21
1620567565,21
1620567595,21
1620567625,21
1620567655,21
1620567685,21
1620567715,21
1620567745,21
1620567775,21
1620567805,21
1620567835,21
1620567865,21
1620567895,21
1620567925,21
1620567955,21
1620567985,21
1620568015,21
1620568045,21
1620568075,21
1620568105,21
1620568135,21
1620568165,21
1620568195,21
1620568225,21
1620568255,21
1620568285,21
1620568315,21
1620568345,21
1620568375,21
1620568405,21
1620568435,21
1620568465,21
1620568495,21
1620568525,21
1620568555,21
1620568585,21
1620568615,21
1620568645,21
1620568675,21
1620568705,21
1620568735,21
1620568765,21
1620568795,21
1620568825,21
1620568855,21
1620568885,21
1620568915,21
1620568945,21
1620568975,21
1620569005,21
1620569035,21
1620569065,21
1620569095,21
1620569125,21
1620569155,21
1620569185,21
1620569215,21
1620569245,21
1620569275,21
1620569305,21
1620569335,21
1620569365,21
1620569395,21
1620569425,21
1620569455,21
1620569485,21
1620569515,21
1620569545,21
1620569575,21
1620569605,21
1620569635,21
1620569665,21
1620569695,21
1620569725,21
1620569755,21
1620569785,21
1620569815,21
1620569845,21
1620569875,21
1620569905,21
1620569935,21
1620569965,21
1620569995,21
1620570025,21
1620570055,21
1620570085,21
1620570115,21
1620570145,21
1620570175,21
1620570205,21
1620570235,21
1620570265,21
1620570295,21
1620570325,21
1620570355,21
1620570385,21
1620570415,21
1620570445,21
1620570475,21
1620570505,21
1620570535,21
1620570565,21
1620570595,21
1620570625,21
1620570655,21
1620570685,21
1620570715,21
1620570745,21
1620570775,21
1620570805,21
1620570835,21
1620570865,21
1620570895,21
1620570925,21
1620570955,21
1620570985,21
1620571015,21
1620571045,21
1620571075,21
1620571105,21
1620571135,21
1620571165,21
1620571195,21
1620571225,21
1620571255,21
1620571285,21
1620571315,21
1620571345,21
1620571375,21
1620571405,21
1620571435,21
1620571465,21
1620571495,21
1620571525,21
1620571555,21
1620571585,21
1620571615,21
1620571645,21
1620571675,21
1620571705,21
1620571735,21
1620571765,21
1620571795,21
1620571825,21
1620571855,21
1620571885,21
1620571915,21
1620571945,21
1620571975,21
1620572005,21
1620572035,21
1620572065,21
1620572095,21
1620572125,21
1620572155,21
1620572185,21
1620572215,21
1620572245,21
1620572275,21
1620572305,21
1620572335,21
1620572365,21
1620572395,21
1620572425,21
1620572455,21
1620572485,21
1620572515,21
1620572545,21
1620572575,21
1620572605,21
1620572635,21
1620572665,21
1620572695,21
1620572725,21
1620572755,21
1620572785,21
1620572815,21
1620572845,21
1620572875,21
1620572905,21
1620572935,21
1620572965,21
1620572995,21
1620573025,21
1620573055,21
1620573085,21
1620573115,21
1620573145,21
1620573175,21
1620573205,21
1620573235,21
1620573265,21
1620573295,21
1620573325,21
1620573355,21
1620573385,21
1620573415,21
1620573445,21
1620573475,21
1620573505,21
1620573535,21
1620573565,21
1620573595,21
1620573625,21
1620573655,21
1620573685,21
1620573715,21
1620573745,21
1620573775,21
1620573805,21
1620573835,21
1620573865,21
1620573895,21
1620573925,21
1620573955,21
1620573985,21
1620574015,21
1620574045,21
1620574075,21
1620574105,21
1620574135,21
1620574165,21
1620574195,21
1620574225,21
1620574255,21
1620574285,21
1620574315,21
1620574345,21
1620574375,21
1620574405,21
1620574435,21
1620574465,21
1620574495,21
1620574525,21
1620574555,21
1620574585,21
1620574615,21
