t,value
1620558028,85
1620558955,85
1620558985,85
1620559015,85
1620559045,85
1620559075,85
1620559105,85
1620559135,85
1620559165,85
1620559195,85
1620559225,85
1620559255,85
1620559285,85
1620559315,85
1620559345,85
1620559375,85
1620559405,85
1620559435,85
1620559465,85
1620559495,85
1620559525,85
1620559555,85
1620559585,85
1620559615,85
1620559645,85
1620559675,85
1620559705,85
1620559735,85
1620559765,85
1620559795,85
1620559825,85
1620559855,85
1620559885,85
1620559915,85
1620559945,85
1620559975,85
1620560005,85
1620560035,85
1620560065,85
1620560095,85
1620560125,85
1620560155,85
1620560185,85
1620560215,85
1620560245,85
1620560275,85
1620560305,85
1620560335,85
1620560365,85
1620560395,85
1620560425,85
1620560455,85
1620560485,85
1620560515,85
1620560545,85
1620560575,85
1620560605,85
1620560635,85
1620560665,85
1620560695,85
1620560725,85
1620560755,85
1620560785,85
1620560815,85
1620560845,85
1620560875,85
1620560905,85
1620560935,85
1620560965,85
1620560995,85
1620561025,85
1620561055,85
1620561085,85
1620561115,85
1620561145,85
1620561175,85
1620561205,85
1620561235,85
1620561265,85
1620561295,85
1620561325,85
1620561355,85
1620561385,85
1620561415,85
1620561445,85
1620561475,85
1620561505,85
1620561535,85
1620561565,85
1620561595,85
1620561625,85
1620561655,85
1620561685,85
1620561715,85
1620561745,85
1620561775,85
1620561805,85
1620561835,85
1620561865,85
1620561895,85
1620561925,85
1620561955,85
1620561985,85
1620562015,85
1620562045,85
1620562075,85
1620562105,85
1620562135,85
1620562165,85
1620562195,85
1620562225,85
1620562255,85
1620562285,85
1620562315,85
1620562345,85
1620562375,85
1620562405,85
1620562435,85
1620562465,85
1620562495,85
1620562525,85
1620562555,85
1620562585,85
1620562615,85
1620562645,85
1620562675,85
1620562705,85
1620562735,85
1620562765,85
1620562795,85
1620562825,85
1620562855,85
1620562885,85
1620562915,85
1620562945,85
1620562975,85
1620563005,85
1620563035,85
1620563065,85
1620563095,85
1620563125,85
1620563155,85
1620563185,85
1620563215,85
1620563245,85
1620563275,85
1620563305,85
1620563335,85
1620563365,85
1620563395,85
1620563425,85
1620563455,85
1620563485,85
1620563515,85
1620563545,85
1620563575,85
1620563605,85
1620563635,85
1620563665,85
1620563695,85
1620563725,85
1620563755,85
1620563785,85
1620563815,85
1620563845,85
1620563875,85
1620563905,85
1620563935,85
1620563965,85
1620563995,85
1620564025,85
1620564055,85
1620564085,85
1620564115,85
1620564145,85
1620564175,85
1620564205,85
1620564235,85
1620564265,85
1620564295,85
1620564325,85
1620564355,85
1620564385,85
1620564415,85
1620564445,85
1620564475,85
1620564505,85
1620564535,85
1620564565,85
1620564595,85
1620564625,85
1620564655,85
1620564685,85
1620564715,85
1620564745,85
1620564775,85
1620564805,85
1620564835,85
1620564865,85
1620564895,85
1620564925,85
1620564955,85
1620564985,85
1620565015,85
1620565045,85
1620565075,85
1620565105,85
1620565135,85
1620565165,85
1620565195,85
1620565225,85
1620565255,85
1620565285,85
1620565315,85
1620565345,85
1620565375,85
1620565405,85
1620565435,85
1620565465,85
1620565495,85
1620565525,85
1620565555,85
1620565585,85
1620565615,85
1620565645,85
1620565675,85
1620565705,85
1620565735,85
1620565765,85
1620565795,85
1620565825,85
1620565855,85
1620565885,85
1620565915,85
1620565945,85
1620565975,85
1620566005,85
1620566035,85
1620566065,85
1620566095,85
1620566125,85
1620566155,85
1620566185,85
1620566215,85
1620566245,85
1620566275,85
1620566305,85
1620566335,85
1620566365,85
1620566395,85
1620566425,85
1620566455,85
1620566485,85
1620566515,85
1620566545,85
