t,value
1620558028,334616344
1620558955,108789904
1620558985,108789904
1620559015,108789904
1620559045,108789904
1620559075,108789904
1620559105,108789904
1620559135,108789904
1620559165,108789904
1620559195,108789904
1620559225,108789904
1620559255,108789904
1620559285,108789904
1620559315,108789904
1620559345,108789904
1620559375,108789904
1620559405,108789904
1620559435,108789904
1620559465,108789904
1620559495,108789904
1620559525,108789904
1620559555,108789904
1620559585,108789904
1620559615,108789904
1620559645,108789904
1620559675,108789904
1620559705,108789904
1620559735,108789904
1620559765,108789904
1620559795,108789904
1620559825,108789904
1620559855,108789904
1620559885,108789904
1620559915,108789904
1620559945,108789904
1620559975,108789904
1620560005,108789904
1620560035,108789904
1620560065,108789904
1620560095,108789904
1620560125,108789904
1620560155,108789904
1620560185,108789904
1620560215,108789904
1620560245,108789904
1620560275,108789904
1620560305,108789904
1620560335,108789904
1620560365,108789904
1620560395,108789904
1620560425,108789904
1620560455,108789904
1620560485,108789904
1620560515,108789904
1620560545,108789904
1620560575,108789904
1620560605,108789904
1620560635,108789904
1620560665,108789904
1620560695,108789904
1620560725,108789904
1620560755,108789904
1620560785,108789904
1620560815,108789904
1620560845,108789904
1620560875,108789904
1620560905,108789904
1620560935,108789904
1620560965,108789904
1620560995,108789904
1620561025,108789904
1620561055,108789904
1620561085,108789904
1620561115,108789904
1620561145,108789904
1620561175,108789904
1620561205,108789904
1620561235,108789904
1620561265,108789904
1620561295,108789904
1620561325,108789904
1620561355,108789904
1620561385,108789904
1620561415,108789904
1620561445,108789904
1620561475,108789904
1620561505,108789904
1620561535,108789904
1620561565,108789904
1620561595,108789904
1620561625,108789904
1620561655,108789904
1620561685,108789904
1620561715,108789904
1620561745,108789904
1620561775,108789904
1620561805,108789904
1620561835,108789904
1620561865,108789904
1620561895,108789904
1620561925,108789904
1620561955,108789904
1620561985,108789904
1620562015,108789904
1620562045,108789904
1620562075,108789904
1620562105,108789904
1620562135,108789904
1620562165,108789904
1620562195,108789904
1620562225,108789904
1620562255,108789904
1620562285,108789904
1620562315,108789904
1620562345,108789904
1620562375,108789904
1620562405,108789904
1620562435,108789904
1620562465,108789904
1620562495,108789904
1620562525,108789904
1620562555,108789904
1620562585,108789904
1620562615,108789904
1620562645,108789904
1620562675,108789904
1620562705,108789904
1620562735,108789904
1620562765,108789904
1620562795,108789904
1620562825,108789904
1620562855,108789904
1620562885,108789904
1620562915,108789904
1620562945,108789904
1620562975,108789904
1620563005,108789904
1620563035,108789904
1620563065,108789904
1620563095,108789904
1620563125,108789904
1620563155,108789904
1620563185,108789904
1620563215,108789904
1620563245,108789904
1620563275,108789904
1620563305,108789904
1620563335,108789904
1620563365,108789904
1620563395,108789904
1620563425,108789904
1620563455,108789904
1620563485,108789904
1620563515,108789904
1620563545,108789904
1620563575,108789904
1620563605,108789904
1620563635,108789904
1620563665,108789904
1620563695,108789904
1620563725,108789904
1620563755,108789904
1620563785,108789904
1620563815,108789904
1620563845,108789904
1620563875,108789904
1620563905,108789904
1620563935,108789904
1620563965,108789904
1620563995,108789904
1620564025,108789904
1620564055,108789904
1620564085,108789904
1620564115,108789904
1620564145,108789904
1620564175,108789904
1620564205,108789904
1620564235,108789904
1620564265,108789904
1620564295,108789904
1620564325,108789904
1620564355,108789904
1620564385,108789904
1620564415,108789904
1620564445,108789904
1620564475,108789904
1620564505,108789904
1620564535,108789904
1620564565,108789904
1620564595,108789904
1620564625,108789904
1620564655,108789904
1620564685,108789904
1620564715,108789904
1620564745,108789904
1620564775,108789904
1620564805,108789904
1620564835,108789904
1620564865,108789904
1620564895,108789904
1620564925,108789904
1620564955,108789904
1620564985,108789904
1620565015,108789904
1620565045,108789904
1620565075,108789904
1620565105,108789904
1620565135,108789904
1620565165,108789904
1620565195,108789904
1620565225,108789904
1620565255,108789904
1620565285,108789904
1620565315,108789904
1620565345,108789904
1620565375,108789904
1620565405,108789904
1620565435,108789904
1620565465,108789904
1620565495,108789904
1620565525,108789904
1620565555,108789904
1620565585,108789904
1620565615,108789904
1620565645,108789904
1620565675,108789904
1620565705,108789904
1620565735,108789904
1620565765,108789904
1620565795,108789904
1620565825,108789904
1620565855,108789904
1620565885,108789904
1620565915,108789904
1620565945,108789904
1620565975,108789904
1620566005,108789904
1620566035,108789904
1620566065,108789904
1620566095,108789904
1620566125,108789904
1620566155,108789904
1620566185,108789904
1620566215,108789904
1620566245,108789904
1620566275,108789904
1620566305,108789904
1620566335,108789904
1620566365,108789904
1620566395,108789904
1620566425,108789904
1620566455,108789904
1620566485,108789904
1620566515,108789904
1620566545,108789904
1620566575,108789904
1620566605,108789904
1620566635,108789904
1620566665,108789904
1620566695,108789904
1620566725,108789904
1620566755,108789904
1620566785,108789904
1620566815,108789904
1620566845,108789904
1620566875,108789904
1620566905,108789904
1620566935,108789904
1620566965,108789904
1620566995,108789904
1620567025,108789904
1620567055,108789904
1620567085,108789904
1620567115,108789904
1620567145,108789904
1620567175,108789904
1620567205,108789904
1620567235,108789904
1620567265,108789904
1620567295,108789904
1620567325,108789904
1620567355,108789904
1620567385,108789904
1620567415,108789904
1620567445,108789904
1620567475,108789904
1620567505,108789904
1620567535,108789904
1620567565,108789904
1620567595,108789904
1620567625,108789904
1620567655,108789904
1620567685,108789904
1620567715,108789904
1620567745,108789904
1620567775,108789904
1620567805,108789904
1620567835,108789904
1620567865,108789904
1620567895,108789904
1620567925,108789904
1620567955,108789904
1620567985,108789904
1620568015,108789904
1620568045,108789904
1620568075,108789904
1620568105,108789904
1620568135,108789904
1620568165,108789904
1620568195,108789904
1620568225,108789904
1620568255,108789904
1620568285,108789904
1620568315,108789904
1620568345,108789904
1620568375,108789904
1620568405,108789904
1620568435,108789904
1620568465,108789904
1620568495,108789904
1620568525,108789904
1620568555,108789904
1620568585,108789904
1620568615,108789904
1620568645,108789904
1620568675,108789904
1620568705,108789904
1620568735,108789904
1620568765,108789904
1620568795,108789904
1620568825,108789904
1620568855,108789904
1620568885,108789904
1620568915,108789904
1620568945,108789904
1620568975,108789904
1620569005,108789904
1620569035,108789904
1620569065,108789904
1620569095,108789904
1620569125,108789904
1620569155,108789904
1620569185,108789904
1620569215,108789904
1620569245,108789904
1620569275,108789904
1620569305,108789904
1620569335,108789904
1620569365,108789904
1620569395,108789904
1620569425,108789904
1620569455,108789904
1620569485,108789904
1620569515,108789904
1620569545,108789904
1620569575,108789904
1620569605,108789904
1620569635,108789904
1620569665,108789904
1620569695,108789904
1620569725,108789904
1620569755,108789904
1620569785,108789904
1620569815,108789904
1620569845,108789904
1620569875,108789904
1620569905,108789904
1620569935,108789904
1620569965,108789904
1620569995,108789904
1620570025,108789904
1620570055,108789904
1620570085,108789904
1620570115,108789904
1620570145,108789904
1620570175,108789904
1620570205,108789904
1620570235,108789904
1620570265,108789904
1620570295,108789904
1620570325,108789904
1620570355,108789904
1620570385,108789904
1620570415,108789904
1620570445,108789904
1620570475,108789904
1620570505,108789904
1620570535,108789904
1620570565,108789904
1620570595,108789904
1620570625,108789904
1620570655,108789904
1620570685,108789904
1620570715,108789904
1620570745,108789904
1620570775,108789904
1620570805,108789904
1620570835,108789904
1620570865,108789904
1620570895,108789904
1620570925,108789904
1620570955,108789904
1620570985,108789904
1620571015,108789904
1620571045,108789904
1620571075,108789904
1620571105,108789904
1620571135,108789904
1620571165,108789904
1620571195,108789904
1620571225,108789904
1620571255,108789904
1620571285,108789904
1620571315,108789904
1620571345,108789904
1620571375,108789904
1620571405,108789904
1620571435,108789904
1620571465,108789904
1620571495,108789904
1620571525,108789904
1620571555,108789904
1620571585,108789904
1620571615,108789904
1620571645,108789904
1620571675,108789904
1620571705,108789904
1620571735,108789904
1620571765,108789904
1620571795,108789904
1620571825,108789904
1620571855,108789904
1620571885,108789904
1620571915,108789904
1620571945,108789904
1620571975,108789904
1620572005,108789904
1620572035,108789904
1620572065,108789904
1620572095,108789904
1620572125,108789904
1620572155,108789904
1620572185,108789904
1620572215,108789904
1620572245,108789904
1620572275,108789904
1620572305,108789904
1620572335,108789904
1620572365,108789904
1620572395,108789904
1620572425,108789904
1620572455,108789904
1620572485,108789904
1620572515,108789904
1620572545,108789904
1620572575,108789904
1620572605,108789904
1620572635,108789904
1620572665,108789904
1620572695,108789904
1620572725,108789904
1620572755,108789904
1620572785,108789904
1620572815,108789904
1620572845,108789904
1620572875,108789904
1620572905,108789904
1620572935,108789904
