t,value
1620558028,28297728
1620558955,70254592
1620558985,104390144
1620559015,104390144
1620559045,104390144
1620559075,104390144
1620559105,104390144
1620559135,104390144
1620559165,104390144
1620559195,104390144
1620559225,104390144
1620559255,104390144
1620559285,104390144
1620559315,104390144
1620559345,104390144
1620559375,104390144
1620559405,104390144
1620559435,104390144
1620559465,104390144
1620559495,104390144
1620559525,104390144
1620559555,104390144
1620559585,104390144
1620559615,104390144
1620559645,104390144
1620559675,104390144
1620559705,104390144
1620559735,104390144
1620559765,104390144
1620559795,104390144
1620559825,104390144
1620559855,104390144
1620559885,104390144
1620559915,104390144
1620559945,104390144
1620559975,104390144
1620560005,104390144
1620560035,104390144
1620560065,104390144
1620560095,104390144
1620560125,104390144
1620560155,104390144
1620560185,104390144
1620560215,104390144
1620560245,104390144
1620560275,104390144
1620560305,104390144
1620560335,104390144
1620560365,104390144
1620560395,104390144
1620560425,104390144
1620560455,104390144
1620560485,104390144
1620560515,104390144
1620560545,104390144
1620560575,104390144
1620560605,104390144
1620560635,104390144
1620560665,104390144
1620560695,104390144
1620560725,104390144
1620560755,104390144
1620560785,104390144
1620560815,104390144
1620560845,104390144
1620560875,104390144
1620560905,104390144
1620560935,104390144
1620560965,104390144
1620560995,104390144
1620561025,104390144
1620561055,104390144
1620561085,104390144
1620561115,104390144
1620561145,104390144
1620561175,104390144
1620561205,104390144
1620561235,104390144
1620561265,104390144
1620561295,104390144
1620561325,104390144
1620561355,104390144
1620561385,104390144
1620561415,104390144
1620561445,104390144
1620561475,104390144
1620561505,104390144
1620561535,104390144
1620561565,104390144
1620561595,104390144
1620561625,104390144
1620561655,104390144
1620561685,104390144
1620561715,104390144
1620561745,104390144
1620561775,104390144
1620561805,104390144
1620561835,104390144
1620561865,104390144
1620561895,104390144
1620561925,104390144
1620561955,104390144
1620561985,104390144
1620562015,104390144
1620562045,104390144
1620562075,104390144
1620562105,104390144
1620562135,104390144
1620562165,104390144
1620562195,104390144
1620562225,104390144
1620562255,104390144
1620562285,104390144
1620562315,104390144
1620562345,104390144
1620562375,104390144
1620562405,104390144
1620562435,104390144
1620562465,104390144
1620562495,104390144
1620562525,104390144
1620562555,104390144
1620562585,104390144
1620562615,104390144
1620562645,104390144
1620562675,104390144
1620562705,104390144
1620562735,104390144
1620562765,104390144
1620562795,104390144
1620562825,104390144
1620562855,104390144
1620562885,104390144
1620562915,104390144
1620562945,104390144
1620562975,104390144
1620563005,104390144
1620563035,104390144
1620563065,104390144
1620563095,104390144
1620563125,104390144
1620563155,104390144
1620563185,104390144
1620563215,104390144
1620563245,104390144
1620563275,104390144
1620563305,104390144
1620563335,104390144
1620563365,104390144
1620563395,104390144
1620563425,104390144
1620563455,104390144
1620563485,104390144
1620563515,104390144
1620563545,104390144
1620563575,104390144
1620563605,104390144
1620563635,104390144
1620563665,104390144
1620563695,104390144
1620563725,104390144
1620563755,104390144
1620563785,104390144
1620563815,104390144
1620563845,104390144
1620563875,104390144
1620563905,104390144
1620563935,104390144
1620563965,104390144
1620563995,104390144
1620564025,104390144
1620564055,104390144
1620564085,104390144
1620564115,104390144
1620564145,104390144
1620564175,104390144
1620564205,104390144
1620564235,104390144
1620564265,104390144
1620564295,104390144
1620564325,104390144
1620564355,104390144
1620564385,104390144
1620564415,104390144
1620564445,104390144
1620564475,104390144
1620564505,104390144
1620564535,104390144
1620564565,104390144
1620564595,104390144
1620564625,104390144
1620564655,104390144
1620564685,104390144
1620564715,104390144
1620564745,104390144
1620564775,104390144
1620564805,104390144
1620564835,104390144
1620564865,104390144
1620564895,104390144
1620564925,104390144
1620564955,104390144
1620564985,104390144
1620565015,104390144
1620565045,104390144
1620565075,104390144
1620565105,104390144
1620565135,104390144
1620565165,104390144
1620565195,104390144
1620565225,104390144
1620565255,104390144
1620565285,104390144
1620565315,104390144
1620565345,104390144
1620565375,104390144
1620565405,104390144
1620565435,104390144
1620565465,104390144
1620565495,104390144
1620565525,104390144
1620565555,104390144
1620565585,104390144
1620565615,104390144
1620565645,104390144
1620565675,104390144
1620565705,104390144
1620565735,104390144
1620565765,104390144
1620565795,104390144
1620565825,105323520
1620565855,105323520
1620565885,105323520
1620565915,105323520
1620565945,105323520
1620565975,105323520
1620566005,105323520
1620566035,105323520
1620566065,105323520
1620566095,105323520
1620566125,105323520
1620566155,105323520
1620566185,105323520
1620566215,105323520
1620566245,105323520
1620566275,105323520
1620566305,105323520
1620566335,105323520
1620566365,105323520
1620566395,105323520
1620566425,108790784
1620566455,108790784
1620566485,108790784
1620566515,108790784
1620566545,108790784
1620566575,108790784
1620566605,108790784
1620566635,108790784
1620566665,108790784
1620566695,108790784
1620566725,108790784
1620566755,108790784
1620566785,108790784
1620566815,108790784
1620566845,108790784
1620566875,108790784
1620566905,108790784
1620566935,108790784
1620566965,108790784
1620566995,109725696
1620567025,109725696
1620567055,109725696
1620567085,109725696
1620567115,109725696
1620567145,109725696
1620567175,109725696
1620567205,109725696
1620567235,109725696
1620567265,109725696
1620567295,109725696
1620567325,109725696
1620567355,109725696
1620567385,109725696
1620567415,109725696
1620567445,109725696
1620567475,109725696
1620567505,109725696
1620567535,109725696
1620567565,110386688
1620567595,110386688
1620567625,110386688
1620567655,110386688
1620567685,110386688
1620567715,110386688
1620567745,110386688
1620567775,110386688
1620567805,110386688
1620567835,110386688
1620567865,110386688
1620567895,110386688
1620567925,110386688
1620567955,110386688
1620567985,110386688
1620568015,110386688
1620568045,110386688
1620568075,110386688
1620568105,110386688
1620568135,110386688
1620568165,111834112
1620568195,111834112
1620568225,111834112
1620568255,111834112
1620568285,111834112
1620568315,111834112
1620568345,111834112
1620568375,111834112
1620568405,111834112
1620568435,111834112
1620568465,111834112
1620568495,111834112
1620568525,111834112
1620568555,111834112
1620568585,111834112
1620568615,111834112
1620568645,111834112
1620568675,111834112
1620568705,111834112
1620568735,111834112
1620568765,113383936
1620568795,113383936
1620568825,113383936
1620568855,113383936
1620568885,113383936
1620568915,113383936
1620568945,113383936
1620568975,113383936
1620569005,113383936
1620569035,113383936
1620569065,113383936
1620569095,113383936
1620569125,113383936
1620569155,113383936
1620569185,113383936
1620569215,113383936
1620569245,113383936
