t,value
1620558028,9223372036854775807
1620558958,9223372036854775807
1620558988,9223372036854775807
1620559018,9223372036854775807
1620559048,9223372036854775807
1620559078,9223372036854775807
1620559108,9223372036854775807
1620559138,9223372036854775807
1620559168,9223372036854775807
1620559198,9223372036854775807
1620559228,9223372036854775807
1620559258,9223372036854775807
1620559288,9223372036854775807
1620559318,9223372036854775807
1620559348,9223372036854775807
1620559378,9223372036854775807
1620559408,9223372036854775807
1620559438,9223372036854775807
1620559468,9223372036854775807
1620559498,9223372036854775807
1620559528,9223372036854775807
1620559558,9223372036854775807
1620559588,9223372036854775807
1620559618,9223372036854775807
1620559648,9223372036854775807
1620559678,9223372036854775807
1620559708,9223372036854775807
1620559738,9223372036854775807
1620559768,9223372036854775807
1620559798,9223372036854775807
1620559828,9223372036854775807
1620559858,9223372036854775807
1620559888,9223372036854775807
1620559918,9223372036854775807
1620559948,9223372036854775807
1620559978,9223372036854775807
1620560008,9223372036854775807
1620560038,9223372036854775807
1620560068,9223372036854775807
1620560098,9223372036854775807
1620560128,9223372036854775807
1620560158,9223372036854775807
1620560188,9223372036854775807
1620560218,9223372036854775807
1620560248,9223372036854775807
1620560278,9223372036854775807
1620560308,9223372036854775807
1620560338,9223372036854775807
1620560368,9223372036854775807
1620560398,9223372036854775807
1620560428,9223372036854775807
1620560458,9223372036854775807
1620560488,9223372036854775807
1620560518,9223372036854775807
1620560548,9223372036854775807
1620560578,9223372036854775807
1620560608,9223372036854775807
1620560638,9223372036854775807
1620560668,9223372036854775807
1620560698,9223372036854775807
1620560728,9223372036854775807
1620560758,9223372036854775807
1620560788,9223372036854775807
1620560818,9223372036854775807
1620560848,9223372036854775807
1620560878,9223372036854775807
1620560908,9223372036854775807
1620560938,9223372036854775807
1620560968,9223372036854775807
1620560998,9223372036854775807
1620561028,9223372036854775807
1620561058,9223372036854775807
1620561088,9223372036854775807
1620561118,9223372036854775807
1620561148,9223372036854775807
1620561178,9223372036854775807
1620561208,9223372036854775807
1620561238,9223372036854775807
1620561268,9223372036854775807
1620561298,9223372036854775807
1620561328,9223372036854775807
1620561358,9223372036854775807
1620561388,9223372036854775807
1620561418,9223372036854775807
1620561448,9223372036854775807
1620561478,9223372036854775807
1620561508,9223372036854775807
1620561538,9223372036854775807
1620561568,9223372036854775807
1620561598,9223372036854775807
1620561628,9223372036854775807
1620561658,9223372036854775807
1620561688,9223372036854775807
1620561718,9223372036854775807
1620561748,9223372036854775807
1620561778,9223372036854775807
1620561808,9223372036854775807
1620561838,9223372036854775807
1620561868,9223372036854775807
