t,value
1620558028,0.0
1620558958,0.0
1620558988,0.9922178988326849
1620559018,0.9886649874055415
1620559048,0.9908496732026144
1620559078,0.0
1620559108,1.0
1620559138,1.0
1620559168,1.0
1620559198,0.0
1620559228,1.0
1620559258,1.0
1620559288,1.0
1620559318,0.0
1620559348,1.0
1620559378,1.0
1620559408,1.0
1620559438,0.0
1620559468,1.0
1620559498,1.0
1620559528,1.0
1620559558,1.0
1620559588,1.0
1620559618,0.0
1620559648,1.0
1620559678,1.0
1620559708,1.0
1620559738,1.0
1620559768,1.0
1620559798,1.0
1620559828,1.0
1620559858,1.0
1620559888,1.0
1620559918,1.0
1620559948,1.0
1620559978,1.0
1620560008,1.0
1620560038,1.0
1620560068,1.0
1620560098,1.0
1620560128,1.0
1620560158,1.0
1620560188,1.0
1620560218,1.0
1620560248,1.0
1620560278,1.0
1620560308,1.0
1620560338,1.0
1620560368,1.0
1620560398,1.0
1620560428,1.0
1620560458,1.0
1620560488,1.0
1620560518,1.0
1620560548,1.0
1620560578,1.0
1620560608,1.0
1620560638,0.9973404255319149
1620560668,1.0
1620560698,1.0
1620560728,1.0
1620560758,1.0
1620560788,1.0
1620560818,1.0
1620560848,1.0
1620560878,1.0
1620560908,1.0
1620560938,1.0
1620560968,1.0
1620560998,1.0
1620561028,1.0
1620561058,1.0
1620561088,1.0
1620561118,1.0
1620561148,1.0
1620561178,1.0
1620561208,1.0
1620561238,1.0
1620561268,1.0
1620561298,1.0
1620561328,1.0
1620561358,1.0
1620561388,1.0
1620561418,1.0
1620561448,1.0
1620561478,1.0
1620561508,1.0
1620561538,1.0
1620561568,1.0
1620561598,1.0
1620561628,1.0
1620561658,1.0
1620561688,1.0
1620561718,1.0
1620561748,1.0
1620561778,1.0
1620561808,1.0
1620561838,1.0
1620561868,1.0
1620561898,1.0
1620561928,1.0
1620561958,1.0
1620561988,1.0
1620562018,1.0
1620562048,1.0
1620562078,0.0
1620562108,1.0
1620562138,0.0
1620562168,1.0
1620562198,1.0
1620562228,1.0
1620562258,1.0
1620562288,1.0
1620562318,0.0
1620562348,1.0
1620562378,0.0
1620562408,1.0
1620562438,1.0
1620562468,1.0
1620562498,0.0
1620562528,1.0
1620562558,0.0
1620562588,1.0
1620562618,1.0
1620562648,1.0
1620562678,1.0
1620562708,1.0
1620562738,1.0
1620562768,1.0
1620562798,0.0
1620562828,1.0
1620562858,1.0
1620562888,1.0
1620562918,0.0
1620562948,1.0
1620562978,1.0
1620563008,1.0
1620563038,0.0
1620563068,1.0
1620563098,1.0
1620563128,1.0
1620563158,0.0
1620563188,1.0
1620563218,1.0
1620563248,1.0
1620563278,1.0
1620563308,1.0
1620563338,1.0
1620563368,1.0
1620563398,1.0
1620563428,1.0
1620563458,1.0
1620563488,1.0
1620563518,0.0
1620563548,1.0
1620563578,0.0
1620563608,1.0
1620563638,0.0
1620563668,1.0
1620563698,1.0
1620563728,1.0
1620563758,0.0
1620563788,1.0
1620563818,1.0
1620563848,1.0
1620563878,1.0
1620563908,1.0
1620563938,1.0
1620563968,1.0
1620563998,0.0
1620564028,1.0
1620564058,0.0
1620564088,1.0
1620564118,0.0
1620564148,1.0
1620564178,1.0
1620564208,1.0
1620564238,1.0
1620564268,1.0
1620564298,0.0
1620564328,1.0
1620564358,0.0
1620564388,1.0
1620564418,1.0
1620564448,1.0
1620564478,1.0
1620564508,1.0
1620564538,1.0
1620564568,1.0
1620564598,1.0
1620564628,1.0
1620564658,0.0
1620564688,1.0
1620564718,0.0
1620564748,1.0
1620564778,1.0
1620564808,1.0
1620564838,0.0
1620564868,1.0
1620564898,1.0
1620564928,1.0
1620564958,1.0
1620564988,1.0
1620565018,0.0
1620565048,1.0
1620565078,0.0
1620565108,1.0
1620565138,1.0
1620565168,1.0
1620565198,1.0
1620565228,1.0
1620565258,0.0
1620565288,1.0
1620565318,1.0
1620565348,1.0
1620565378,0.0
1620565408,1.0
1620565438,1.0
1620565468,1.0
1620565498,0.0
1620565528,1.0
1620565558,0.0
1620565588,1.0
1620565618,1.0
1620565648,1.0
1620565678,1.0
1620565708,1.0
1620565738,1.0
1620565768,1.0
1620565798,0.0
1620565828,1.0
1620565858,1.0
1620565888,1.0
1620565918,0.0
1620565948,1.0
1620565978,1.0
1620566008,1.0
1620566038,0.0
1620566068,1.0
1620566098,1.0
1620566128,1.0
1620566158,0.0
1620566188,1.0
1620566218,1.0
1620566248,1.0
1620566278,0.0
1620566308,1.0
1620566338,0.0
1620566368,1.0
1620566398,1.0
1620566428,1.0
1620566458,1.0
1620566488,1.0
1620566518,0.0
1620566548,1.0
1620566578,1.0
1620566608,1.0
1620566638,0.0
1620566668,1.0
1620566698,0.0
1620566728,1.0
1620566758,0.0
1620566788,1.0
1620566818,1.0
1620566848,1.0
1620566878,0.0
1620566908,1.0
