t,value
1620558028,85
1620558958,85
1620558988,85
1620559018,85
1620559048,85
1620559078,85
1620559108,85
1620559138,85
1620559168,85
1620559198,85
1620559228,85
1620559258,85
1620559288,85
1620559318,85
1620559348,85
1620559378,85
1620559408,85
1620559438,85
1620559468,85
1620559498,85
1620559528,85
1620559558,85
1620559588,85
1620559618,85
1620559648,85
1620559678,85
1620559708,85
1620559738,85
1620559768,85
1620559798,85
1620559828,85
1620559858,85
1620559888,85
1620559918,85
1620559948,85
1620559978,85
1620560008,85
1620560038,85
1620560068,85
1620560098,85
1620560128,85
1620560158,85
1620560188,85
1620560218,85
1620560248,85
1620560278,85
1620560308,85
1620560338,85
1620560368,85
1620560398,85
1620560428,85
1620560458,85
1620560488,85
1620560518,85
1620560548,85
1620560578,85
1620560608,85
1620560638,85
1620560668,85
1620560698,85
1620560728,85
1620560758,85
1620560788,85
1620560818,85
1620560848,85
1620560878,85
1620560908,85
1620560938,85
1620560968,85
1620560998,85
1620561028,85
1620561058,85
1620561088,85
1620561118,85
1620561148,85
1620561178,85
1620561208,85
1620561238,85
1620561268,85
1620561298,85
1620561328,85
1620561358,85
1620561388,85
1620561418,85
1620561448,85
1620561478,85
1620561508,85
1620561538,85
1620561568,85
1620561598,85
1620561628,85
1620561658,85
1620561688,85
1620561718,85
1620561748,85
1620561778,85
1620561808,85
1620561838,85
1620561868,85
1620561898,85
1620561928,85
1620561958,85
1620561988,85
1620562018,85
1620562048,85
1620562078,85
1620562108,85
1620562138,85
1620562168,85
1620562198,85
1620562228,85
1620562258,85
1620562288,85
1620562318,85
1620562348,85
1620562378,85
1620562408,85
1620562438,85
1620562468,85
1620562498,85
1620562528,85
1620562558,85
1620562588,85
1620562618,85
1620562648,85
1620562678,85
1620562708,85
1620562738,85
1620562768,85
1620562798,85
1620562828,85
1620562858,85
1620562888,85
1620562918,85
1620562948,85
1620562978,85
1620563008,85
1620563038,85
1620563068,85
1620563098,85
1620563128,85
1620563158,85
1620563188,85
1620563218,85
1620563248,85
1620563278,85
1620563308,85
1620563338,85
1620563368,85
1620563398,85
1620563428,85
1620563458,85
1620563488,85
1620563518,85
1620563548,85
1620563578,85
1620563608,85
1620563638,85
1620563668,85
1620563698,85
1620563728,85
1620563758,85
1620563788,85
1620563818,85
1620563848,85
1620563878,85
1620563908,85
1620563938,85
1620563968,85
1620563998,85
1620564028,85
1620564058,85
1620564088,85
1620564118,85
1620564148,85
1620564178,85
1620564208,85
1620564238,85
1620564268,85
1620564298,85
1620564328,85
1620564358,85
1620564388,85
1620564418,85
1620564448,85
1620564478,85
1620564508,85
1620564538,85
1620564568,85
1620564598,85
1620564628,85
1620564658,85
1620564688,85
1620564718,85
1620564748,85
1620564778,85
1620564808,85
1620564838,85
1620564868,85
1620564898,85
1620564928,85
1620564958,85
1620564988,85
1620565018,85
1620565048,85
1620565078,85
1620565108,85
1620565138,85
1620565168,85
1620565198,85
1620565228,85
1620565258,85
1620565288,85
1620565318,85
1620565348,85
1620565378,85
1620565408,85
1620565438,85
1620565468,85
1620565498,85
1620565528,85
1620565558,85
1620565588,85
1620565618,85
1620565648,85
1620565678,85
1620565708,85
1620565738,85
1620565768,85
1620565798,85
1620565828,85
1620565858,85
1620565888,85
1620565918,85
1620565948,85
1620565978,85
1620566008,85
1620566038,85
1620566068,85
1620566098,85
1620566128,85
1620566158,85
1620566188,85
1620566218,85
1620566248,85
1620566278,85
1620566308,85
1620566338,85
1620566368,85
1620566398,85
1620566428,85
1620566458,85
1620566488,85
1620566518,85
1620566548,85
1620566578,85
1620566608,85
1620566638,85
1620566668,85
1620566698,85
1620566728,85
1620566758,85
1620566788,85
1620566818,85
1620566848,85
1620566878,85
1620566908,85
1620566938,85
1620566968,85
1620566998,85
1620567028,85
1620567058,85
1620567088,85
1620567118,85
1620567148,85
1620567178,85
1620567208,85
1620567238,85
1620567268,85
1620567298,85
1620567328,85
1620567358,85
1620567388,85
1620567418,85
1620567448,85
1620567478,85
1620567508,85
1620567538,85
1620567568,85
1620567598,85
1620567628,85
1620567658,85
1620567688,85
1620567718,85
1620567748,85
1620567778,85
1620567808,85
1620567838,85
1620567868,85
1620567898,85
1620567928,85
1620567958,85
1620567988,85
1620568018,85
1620568048,85
1620568078,85
1620568108,85
1620568138,85
1620568168,85
1620568198,85
1620568228,85
1620568258,85
1620568288,85
1620568318,85
1620568348,85
1620568378,85
1620568408,85
1620568438,85
1620568468,85
1620568498,85
1620568528,85
1620568558,85
1620568588,85
1620568618,85
1620568648,85
1620568678,85
1620568708,85
1620568738,85
1620568768,85
1620568798,85
1620568828,85
1620568858,85
1620568888,85
1620568918,85
1620568948,85
1620568978,85
1620569008,85
1620569038,85
1620569068,85
1620569098,85
1620569128,85
1620569158,85
1620569188,85
1620569218,85
1620569248,85
1620569278,85
1620569308,85
1620569338,85
1620569368,85
1620569398,85
1620569428,85
1620569458,85
1620569488,85
1620569518,85
1620569548,85
1620569578,85
1620569608,85
1620569638,85
1620569668,85
1620569698,85
1620569728,85
1620569758,85
1620569788,85
1620569818,85
1620569848,85
1620569878,85
1620569908,85
1620569938,85
1620569968,85
1620569998,85
1620570028,85
1620570058,85
1620570088,85
1620570118,85
1620570148,85
1620570178,85
1620570208,85
1620570238,85
1620570268,85
1620570298,85
1620570328,85
1620570358,85
1620570388,85
1620570418,85
1620570448,85
1620570478,85
1620570508,85
1620570538,85
1620570568,85
1620570598,85
1620570628,85
1620570658,85
1620570688,85
1620570718,85
1620570748,85
1620570778,85
1620570808,85
1620570838,85
1620570868,85
1620570898,85
1620570928,85
1620570958,85
1620570988,85
1620571018,85
1620571048,85
1620571078,85
1620571108,85
1620571138,85
1620571168,85
1620571198,85
1620571228,85
1620571258,85
1620571288,85
1620571318,85
1620571348,85
1620571378,85
1620571408,85
1620571438,85
1620571468,85
1620571498,85
1620571528,85
1620571558,85
1620571588,85
1620571618,85
1620571648,85
1620571678,85
1620571708,85
1620571738,85
1620571768,85
1620571798,85
1620571828,85
1620571858,85
1620571888,85
1620571918,85
1620571948,85
1620571978,85
1620572008,85
1620572038,85
1620572068,85
1620572098,85
1620572128,85
1620572158,85
1620572188,85
1620572218,85
1620572248,85
1620572278,85
1620572308,85
1620572338,85
1620572368,85
1620572398,85
1620572428,85
1620572458,85
1620572488,85
1620572518,85
1620572548,85
1620572578,85
1620572608,85
1620572638,85
1620572668,85
1620572698,85
1620572728,85
1620572758,85
1620572788,85
1620572818,85
1620572848,85
1620572878,85
1620572908,85
1620572938,85
1620572968,85
1620572998,85
1620573028,85
1620573058,85
1620573088,85
1620573118,85
1620573148,85
1620573178,85
1620573208,85
1620573238,85
1620573268,85
1620573298,85
1620573328,85
1620573358,85
1620573388,85
1620573418,85
1620573448,85
1620573478,85
1620573508,85
1620573538,85
1620573568,85
1620573598,85
1620573628,85
1620573658,85
1620573688,85
1620573718,85
1620573748,85
1620573778,85
1620573808,85
1620573838,85
1620573868,85
1620573898,85
1620573928,85
1620573958,85
1620573988,85
1620574018,85
1620574048,85
1620574078,85
1620574108,85
1620574138,85
1620574168,85
1620574198,85
1620574228,85
1620574258,85
1620574288,85
1620574318,85
1620574348,85
1620574378,85
1620574408,85
1620574438,85
1620574468,85
1620574498,85
1620574528,85
1620574558,85
1620574588,85
1620574618,85
1620574648,85
1620574678,85
1620574708,85
1620574738,85
1620574768,85
1620574798,85
1620574828,85
1620574858,85
1620574888,85
1620574918,85
1620574948,85
1620574978,85
1620575008,85
1620575038,85
1620575068,85
1620575098,85
1620575128,85
1620575158,85
1620575188,85
1620575218,85
1620575248,85
1620575278,85
1620575308,85
1620575338,85
1620575368,85
1620575398,85
1620575428,85
1620575458,85
1620575488,85
1620575518,85
1620575548,85
1620575578,85
1620575608,85
1620575638,85
1620575668,85
1620575698,85
1620575728,85
1620575758,85
1620575788,85
1620575818,85
1620575848,85
1620575878,85
1620575908,85
1620575938,85
1620575968,85
1620575998,85
1620576028,85
1620576058,85
1620576088,85
1620576118,85
1620576148,85
1620576178,85
1620576208,85
1620576238,85
1620576268,85
1620576298,85
1620576328,85
1620576358,85
1620576388,85
1620576418,85
1620576448,85
1620576478,85
1620576508,85
1620576538,85
1620576568,85
1620576598,85
1620576628,85
1620576658,85
1620576688,85
1620576718,85
1620576748,85
1620576778,85
1620576808,85
1620576838,85
1620576868,85
1620576898,85
1620576928,85
1620576958,85
1620576988,85
1620577018,85
1620577048,85
1620577078,85
1620577108,85
1620577138,85
1620577168,85
1620577198,85
1620577228,85
1620577258,85
1620577288,85
1620577318,85
1620577348,85
1620577378,85
1620577408,85
1620577438,85
1620577468,85
1620577498,85
1620577528,85
1620577558,85
1620577588,85
1620577618,85
1620577648,85
1620577678,85
1620577708,85
1620577738,85
1620577768,85
1620577895,85
1620577925,85
1620577955,85
1620577985,85
1620578015,85
1620578045,85
1620578075,85
1620578105,85
1620578135,85
1620578165,85
1620578195,85
1620578225,85
1620578255,85
1620578285,85
1620578315,85
1620578345,85
1620578375,85
1620578405,85
1620578435,85
1620578465,85
1620578495,85
1620578525,85
1620578555,85
1620578585,85
1620578615,85
1620578645,85
1620578675,85
1620578705,85
1620578735,85
1620578765,85
1620578795,85
1620578825,85
1620578855,85
1620578885,85
1620578915,85
1620578945,85
1620578975,85
1620579005,85
1620579035,85
1620579065,85
1620579095,85
1620579125,85
1620579155,85
1620579185,85
1620579215,85
1620579245,85
1620579275,85
1620579305,85
1620579335,85
1620579365,85
1620579395,85
1620579425,85
1620579455,85
1620579485,85
1620579515,85
1620579545,85
1620579575,85
1620579605,85
1620579635,85
1620579665,85
1620579695,85
1620579725,85
1620579755,85
1620579785,85
1620579815,85
1620579845,85
1620579875,85
1620579905,85
1620579935,85
1620579965,85
1620579995,85
1620580025,85
1620580055,85
1620580085,85
1620580115,85
1620580145,85
