t,value
1620558028,75
1620558958,177
1620558988,197
1620559018,202
1620559048,202
1620559078,202
1620559108,202
1620559138,202
1620559168,203
1620559198,203
1620559228,202
1620559258,202
1620559288,202
1620559318,202
1620559348,203
1620559378,203
1620559408,203
1620559438,203
1620559468,205
1620559498,205
1620559528,204
1620559558,204
1620559588,203
1620559618,203
1620559648,203
1620559678,203
1620559708,203
1620559738,203
1620559768,211
1620559798,211
1620559828,210
1620559858,210
1620559888,210
1620559918,210
1620559948,210
1620559978,210
1620560008,210
1620560038,210
1620560068,212
1620560098,212
1620560128,211
1620560158,211
1620560188,210
1620560218,210
1620560248,210
1620560278,210
1620560308,210
1620560338,210
1620560368,215
1620560398,215
1620560428,212
1620560458,212
1620560488,212
1620560518,212
1620560548,212
1620560578,212
1620560608,213
1620560638,213
1620560668,216
1620560698,216
1620560728,214
1620560758,214
1620560788,213
1620560818,213
1620560848,213
1620560878,213
1620560908,213
1620560938,213
1620560968,214
1620560998,214
1620561028,213
1620561058,213
1620561088,213
1620561118,213
1620561148,213
1620561178,213
1620561208,213
1620561238,213
1620561268,215
1620561298,215
1620561328,214
1620561358,214
1620561388,213
1620561418,213
1620561448,213
1620561478,213
1620561508,213
1620561538,213
1620561568,214
1620561598,214
1620561628,213
1620561658,213
1620561688,213
1620561718,213
1620561748,213
1620561778,214
1620561808,214
1620561838,214
1620561868,216
1620561898,216
1620561928,215
1620561958,215
1620561988,214
1620562018,214
1620562048,214
1620562078,214
1620562108,214
1620562138,214
1620562168,215
1620562198,215
1620562228,214
1620562258,214
1620562288,214
1620562318,214
1620562348,214
1620562378,214
1620562408,214
1620562438,214
1620562468,216
1620562498,216
1620562528,215
1620562558,215
1620562588,214
1620562618,214
1620562648,214
1620562678,214
1620562708,214
1620562738,214
1620562768,215
1620562798,215
1620562828,214
1620562858,214
1620562888,214
1620562918,214
1620562948,214
1620562978,214
1620563008,214
1620563038,214
1620563068,216
1620563098,216
1620563128,215
1620563158,215
1620563188,214
1620563218,215
1620563248,215
1620563278,215
1620563308,215
1620563338,215
1620563368,216
1620563398,216
1620563428,215
1620563458,215
1620563488,216
1620563518,216
1620563548,216
1620563578,216
1620563608,216
1620563638,216
1620563668,218
1620563698,218
1620563728,217
1620563758,217
1620563788,216
1620563818,216
1620563848,216
1620563878,216
1620563908,216
1620563938,216
1620563968,217
1620563998,217
1620564028,216
1620564058,216
1620564088,216
1620564118,216
1620564148,216
1620564178,216
1620564208,216
1620564238,216
1620564268,218
1620564298,218
1620564328,217
1620564358,217
1620564388,216
1620564418,216
1620564448,216
1620564478,216
1620564508,216
1620564538,216
1620564568,217
1620564598,217
1620564628,216
1620564658,216
1620564688,217
1620564718,217
1620564748,216
1620564778,216
1620564808,216
1620564838,216
1620564868,218
1620564898,218
1620564928,217
1620564958,217
1620564988,216
1620565018,217
1620565048,217
1620565078,216
1620565108,216
1620565138,216
1620565168,217
1620565198,217
1620565228,216
1620565258,216
1620565288,216
1620565318,216
1620565348,216
1620565378,216
1620565408,216
1620565438,216
1620565468,218
1620565498,218
1620565528,217
1620565558,217
1620565588,216
1620565618,216
1620565648,216
1620565678,216
1620565708,216
1620565738,216
1620565768,217
1620565798,217
1620565828,216
1620565858,216
1620565888,216
1620565918,216
1620565948,216
1620565978,216
1620566008,216
1620566038,216
1620566068,218
1620566098,218
1620566128,217
1620566158,217
1620566188,216
1620566218,216
1620566248,216
1620566278,216
1620566308,216
1620566338,216
1620566368,217
1620566398,217
1620566428,216
1620566458,216
1620566488,216
1620566518,216
1620566548,216
1620566578,216
1620566608,216
1620566638,216
1620566668,218
1620566698,218
1620566728,217
1620566758,217
1620566788,216
1620566818,216
1620566848,217
1620566878,217
1620566908,216
1620566938,216
1620566968,218
1620566998,218
1620567028,216
1620567058,216
1620567088,216
1620567118,216
1620567148,216
1620567178,216
1620567208,216
1620567238,216
1620567268,219
1620567298,219
1620567328,217
1620567358,217
1620567388,216
1620567418,216
1620567448,216
1620567478,216
1620567508,216
1620567538,216
1620567568,217
1620567598,217
1620567628,216
1620567658,216
1620567688,216
1620567718,216
1620567748,216
1620567778,216
1620567808,216
1620567838,216
1620567868,218
1620567898,218
1620567928,217
1620567958,217
1620567988,216
1620568018,216
1620568048,216
1620568078,216
1620568108,216
1620568138,216
1620568168,217
1620568198,217
1620568228,216
1620568258,216
1620568288,216
1620568318,216
1620568348,216
1620568378,216
1620568408,216
1620568438,216
1620568468,218
1620568498,218
1620568528,217
1620568558,217
1620568588,216
1620568618,216
1620568648,216
1620568678,216
1620568708,216
1620568738,216
1620568768,217
1620568798,217
1620568828,216
1620568858,216
1620568888,216
1620568918,216
1620568948,216
1620568978,216
1620569008,217
1620569038,217
1620569068,219
1620569098,219
1620569128,217
1620569158,217
1620569188,216
1620569218,216
1620569248,216
1620569278,216
1620569308,216
1620569338,216
1620569368,218
1620569398,218
1620569428,216
1620569458,216
1620569488,216
1620569518,216
1620569548,216
1620569578,216
1620569608,216
1620569638,216
1620569668,218
1620569698,218
1620569728,217
1620569758,217
1620569788,216
1620569818,216
1620569848,216
1620569878,216
1620569908,216
1620569938,216
1620569968,217
1620569998,217
1620570028,216
1620570058,216
1620570088,216
1620570118,216
1620570148,216
1620570178,216
1620570208,216
1620570238,216
1620570268,218
1620570298,218
1620570328,217
1620570358,217
1620570388,216
1620570418,216
1620570448,216
1620570478,216
1620570508,216
1620570538,216
1620570568,217
1620570598,217
1620570628,216
1620570658,216
1620570688,216
1620570718,216
1620570748,216
1620570778,216
1620570808,216
1620570838,216
1620570868,218
1620570898,218
1620570928,217
1620570958,217
1620570988,216
1620571018,216
1620571048,216
1620571078,216
1620571108,216
1620571138,216
1620571168,218
1620571198,218
1620571228,216
1620571258,216
1620571288,216
1620571318,216
1620571348,216
1620571378,216
1620571408,216
1620571438,216
1620571468,219
1620571498,219
1620571528,217
1620571558,217
1620571588,216
1620571618,216
1620571648,216
1620571678,216
1620571708,216
1620571738,216
1620571768,217
1620571798,217
1620571828,216
1620571858,216
1620571888,216
1620571918,216
1620571948,216
1620571978,216
1620572008,216
1620572038,216
1620572068,218
1620572098,218
1620572128,217
1620572158,217
1620572188,216
1620572218,216
1620572248,216
1620572278,216
1620572308,216
1620572338,216
1620572368,217
1620572398,217
1620572428,216
1620572458,216
1620572488,216
1620572518,216
1620572548,216
1620572578,216
1620572608,216
1620572638,216
1620572668,218
1620572698,218
1620572728,217
1620572758,217
1620572788,216
1620572818,216
1620572848,216
1620572878,216
1620572908,216
1620572938,216
1620572968,217
1620572998,217
1620573028,216
1620573058,216
1620573088,216
1620573118,216
1620573148,216
1620573178,216
1620573208,216
1620573238,216
1620573268,218
1620573298,218
1620573328,218
1620573358,218
1620573388,216
1620573418,217
1620573448,217
1620573478,216
1620573508,216
1620573538,216
1620573568,217
1620573598,217
1620573628,216
1620573658,216
1620573688,216
1620573718,217
1620573748,217
1620573778,216
1620573808,216
1620573838,216
1620573868,218
