t,value
1620558028,81
1620558958,184
1620558988,204
1620559018,209
1620559048,209
1620559078,209
1620559108,209
1620559138,209
1620559168,210
1620559198,210
1620559228,209
1620559258,209
1620559288,209
1620559318,209
1620559348,210
1620559378,210
1620559408,210
1620559438,210
1620559468,212
1620559498,212
1620559528,211
1620559558,211
1620559588,210
1620559618,210
1620559648,210
1620559678,210
1620559708,210
1620559738,210
1620559768,218
1620559798,218
1620559828,217
1620559858,217
1620559888,217
1620559918,217
1620559948,217
1620559978,217
1620560008,217
1620560038,217
1620560068,219
1620560098,219
1620560128,218
1620560158,218
1620560188,217
1620560218,217
1620560248,217
1620560278,217
1620560308,217
1620560338,217
1620560368,222
1620560398,222
1620560428,219
1620560458,219
1620560488,219
1620560518,219
1620560548,219
1620560578,219
1620560608,220
1620560638,220
1620560668,223
1620560698,223
1620560728,221
1620560758,221
1620560788,220
1620560818,220
1620560848,220
1620560878,220
1620560908,220
1620560938,220
1620560968,221
1620560998,221
1620561028,220
1620561058,220
1620561088,220
1620561118,220
1620561148,220
1620561178,220
1620561208,220
1620561238,220
1620561268,222
1620561298,222
1620561328,221
1620561358,221
1620561388,220
1620561418,220
1620561448,220
1620561478,220
1620561508,220
1620561538,220
1620561568,221
1620561598,221
1620561628,220
1620561658,220
1620561688,220
1620561718,220
1620561748,220
1620561778,221
1620561808,221
1620561838,221
1620561868,223
1620561898,223
1620561928,222
1620561958,222
1620561988,221
1620562018,221
1620562048,221
1620562078,221
1620562108,221
1620562138,221
1620562168,222
1620562198,222
1620562228,221
1620562258,221
1620562288,221
1620562318,221
1620562348,221
1620562378,221
1620562408,221
1620562438,221
1620562468,223
1620562498,223
1620562528,222
1620562558,222
1620562588,221
1620562618,221
1620562648,221
1620562678,221
1620562708,221
1620562738,221
1620562768,222
1620562798,222
1620562828,221
1620562858,221
1620562888,221
1620562918,221
1620562948,221
1620562978,221
1620563008,221
1620563038,221
1620563068,223
1620563098,223
1620563128,222
1620563158,222
1620563188,221
1620563218,222
1620563248,222
1620563278,222
1620563308,222
1620563338,222
1620563368,223
1620563398,223
1620563428,222
1620563458,222
1620563488,223
1620563518,223
1620563548,223
1620563578,223
1620563608,223
1620563638,223
1620563668,225
1620563698,225
1620563728,224
1620563758,224
1620563788,223
1620563818,223
1620563848,223
1620563878,223
1620563908,223
1620563938,223
1620563968,224
1620563998,224
