t,value
1620558028,0
1620558958,0
1620558988,0
1620559018,51
1620559048,51
1620559078,51
1620559108,51
1620559138,51
1620559168,51
1620559198,51
1620559228,51
1620559258,51
1620559288,51
1620559318,51
1620559348,51
1620559378,51
1620559408,51
1620559438,51
1620559468,51
1620559498,51
1620559528,51
1620559558,51
1620559588,51
1620559618,51
1620559648,51
1620559678,51
1620559708,51
1620559738,51
1620559768,51
1620559798,51
1620559828,51
1620559858,51
1620559888,51
1620560377,51
1620560407,51
1620560437,51
1620560467,51
1620560497,51
1620560527,51
1620560557,51
1620560587,51
1620560617,51
1620560647,51
1620560677,51
1620560707,51
1620560737,51
1620560767,171
1620560797,171
1620560827,171
1620560857,171
1620560887,171
1620560917,171
1620560947,171
1620560977,171
1620561007,171
1620561037,171
1620561067,171
1620561097,171
1620561127,171
1620561157,171
1620561187,171
1620561217,171
1620561247,171
1620561277,171
1620561307,171
1620561337,171
1620561367,171
1620561397,171
1620561427,171
1620561457,171
1620561487,171
1620561517,171
1620561547,171
1620561577,171
1620561607,171
1620561637,171
1620561667,171
1620561697,171
1620561727,171
1620561757,171
1620561787,171
1620561817,171
1620561847,171
1620561877,171
1620561907,171
1620561937,171
1620561967,171
1620561997,171
1620562027,171
1620562057,171
1620562087,171
1620562117,171
1620562147,171
1620562177,171
1620562207,171
1620562237,171
1620562267,171
1620562297,171
1620562327,171
1620562357,171
1620562387,171
1620562417,171
1620562447,171
1620562477,171
1620562507,171
1620562537,171
1620562567,171
1620562597,171
1620562627,171
1620562657,171
1620562687,171
1620562717,171
1620562747,171
1620562777,171
1620562807,171
1620562837,171
1620562867,171
1620562897,171
1620562927,171
1620562957,171
1620562987,171
1620563017,171
1620563047,171
1620563077,171
1620563107,171
1620563137,171
1620563167,171
1620563197,171
1620563227,171
1620563257,171
1620563287,171
1620563317,171
1620563347,171
1620563377,171
1620563407,171
1620563437,171
1620563467,171
1620563497,171
1620563527,171
1620563557,171
1620563587,171
1620563617,171
1620563647,171
1620563677,171
1620563707,171
1620563737,171
1620563767,171
1620563797,171
1620563827,171
1620563857,171
1620563887,171
1620563917,171
1620563947,171
1620563977,171
1620564007,171
1620564037,171
1620564067,171
1620564097,171
1620564127,171
1620564157,171
1620564187,171
1620564217,171
1620564247,171
1620564277,171
1620564307,171
1620564337,171
1620564367,171
1620564397,171
1620564427,171
1620564457,171
1620564487,171
1620564517,171
1620564547,171
1620564577,171
1620564607,171
1620564637,171
1620564667,171
1620564697,171
1620564727,171
1620564757,171
1620564787,171
1620564817,171
1620564847,171
1620564877,171
1620564907,171
1620564937,171
1620564967,171
1620564997,171
1620565027,171
1620565057,171
1620565087,171
1620565117,171
1620565147,171
1620565177,171
1620565207,171
1620565237,171
1620565267,171
1620565297,171
1620565327,171
1620565357,171
1620565387,171
1620565417,171
1620565447,171
1620565477,171
1620565507,171
1620565537,171
1620565567,171
1620565597,171
1620565627,171
1620565657,171
1620565687,171
1620565717,171
1620565747,171
1620565777,171
1620565807,171
1620565837,171
1620565867,171
1620565897,171
1620565927,171
1620565957,171
1620565987,171
1620566017,171
1620566047,171
1620566077,171
1620566107,171
1620566137,171
1620566167,171
1620566197,171
1620566227,171
1620566257,171
1620566287,171
1620566317,171
1620566347,171
1620566377,171
1620566407,171
1620566437,171
1620566467,171
1620566497,171
1620566527,171
1620566557,171
1620566587,171
1620566617,171
1620566647,171
1620566677,171
1620566707,171
1620566737,171
1620566767,171
1620566797,171
1620566827,171
1620566857,171
1620566887,171
1620566917,171
1620566947,171
1620566977,171
1620567007,171
1620567037,171
1620567067,171
1620567097,171
1620567127,171
1620567157,171
1620567187,171
1620567217,171
1620567247,171
1620567277,171
1620567307,171
1620567337,171
1620567367,171
1620567397,171
1620567427,171
1620567457,171
1620567487,171
1620567517,171
1620567547,171
1620567577,171
1620567607,171
1620567637,171
1620567667,171
1620567697,171
1620567727,171
1620567757,171
1620567787,171
1620567817,171
1620567847,171
1620567877,171
1620567907,171
1620567937,171
1620567967,171
1620567997,171
1620568027,171
1620568057,171
1620568087,171
1620568117,171
1620568147,171
1620568177,171
1620568207,171
1620568237,171
1620568267,171
1620568297,171
1620568327,171
1620568357,171
1620568387,171
1620568417,171
1620568447,171
1620568477,171
1620568507,171
1620568537,171
1620568567,171
1620568597,171
1620568627,171
1620568657,171
1620568687,171
1620568717,171
1620568747,171
1620568777,171
1620568807,171
1620568837,171
1620568867,171
1620568897,171
1620568927,171
1620568957,171
1620568987,171
1620569017,171
1620569047,171
1620569077,171
1620569107,171
1620569137,171
1620569167,171
1620569197,171
1620569227,171
1620569257,171
1620569287,171
1620569317,171
1620569347,171
1620569377,171
1620569407,171
1620569437,171
1620569467,171
1620569497,171
1620569527,171
1620569557,171
1620569587,171
1620569617,171
1620569647,171
1620569677,171
1620569707,171
1620569737,171
1620569767,171
1620569797,171
1620569827,171
1620569857,171
1620569887,171
1620569917,171
1620569947,171
1620569977,171
1620570007,171
1620570037,171
1620570067,171
1620570097,171
1620570127,171
1620570157,171
1620570187,171
1620570217,171
1620570247,171
1620570277,171
1620570307,171
1620570337,171
1620570367,171
1620570397,171
1620570427,171
1620570457,171
1620570487,171
1620570517,171
1620570547,171
1620570577,171
1620570607,171
1620570637,171
1620570667,171
1620570697,171
1620570727,171
1620570757,171
1620570787,171
1620570817,171
1620570847,171
1620570877,171
1620570907,171
1620570937,171
1620570967,171
1620570997,171
1620571027,171
1620571057,171
1620571087,171
1620571117,171
1620571147,171
1620571177,171
1620571207,171
1620571237,171
1620571267,171
1620571297,171
1620571327,171
1620571357,171
1620571387,171
1620571417,171
1620571447,171
1620571477,171
1620571507,171
1620571537,171
1620571567,171
1620571597,171
1620571627,171
1620571657,171
1620571687,171
1620571717,171
1620571747,171
1620571777,171
1620571807,171
1620571837,171
1620571867,171
1620571897,171
1620571927,171
1620571957,171
1620571987,171
1620572017,171
1620572047,171
1620572077,171
1620572107,171
1620572137,171
1620572167,171
1620572197,171
1620572227,171
1620572257,171
1620572287,171
1620572317,171
1620572347,171
1620572377,171
1620572407,171
1620572437,171
1620572467,171
1620572497,171
1620572527,171
1620572557,171
1620572587,171
1620572617,171
1620572647,171
1620572677,171
1620572707,171
1620572737,171
1620572767,171
1620572797,171
1620572827,171
1620572857,171
1620572887,171
1620572917,171
1620572947,171
1620572977,171
1620573007,171
1620573037,171
1620573067,171
1620573097,171
1620573127,171
1620573157,171
1620573187,171
1620573217,171
1620573247,171
1620573277,171
1620573307,171
1620573337,171
1620573367,171
1620573397,171
1620573427,171
1620573457,171
1620573487,171
1620573517,171
1620573547,171
1620573577,171
1620573607,171
1620573637,171
1620573667,171
1620573697,171
1620573727,171
1620573757,171
1620573787,171
1620573817,171
1620573847,171
1620573877,171
1620573907,171
1620573937,171
1620573967,171
1620573997,171
1620574027,171
1620574057,171
1620574087,171
1620574117,171
1620574147,171
1620574177,171
1620574207,171
1620574237,171
1620574267,171
1620574297,171
1620574327,171
1620574357,171
1620574387,171
1620574417,171
1620574447,171
1620574477,171
1620574507,171
1620574537,171
1620574567,171
1620574597,171
1620574627,171
1620574657,171
1620574687,171
1620574717,171
1620574747,171
1620574777,171
1620574807,171
1620574837,171
1620574867,171
1620574897,171
1620574927,171
1620574957,171
1620574987,171
1620575017,171
1620575047,171
1620575077,171
1620575107,171
1620575137,171
1620575167,171
1620575197,171
1620575227,171
1620575257,171
1620575287,171
1620575317,171
1620575347,171
1620575377,171
1620575407,171
1620575437,171
1620575467,171
1620575497,171
1620575527,171
1620575557,171
1620575587,171
1620575617,171
1620575647,171
1620575677,171
1620575707,171
1620575737,171
1620575767,171
1620575797,171
1620575827,171
1620575857,171
1620575887,171
1620575917,171
1620575947,171
1620575977,171
1620576007,171
1620576037,171
1620576067,171
1620576097,171
1620576127,171
1620576157,171
1620576187,171
1620576217,171
1620576247,171
1620576277,171
1620576307,171
1620576337,171
1620576367,171
1620576397,171
1620576427,171
1620576457,171
1620576487,171
1620576517,171
1620576547,171
1620576577,171
1620576607,171
1620576637,171
1620576667,171
1620576697,171
1620576727,171
1620576757,171
1620576787,171
1620576817,171
1620576847,171
1620576877,171
1620576907,171
1620576937,171
1620576967,171
1620576997,171
1620577027,171
1620577057,171
1620577087,171
1620577117,171
1620577147,171
1620577177,171
1620577207,171
1620577237,171
1620577267,171
1620577297,171
1620577327,171
1620577357,171
1620577387,171
1620577417,171
1620577447,171
1620577477,171
1620577507,171
1620577537,171
1620577567,171
1620577597,171
1620577627,171
1620577657,171
1620577687,171
1620577717,171
1620577747,171
1620577777,171
1620577891,171
1620577921,171
1620577951,171
1620577981,171
1620578011,171
1620578041,171
1620578071,171
1620578101,171
1620578131,171
1620578161,171
1620578191,171
1620578221,171
1620578251,171
1620578281,171
1620578311,171
1620578341,171
1620578371,171
1620578401,171
1620578431,171
1620578461,171
1620578491,171
1620578521,171
1620578551,171
1620578581,171
1620578611,171
1620578641,171
1620578671,171
1620578701,171
1620578731,171
1620578761,171
1620578791,171
1620578821,171
1620578851,171
1620578881,171
1620578911,171
1620578941,171
1620578971,171
1620579001,171
1620579031,171
1620579061,171
1620579091,171
1620579121,171
1620579151,171
1620579181,171
1620579211,171
1620579241,171
1620579271,171
1620579301,171
1620579331,171
1620579361,171
1620579391,171
1620579421,171
1620579451,171
1620579481,171
1620579511,171
1620579541,171
1620579571,171
1620579601,171
1620579631,171
1620579661,171
1620579691,171
1620579721,171
1620579751,171
1620579781,171
1620579811,171
1620579841,171
1620579871,171
1620579901,171
1620579931,171
1620579961,171
1620579991,171
1620580021,171
1620580051,171
1620580081,171
1620580111,171
1620580141,171
1620580171,171
