t,value
1620558028,811008
1620558958,820269
1620558988,820269
1620559018,820269
1620559048,820269
1620559078,820269
1620559108,820269
1620559138,820269
1620559168,820269
1620559198,820269
1620559228,820269
1620559258,820269
1620559288,820269
1620559318,820269
1620559348,820269
1620559378,820269
1620559408,820269
1620559438,820269
1620559468,820269
1620559498,820269
1620559528,843722
1620559558,843722
1620559588,843722
1620559618,843722
1620559648,843722
1620559678,843722
1620559708,843722
1620559738,843722
1620559768,843722
1620559798,843722
1620559828,843722
1620559858,843722
1620559888,843722
1620560377,909450
1620560407,909450
1620560437,909450
1620560467,909450
1620560497,909450
1620560527,909450
1620560557,909450
1620560587,909450
1620560617,909450
1620560647,909450
1620560677,909450
1620560707,909450
1620560737,909450
1620560767,909450
1620560797,909450
1620560827,909450
1620560857,909450
1620560887,909450
1620560917,909450
1620560947,941582
1620560977,941582
1620561007,941582
1620561037,941582
1620561067,941582
1620561097,941582
1620561127,941582
1620561157,941582
1620561187,941582
1620561217,941582
1620561247,941582
1620561277,941582
1620561307,941582
1620561337,941582
1620561367,941582
1620561397,941582
1620561427,941582
1620561457,941582
1620561487,941582
1620561517,941582
1620561547,941582
1620561577,941582
1620561607,941582
1620561637,941582
1620561667,941582
1620561697,941582
1620561727,941582
1620561757,941582
1620561787,941582
1620561817,941582
1620561847,941582
1620561877,941582
1620561907,941582
1620561937,941582
1620561967,941582
1620561997,941582
1620562027,941582
1620562057,941582
1620562087,941582
1620562117,941582
1620562147,941774
1620562177,941774
1620562207,941774
1620562237,941774
1620562267,941774
1620562297,941774
1620562327,941774
1620562357,941774
1620562387,941774
1620562417,941774
1620562447,941774
1620562477,941774
1620562507,941774
1620562537,941774
1620562567,941774
1620562597,941774
1620562627,941774
1620562657,941774
1620562687,941774
1620562717,941774
1620562747,941774
1620562777,941774
1620562807,941774
1620562837,941774
1620562867,941774
1620562897,941774
1620562927,941774
1620562957,941774
1620562987,941774
1620563017,941774
1620563047,941774
1620563077,941774
1620563107,941774
1620563137,941774
1620563167,941774
1620563197,941774
1620563227,941774
1620563257,941774
1620563287,941774
1620563317,941774
1620563347,941774
1620563377,941774
1620563407,941774
1620563437,941774
1620563467,941774
1620563497,941774
1620563527,941774
1620563557,941774
1620563587,941774
1620563617,941774
1620563647,941774
1620563677,941774
1620563707,941774
1620563737,941774
1620563767,941774
1620563797,941774
1620563827,941774
1620563857,941774
1620563887,941774
1620563917,941774
1620563947,941774
1620563977,941774
1620564007,941774
1620564037,941774
1620564067,941774
1620564097,941774
1620564127,941774
1620564157,941774
1620564187,941774
1620564217,941774
1620564247,941774
1620564277,941774
1620564307,941774
1620564337,941774
1620564367,941774
1620564397,941774
1620564427,941774
1620564457,941774
1620564487,941774
1620564517,941774
1620564547,941774
1620564577,941774
1620564607,941774
1620564637,941774
1620564667,941774
1620564697,941774
1620564727,941774
1620564757,941774
1620564787,941774
1620564817,941774
1620564847,941774
1620564877,941774
1620564907,941774
1620564937,941774
1620564967,941774
1620564997,941774
1620565027,941774
1620565057,941774
1620565087,941774
1620565117,941774
1620565147,941774
1620565177,941774
1620565207,941774
1620565237,941774
1620565267,941774
1620565297,941774
1620565327,941774
1620565357,941774
1620565387,941774
1620565417,941774
1620565447,941774
1620565477,941774
1620565507,941774
1620565537,941774
1620565567,941774
1620565597,941774
1620565627,941774
1620565657,941774
1620565687,941774
1620565717,941774
1620565747,941774
1620565777,941774
1620565807,941774
1620565837,941774
1620565867,941774
1620565897,941774
1620565927,941774
1620565957,941774
1620565987,941774
1620566017,941774
1620566047,941774
1620566077,941774
1620566107,941774
1620566137,941774
1620566167,941774
1620566197,941774
1620566227,941774
1620566257,941774
1620566287,941774
1620566317,941774
1620566347,941774
1620566377,941774
1620566407,941774
1620566437,941774
1620566467,941774
1620566497,941774
1620566527,941774
1620566557,941774
1620566587,941774
1620566617,941774
1620566647,941774
1620566677,941774
1620566707,941774
1620566737,941774
1620566767,941774
1620566797,941774
1620566827,941774
1620566857,941774
1620566887,941774
1620566917,941774
1620566947,941774
1620566977,941774
1620567007,941774
1620567037,941774
1620567067,941774
1620567097,941774
1620567127,941774
1620567157,941774
1620567187,941774
1620567217,941774
1620567247,941774
1620567277,941774
1620567307,941774
1620567337,941774
1620567367,941774
1620567397,941774
1620567427,941774
1620567457,941774
1620567487,941774
1620567517,941774
1620567547,941774
1620567577,941774
1620567607,941774
1620567637,941774
1620567667,941774
1620567697,941774
1620567727,941774
1620567757,941774
1620567787,941774
1620567817,941774
1620567847,941774
1620567877,941774
1620567907,941774
1620567937,941774
1620567967,941774
1620567997,941774
1620568027,941774
1620568057,941774
1620568087,941774
1620568117,941774
1620568147,941774
1620568177,941774
1620568207,941774
1620568237,941774
1620568267,941774
1620568297,941774
1620568327,941774
1620568357,941774
1620568387,941774
1620568417,941774
1620568447,941774
1620568477,941774
1620568507,941774
1620568537,941774
1620568567,941774
1620568597,941774
1620568627,941774
1620568657,941774
1620568687,941774
1620568717,941774
1620568747,941774
1620568777,941774
1620568807,941774
1620568837,941774
1620568867,941774
1620568897,941774
1620568927,941774
1620568957,941774
1620568987,941774
1620569017,941774
1620569047,941774
1620569077,941774
1620569107,941774
1620569137,941774
1620569167,941774
1620569197,941774
1620569227,941774
1620569257,941774
1620569287,941774
1620569317,941774
1620569347,941774
1620569377,941774
1620569407,941774
1620569437,941774
1620569467,941774
1620569497,941774
1620569527,941774
1620569557,941774
1620569587,941774
1620569617,941774
1620569647,941774
1620569677,941774
1620569707,941774
1620569737,941774
1620569767,941774
1620569797,941774
1620569827,941774
1620569857,941774
1620569887,941774
1620569917,941774
1620569947,941774
1620569977,941774
1620570007,941774
1620570037,941774
1620570067,941774
1620570097,941774
1620570127,941774
1620570157,941774
1620570187,941774
1620570217,941774
1620570247,941774
1620570277,941774
1620570307,941774
1620570337,941774
1620570367,941774
1620570397,941774
1620570427,941774
1620570457,941774
1620570487,941774
1620570517,941774
1620570547,941774
1620570577,941774
1620570607,941774
1620570637,941774
1620570667,941774
1620570697,941774
1620570727,941774
1620570757,941774
1620570787,941774
1620570817,941774
1620570847,941774
1620570877,941774
1620570907,941774
1620570937,941774
1620570967,941774
1620570997,941774
1620571027,941774
1620571057,941774
1620571087,941774
1620571117,941774
1620571147,941774
1620571177,941774
1620571207,941774
1620571237,941774
1620571267,941774
1620571297,941774
1620571327,941774
1620571357,941774
