t,value
1620558958,1667
1620558988,4907
1620559018,1527
1620559048,4825
1620559078,1468
1620559108,4765
1620559138,1393
1620559168,4680
1620559198,1301
1620559228,4605
1620559258,1245
1620559288,4542
1620559318,1180
1620559348,4487
1620559378,1138
1620559408,4442
1620559438,1065
1620559468,4373
1620559498,1014
1620559528,4309
1620559558,917
1620559588,4235
1620559618,876
1620559648,4170
1620559678,794
1620559708,4099
1620559738,719
1620559768,4020
1620559798,666
1620559828,3957
1620559858,580
1620559888,3884
