t,value
1620558028,85
1620558958,85
1620558988,85
1620559018,85
1620559048,85
1620559078,85
1620559108,85
1620559138,85
1620559168,85
1620559198,85
1620559228,85
1620559258,85
1620559288,85
1620559318,85
1620559348,85
1620559378,85
1620559408,85
1620559438,85
1620559468,85
1620559498,85
1620559528,85
1620559558,85
1620559588,85
1620559618,85
1620559648,85
1620559678,85
1620559708,85
1620559738,85
1620559768,85
1620559798,85
1620559828,85
1620559858,85
1620559888,85
1620560377,85
1620560407,85
1620560437,85
1620560467,85
1620560497,85
1620560527,85
1620560557,85
1620560587,85
1620560617,85
1620560647,85
1620560677,85
1620560707,85
1620560737,85
1620560767,85
1620560797,85
1620560827,85
1620560857,85
1620560887,85
1620560917,85
1620560947,85
1620560977,85
1620561007,85
1620561037,85
1620561067,85
1620561097,85
1620561127,85
1620561157,85
1620561187,85
1620561217,85
1620561247,85
1620561277,85
1620561307,85
1620561337,85
1620561367,85
1620561397,85
1620561427,85
1620561457,85
1620561487,85
1620561517,85
1620561547,85
1620561577,85
1620561607,85
1620561637,85
1620561667,85
1620561697,85
1620561727,85
1620561757,85
1620561787,85
1620561817,85
1620561847,85
1620561877,85
1620561907,85
1620561937,85
1620561967,85
1620561997,85
1620562027,85
1620562057,85
1620562087,85
1620562117,85
1620562147,85
1620562177,85
1620562207,85
1620562237,85
1620562267,85
1620562297,85
1620562327,85
1620562357,85
1620562387,85
1620562417,85
1620562447,85
1620562477,85
1620562507,85
1620562537,85
1620562567,85
1620562597,85
1620562627,85
1620562657,85
1620562687,85
1620562717,85
1620562747,85
1620562777,85
1620562807,85
1620562837,85
1620562867,85
1620562897,85
1620562927,85
1620562957,85
1620562987,85
1620563017,85
1620563047,85
1620563077,85
1620563107,85
1620563137,85
1620563167,85
1620563197,85
1620563227,85
1620563257,85
1620563287,85
1620563317,85
1620563347,85
1620563377,85
1620563407,85
1620563437,85
1620563467,85
1620563497,85
1620563527,85
1620563557,85
1620563587,85
1620563617,85
1620563647,85
1620563677,85
1620563707,85
1620563737,85
1620563767,85
1620563797,85
1620563827,85
1620563857,85
1620563887,85
1620563917,85
1620563947,85
1620563977,85
1620564007,85
1620564037,85
1620564067,85
1620564097,85
1620564127,85
1620564157,85
1620564187,85
1620564217,85
1620564247,85
1620564277,85
1620564307,85
1620564337,85
1620564367,85
1620564397,85
1620564427,85
1620564457,85
1620564487,85
1620564517,85
1620564547,85
1620564577,85
1620564607,85
1620564637,85
1620564667,85
1620564697,85
1620564727,85
1620564757,85
1620564787,85
1620564817,85
1620564847,85
1620564877,85
1620564907,85
1620564937,85
1620564967,85
1620564997,85
1620565027,85
1620565057,85
1620565087,85
1620565117,85
1620565147,85
1620565177,85
1620565207,85
1620565237,85
1620565267,85
1620565297,85
1620565327,85
1620565357,85
1620565387,85
1620565417,85
1620565447,85
1620565477,85
1620565507,85
1620565537,85
1620565567,85
1620565597,85
1620565627,85
1620565657,85
1620565687,85
1620565717,85
1620565747,85
1620565777,85
1620565807,85
1620565837,85
1620565867,85
1620565897,85
1620565927,85
1620565957,85
1620565987,85
1620566017,85
1620566047,85
1620566077,85
1620566107,85
1620566137,85
1620566167,85
1620566197,85
1620566227,85
1620566257,85
1620566287,85
1620566317,85
1620566347,85
1620566377,85
1620566407,85
1620566437,85
1620566467,85
1620566497,85
1620566527,85
1620566557,85
1620566587,85
1620566617,85
1620566647,85
1620566677,85
1620566707,85
1620566737,85
1620566767,85
1620566797,85
1620566827,85
1620566857,85
1620566887,85
1620566917,85
1620566947,85
1620566977,85
1620567007,85
1620567037,85
1620567067,85
1620567097,85
1620567127,85
1620567157,85
1620567187,85
1620567217,85
1620567247,85
1620567277,85
1620567307,85
1620567337,85
1620567367,85
1620567397,85
1620567427,85
1620567457,85
1620567487,85
1620567517,85
1620567547,85
1620567577,85
1620567607,85
1620567637,85
1620567667,85
1620567697,85
1620567727,85
1620567757,85
1620567787,85
1620567817,85
1620567847,85
1620567877,85
1620567907,85
1620567937,85
1620567967,85
1620567997,85
1620568027,85
1620568057,85
1620568087,85
1620568117,85
1620568147,85
1620568177,85
1620568207,85
1620568237,85
1620568267,85
1620568297,85
1620568327,85
1620568357,85
1620568387,85
1620568417,85
1620568447,85
1620568477,85
1620568507,85
1620568537,85
1620568567,85
1620568597,85
1620568627,85
1620568657,85
1620568687,85
1620568717,85
1620568747,85
1620568777,85
1620568807,85
1620568837,85
1620568867,85
1620568897,85
1620568927,85
1620568957,85
1620568987,85
1620569017,85
1620569047,85
1620569077,85
1620569107,85
1620569137,85
1620569167,85
1620569197,85
1620569227,85
1620569257,85
1620569287,85
1620569317,85
1620569347,85
1620569377,85
1620569407,85
1620569437,85
1620569467,85
1620569497,85
1620569527,85
1620569557,85
1620569587,85
1620569617,85
1620569647,85
1620569677,85
1620569707,85
1620569737,85
1620569767,85
1620569797,85
1620569827,85
1620569857,85
1620569887,85
1620569917,85
1620569947,85
1620569977,85
1620570007,85
1620570037,85
1620570067,85
1620570097,85
1620570127,85
1620570157,85
1620570187,85
1620570217,85
1620570247,85
1620570277,85
1620570307,85
1620570337,85
1620570367,85
1620570397,85
1620570427,85
1620570457,85
1620570487,85
1620570517,85
1620570547,85
1620570577,85
1620570607,85
1620570637,85
1620570667,85
1620570697,85
1620570727,85
1620570757,85
1620570787,85
1620570817,85
1620570847,85
1620570877,85
1620570907,85
1620570937,85
1620570967,85
1620570997,85
1620571027,85
1620571057,85
1620571087,85
1620571117,85
1620571147,85
1620571177,85
1620571207,85
1620571237,85
1620571267,85
1620571297,85
1620571327,85
1620571357,85
1620571387,85
1620571417,85
1620571447,85
1620571477,85
1620571507,85
1620571537,85
1620571567,85
1620571597,85
1620571627,85
1620571657,85
1620571687,85
1620571717,85
1620571747,85
1620571777,85
1620571807,85
1620571837,85
1620571867,85
1620571897,85
1620571927,85
1620571957,85
1620571987,85
1620572017,85
1620572047,85
1620572077,85
1620572107,85
1620572137,85
1620572167,85
1620572197,85
1620572227,85
1620572257,85
1620572287,85
1620572317,85
1620572347,85
1620572377,85
1620572407,85
1620572437,85
1620572467,85
1620572497,85
1620572527,85
1620572557,85
1620572587,85
1620572617,85
1620572647,85
1620572677,85
1620572707,85
1620572737,85
1620572767,85
1620572797,85
1620572827,85
1620572857,85
1620572887,85
1620572917,85
1620572947,85
1620572977,85
1620573007,85
1620573037,85
1620573067,85
1620573097,85
1620573127,85
1620573157,85
1620573187,85
1620573217,85
1620573247,85
1620573277,85
1620573307,85
1620573337,85
1620573367,85
1620573397,85
1620573427,85
1620573457,85
1620573487,85
1620573517,85
1620573547,85
1620573577,85
1620573607,85
1620573637,85
1620573667,85
1620573697,85
1620573727,85
1620573757,85
1620573787,85
1620573817,85
1620573847,85
1620573877,85
1620573907,85
1620573937,85
1620573967,85
1620573997,85
1620574027,85
1620574057,85
1620574087,85
1620574117,85
1620574147,85
1620574177,85
1620574207,85
1620574237,85
1620574267,85
1620574297,85
1620574327,85
1620574357,85
1620574387,85
1620574417,85
1620574447,85
1620574477,85
1620574507,85
1620574537,85
1620574567,85
1620574597,85
1620574627,85
1620574657,85
1620574687,85
1620574717,85
1620574747,85
1620574777,85
1620574807,85
1620574837,85
1620574867,85
1620574897,85
1620574927,85
1620574957,85
1620574987,85
1620575017,85
1620575047,85
1620575077,85
1620575107,85
1620575137,85
1620575167,85
1620575197,85
1620575227,85
1620575257,85
1620575287,85
1620575317,85
1620575347,85
1620575377,85
1620575407,85
1620575437,85
1620575467,85
1620575497,85
1620575527,85
1620575557,85
1620575587,85
1620575617,85
1620575647,85
1620575677,85
1620575707,85
1620575737,85
1620575767,85
1620575797,85
1620575827,85
1620575857,85
1620575887,85
1620575917,85
1620575947,85
1620575977,85
1620576007,85
1620576037,85
1620576067,85
1620576097,85
1620576127,85
1620576157,85
1620576187,85
1620576217,85
1620576247,85
1620576277,85
1620576307,85
1620576337,85
1620576367,85
1620576397,85
1620576427,85
1620576457,85
1620576487,85
1620576517,85
1620576547,85
1620576577,85
1620576607,85
1620576637,85
1620576667,85
1620576697,85
1620576727,85
1620576757,85
1620576787,85
1620576817,85
1620576847,85
1620576877,85
1620576907,85
1620576937,85
1620576967,85
1620576997,85
1620577027,85
1620577057,85
1620577087,85
1620577117,85
1620577147,85
1620577177,85
1620577207,85
1620577237,85
1620577267,85
1620577297,85
1620577327,85
1620577357,85
1620577387,85
1620577417,85
1620577447,85
1620577477,85
1620577507,85
1620577537,85
1620577567,85
1620577597,85
1620577627,85
1620577657,85
1620577687,85
1620577717,85
1620577747,85
1620577777,85
1620577891,85
1620577921,85
1620577951,85
1620577981,85
1620578011,85
1620578041,85
1620578071,85
1620578101,85
1620578131,85
1620578161,85
1620578191,85
1620578221,85
1620578251,85
1620578281,85
1620578311,85
1620578341,85
1620578371,85
1620578401,85
1620578431,85
1620578461,85
1620578491,85
1620578521,85
1620578551,85
1620578581,85
1620578611,85
1620578641,85
1620578671,85
1620578701,85
1620578731,85
1620578761,85
1620578791,85
1620578821,85
1620578851,85
1620578881,85
1620578911,85
1620578941,85
1620578971,85
1620579001,85
1620579031,85
1620579061,85
1620579091,85
1620579121,85
1620579151,85
1620579181,85
1620579211,85
1620579241,85
1620579271,85
1620579301,85
1620579331,85
1620579361,85
1620579391,85
1620579421,85
1620579451,85
1620579481,85
1620579511,85
1620579541,85
1620579571,85
1620579601,85
1620579631,85
1620579661,85
1620579691,85
1620579721,85
1620579751,85
1620579781,85
1620579811,85
1620579841,85
1620579871,85
1620579901,85
1620579931,85
1620579961,85
1620579991,85
1620580021,85
1620580051,85
1620580081,85
1620580111,85
1620580141,85
1620580171,85
