t,value
1620558028,811008
1620558958,1057524
1620558988,1057524
1620559018,1057524
1620559048,1057524
1620559078,1057524
1620559108,1057524
1620559138,1057524
1620559168,1057524
1620559198,1057524
1620559228,1057524
1620559258,1057524
1620559288,1057524
1620559318,1057524
1620559348,1057524
1620559378,1057524
1620559408,1057524
1620559438,1057524
1620559468,1057524
1620559498,1057524
1620559528,1057524
1620559558,1057524
1620559588,1057524
1620559618,1057524
1620559648,1057524
1620559678,1057524
1620559708,1057524
1620559738,1057524
1620559768,1057524
1620559798,1057524
1620559828,1057524
1620559858,1057524
1620559888,1057524
1620560377,1057524
1620560407,1057524
1620560437,1057524
1620560467,1057524
1620560497,1057524
1620560527,1057524
1620560557,1057524
1620560587,1057524
1620560617,1057524
1620560647,1057524
1620560677,1057524
1620560707,1057524
1620560737,1057524
1620560767,1057524
1620560797,1057524
1620560827,1057524
1620560857,1057524
1620560887,1057524
1620560917,1057524
1620560947,1057524
1620560977,1057524
1620561007,1057524
1620561037,1057524
1620561067,1057524
1620561097,1057524
1620561127,1057524
1620561157,1057524
1620561187,1057524
1620561217,1057524
1620561247,1057524
1620561277,1057524
1620561307,1057524
1620561337,1057524
1620561367,1057524
1620561397,1057524
1620561427,1057524
1620561457,1057524
1620561487,1057524
1620561517,1057524
1620561547,1057524
1620561577,1057524
1620561607,1057524
1620561637,1057524
1620561667,1057524
1620561697,1057524
1620561727,1057524
1620561757,1057524
1620561787,1057524
1620561817,1057524
1620561847,1057524
1620561877,1057524
1620561907,1057524
1620561937,1057524
1620561967,1057524
1620561997,1057524
1620562027,1057524
1620562057,1057524
1620562087,1057524
1620562117,1057524
1620562147,1057524
1620562177,1057524
1620562207,1057524
1620562237,1057524
1620562267,1057524
1620562297,1057524
1620562327,1057524
1620562357,1057524
1620562387,1057524
1620562417,1057524
1620562447,1057524
1620562477,1057524
1620562507,1057524
1620562537,1057524
1620562567,1057524
1620562597,1057524
1620562627,1057524
1620562657,1057524
1620562687,1057524
1620562717,1057524
1620562747,1057524
1620562777,1057524
1620562807,1057524
1620562837,1057524
1620562867,1057524
1620562897,1057524
1620562927,1057524
1620562957,1057524
1620562987,1057524
1620563017,1057524
1620563047,1057524
1620563077,1057524
1620563107,1057524
1620563137,1057524
1620563167,1057524
