t,value
1620558028,8555
1620558958,1712416
1620558988,14375612
1620559018,14375612
1620559048,14375612
1620559078,14375612
1620559108,14375612
1620559138,14375612
1620559168,14375612
1620559198,14375612
1620559228,14375612
1620559258,14375612
1620559288,14375612
1620559318,14375612
1620559348,14375612
1620559378,14375612
1620559408,14375612
1620559438,14375612
1620559468,14375612
1620559498,14375612
1620559528,14375612
1620559558,14375612
1620559588,14375612
1620559618,14375612
1620559648,14375612
1620559678,14375612
1620559708,14375612
1620559738,14375612
1620559768,14375612
1620559798,14375612
1620559828,14375612
1620559858,14375612
1620559888,14375612
1620560377,15301317
1620560407,15290681
1620560437,15361665
1620560467,15353473
1620560497,15353473
1620560527,15353473
1620560557,15353473
1620560587,15353473
1620560617,15353473
1620560647,15353473
1620560677,15353473
1620560707,15353473
1620560737,15353473
1620560767,15353473
1620560797,15353473
1620560827,15345281
1620560857,15345281
1620560887,15345281
1620560917,15345281
1620560947,15345281
1620560977,15345281
1620561007,15345281
1620561037,15345281
1620561067,15345281
1620561097,15345281
1620561127,15345281
1620561157,15345281
1620561187,15345281
1620561217,15345281
1620561247,15345281
1620561277,15345281
1620561307,15345281
1620561337,15345281
1620561367,15345281
1620561397,15345281
1620561427,15345281
1620561457,15345281
1620561487,15345281
1620561517,15345281
1620561547,15345281
1620561577,15345281
1620561607,15345281
1620561637,15345281
1620561667,15345281
1620561697,15345281
1620561727,15345281
1620561757,15345281
1620561787,15345281
1620561817,15345281
1620561847,15345281
1620561877,15345281
1620561907,15345281
1620561937,15345281
1620561967,15345281
1620561997,15345281
1620562027,15345281
1620562057,15345281
1620562087,15345281
1620562117,15345281
1620562147,15345281
1620562177,15345281
1620562207,15345281
1620562237,15345281
1620562267,15345281
1620562297,15345281
1620562327,15345281
1620562357,15345281
1620562387,15345281
1620562417,15345281
1620562447,15345281
1620562477,15345281
1620562507,15345281
1620562537,15345281
1620562567,15345281
1620562597,15345281
1620562627,15345281
1620562657,15345281
1620562687,15345281
1620562717,15345281
1620562747,15345281
1620562777,15345281
1620562807,15345281
1620562837,15345281
1620562867,15345281
1620562897,15345281
1620562927,15345281
1620562957,15345281
1620562987,15345281
1620563017,15345281
1620563047,15345281
1620563077,15345281
1620563107,15345281
1620563137,15345281
1620563167,15345281
1620563197,15345281
1620563227,15345281
1620563257,15345281
1620563287,15345281
1620563317,15345281
1620563347,15345281
1620563377,15345281
1620563407,15345281
1620563437,15345281
1620563467,15345281
1620563497,15345281
1620563527,15345281
1620563557,15345281
1620563587,15345281
1620563617,15345281
1620563647,15345281
1620563677,15345281
1620563707,15345281
1620563737,15345281
1620563767,15345281
1620563797,15345281
1620563827,15345281
1620563857,15345281
1620563887,15345281
1620563917,15345281
1620563947,15345281
1620563977,15345281
1620564007,15345281
1620564037,15345281
1620564067,15345281
1620564097,15345281
1620564127,15345281
1620564157,15345281
1620564187,15345281
1620564217,15345281
1620564247,15345281
1620564277,15345281
1620564307,15345281
1620564337,15345281
1620564367,15345281
1620564397,15345281
1620564427,15345281
1620564457,15345281
1620564487,15345281
1620564517,15345281
1620564547,15345281
1620564577,15345281
1620564607,15345281
1620564637,15345281
1620564667,15345281
1620564697,15345281
1620564727,15345281
1620564757,15345281
1620564787,15345281
1620564817,15345281
1620564847,15345281
1620564877,15345281
1620564907,15345281
1620564937,15345281
1620564967,15345281
1620564997,15345281
1620565027,15345281
1620565057,15345281
1620565087,15345281
1620565117,15345281
1620565147,15345281
1620565177,15345281
1620565207,15345281
1620565237,15345281
1620565267,15345281
1620565297,15345281
1620565327,15345281
1620565357,15345281
1620565387,15345281
1620565417,15345281
1620565447,15345281
1620565477,15345281
1620565507,15345281
1620565537,15345281
1620565567,15345281
1620565597,15345281
1620565627,15345281
1620565657,15345281
1620565687,15345281
1620565717,15345281
1620565747,15345281
1620565777,15345281
1620565807,15345281
1620565837,15345281
1620565867,15345281
1620565897,15345281
1620565927,15345281
1620565957,15345281
1620565987,15345281
1620566017,15345281
1620566047,15345281
1620566077,15345281
1620566107,15345281
1620566137,15345281
1620566167,15345281
1620566197,15345281
1620566227,15345281
1620566257,15345281
1620566287,15345281
1620566317,15345281
1620566347,15345281
1620566377,15345281
1620566407,15345281
1620566437,15345281
1620566467,15345281
1620566497,15345281
1620566527,15345281
1620566557,15345281
1620566587,15345281
1620566617,15345281
1620566647,15345281
1620566677,15345281
1620566707,15345281
1620566737,15345281
1620566767,15345281
1620566797,15345281
1620566827,15345281
1620566857,15345281
1620566887,15345281
1620566917,15345281
1620566947,15345281
1620566977,15345281
1620567007,15345281
1620567037,15345281
1620567067,15345281
1620567097,15345281
1620567127,15345281
1620567157,15345281
1620567187,15345281
1620567217,15345281
1620567247,15345281
1620567277,15345281
1620567307,15345281
1620567337,15345281
1620567367,15345281
1620567397,15345281
1620567427,15345281
1620567457,15345281
1620567487,15345281
1620567517,15345281
1620567547,15345281
1620567577,15345281
1620567607,15345281
1620567637,15345281
1620567667,15345281
1620567697,15345281
1620567727,15345281
1620567757,15345281
1620567787,15345281
1620567817,15345281
1620567847,15345281
1620567877,15345281
1620567907,15345281
1620567937,15345281
1620567967,15345281
1620567997,15345281
1620568027,15345281
1620568057,15345281
1620568087,15345281
1620568117,15345281
1620568147,15345281
1620568177,15345281
1620568207,15345281
1620568237,15345281
1620568267,15345281
1620568297,15345281
1620568327,15345281
1620568357,15345281
1620568387,15345281
1620568417,15345281
1620568447,15345281
1620568477,15345281
1620568507,15345281
1620568537,15345281
1620568567,15345281
1620568597,15345281
1620568627,15345281
1620568657,15345281
1620568687,15345281
1620568717,15345281
1620568747,15345281
1620568777,15345281
1620568807,15345281
1620568837,15345281
1620568867,15345281
1620568897,15345281
1620568927,15345281
1620568957,15345281
1620568987,15345281
1620569017,15345281
1620569047,15345281
1620569077,15345281
1620569107,15345281
1620569137,15345281
1620569167,15345281
1620569197,15345281
1620569227,15345281
1620569257,15345281
1620569287,15345281
1620569317,15345281
1620569347,15345281
1620569377,15345281
1620569407,15345281
1620569437,15345281
1620569467,15345281
1620569497,15345281
1620569527,15345281
1620569557,15345281
1620569587,15345281
1620569617,15345281
1620569647,15345281
1620569677,15345281
1620569707,15345281
1620569737,15345281
1620569767,15345281
1620569797,15345281
1620569827,15345281
1620569857,15345281
1620569887,15345281
1620569917,15345281
1620569947,15345281
1620569977,15345281
1620570007,15345281
1620570037,15345281
1620570067,15345281
1620570097,15345281
1620570127,15345281
1620570157,15345281
1620570187,15345281
1620570217,15345281
1620570247,15345281
1620570277,15345281
1620570307,15345281
1620570337,15345281
1620570367,15345281
1620570397,15345281
1620570427,15345281
1620570457,15345281
1620570487,15345281
1620570517,15345281
1620570547,15345281
1620570577,15345281
1620570607,15345281
1620570637,15345281
1620570667,15345281
1620570697,15345281
1620570727,15345281
1620570757,15345281
1620570787,15345281
1620570817,15345281
1620570847,15345281
1620570877,15345281
1620570907,15345281
1620570937,15345281
1620570967,15345281
1620570997,15345281
1620571027,15345281
1620571057,15345281
1620571087,15345281
1620571117,15345281
1620571147,15345281
1620571177,15345281
1620571207,15345281
1620571237,15345281
1620571267,15345281
1620571297,15345281
1620571327,15345281
1620571357,15345281
1620571387,15345281
1620571417,15345281
1620571447,15345281
1620571477,15345281
1620571507,15345281
1620571537,15345281
1620571567,15345281
1620571597,15345281
1620571627,15345281
1620571657,15345281
1620571687,15345281
1620571717,15345281
1620571747,15345281
1620571777,15345281
1620571807,15345281
1620571837,15345281
1620571867,15345281
1620571897,15345281
1620571927,15345281
1620571957,15345281
1620571987,15345281
1620572017,15345281
1620572047,15345281
1620572077,15345281
1620572107,15345281
1620572137,15345281
1620572167,15345281
1620572197,15345281
1620572227,15345281
1620572257,15345281
1620572287,15345281
1620572317,15345281
1620572347,15345281
1620572377,15345281
1620572407,15345281
1620572437,15345281
1620572467,15345281
1620572497,15345281
1620572527,15345281
1620572557,15345281
1620572587,15345281
1620572617,15345281
1620572647,15345281
1620572677,15345281
1620572707,15345281
1620572737,15345281
1620572767,15345281
1620572797,15345281
1620572827,15345281
1620572857,15345281
1620572887,15345281
1620572917,15345281
1620572947,15345281
1620572977,15345281
1620573007,15345281
1620573037,15345281
1620573067,15345281
1620573097,15345281
1620573127,15345281
1620573157,15345281
1620573187,15345281
1620573217,15345281
1620573247,15345281
1620573277,15345281
1620573307,15345281
1620573337,15345281
1620573367,15345281
1620573397,15345281
1620573427,15345281
1620573457,15345281
1620573487,15345281
1620573517,15345281
1620573547,15345281
1620573577,15345281
1620573607,15345281
1620573637,15345281
1620573667,15345281
1620573697,15345281
1620573727,15345281
1620573757,15345281
1620573787,15345281
1620573817,15345281
1620573847,15345281
1620573877,15345281
1620573907,15345281
1620573937,15345281
1620573967,15345281
1620573997,15345281
1620574027,15345281
1620574057,15345281
1620574087,15345281
1620574117,15345281
1620574147,15345281
1620574177,15345281
1620574207,15345281
1620574237,15345281
1620574267,15345281
1620574297,15345281
1620574327,15345281
1620574357,15345281
1620574387,15345281
1620574417,15345281
1620574447,15345281
1620574477,15345281
1620574507,15345281
1620574537,15345281
1620574567,15345281
1620574597,15345281
1620574627,15345281
1620574657,15345281
1620574687,15345281
1620574717,15345281
1620574747,15345281
1620574777,15345281
1620574807,15345281
1620574837,15345281
1620574867,15345281
1620574897,15345281
1620574927,15345281
1620574957,15345281
1620574987,15345281
1620575017,15345281
1620575047,15345281
1620575077,15345281
1620575107,15345281
1620575137,15345281
1620575167,15345281
1620575197,15345281
1620575227,15345281
1620575257,15345281
1620575287,15345281
1620575317,15345281
1620575347,15345281
1620575377,15345281
1620575407,15345281
1620575437,15345281
1620575467,15345281
1620575497,15345281
1620575527,15345281
1620575557,15345281
1620575587,15345281
1620575617,15345281
1620575647,15345281
1620575677,15345281
1620575707,15345281
1620575737,15345281
1620575767,15345281
1620575797,15345281
1620575827,15345281
1620575857,15345281
1620575887,15345281
1620575917,15345281
1620575947,15345281
1620575977,15345281
1620576007,15345281
1620576037,15345281
1620576067,15345281
1620576097,15345281
1620576127,15345281
1620576157,15345281
1620576187,15345281
1620576217,15345281
1620576247,15345281
1620576277,15345281
1620576307,15345281
1620576337,15345281
1620576367,15345281
1620576397,15345281
1620576427,15345281
1620576457,15345281
1620576487,15345281
1620576517,15345281
1620576547,15345281
1620576577,15345281
1620576607,15345281
1620576637,15345281
1620576667,15345281
1620576697,15345281
1620576727,15345281
1620576757,15345281
1620576787,15345281
1620576817,15345281
1620576847,15345281
1620576877,15345281
1620576907,15345281
1620576937,15345281
1620576967,15345281
1620576997,15345281
1620577027,15345281
1620577057,15345281
1620577087,15345281
1620577117,15345281
1620577147,15345281
1620577177,15345281
1620577207,15345281
1620577237,15345281
1620577267,15345281
1620577297,15345281
1620577327,15345281
1620577357,15345281
1620577387,15345281
1620577417,15345281
1620577447,15345281
1620577477,15345281
1620577507,15345281
1620577537,15345281
1620577567,15345281
1620577597,15345281
1620577627,15345281
