t,value
1620558028,168820736
1620558958,51380224
1620558988,15728640
1620559018,114294784
1620559048,141557760
1620559078,149946368
1620559108,174063616
1620559138,182452224
1620559168,209715200
1620559198,218103808
1620559228,242221056
1620559258,250609664
1620559288,277872640
1620559318,286261248
1620559348,13631488
1620559378,22020096
1620559408,47185920
1620559438,70254592
1620559468,96468992
1620559498,101711872
1620559528,130023424
1620559558,138412032
1620559588,161480704
1620559618,169869312
1620559648,196083712
1620559678,204472320
1620559708,228589568
1620559738,236978176
1620559768,268435456
1620559798,282066944
1620559828,308281344
1620559858,2097152
1620559888,33554432
1620560377,253755392
1620560407,10485760
1620560437,116391936
1620560467,143654912
1620560497,160432128
1620560527,202375168
1620560557,216006656
1620560587,249561088
1620560617,258998272
1620560647,291504128
1620560677,5242880
1620560707,37748736
1620560737,47185920
1620560767,85983232
1620560797,125829120
1620560827,159383552
1620560857,169869312
1620560887,201326592
1620560917,211812352
1620560947,258998272
1620560977,268435456
1620561007,298844160
1620561037,6291456
1620561067,38797312
1620561097,47185920
1620561127,74448896
1620561157,79691776
1620561187,113246208
1620561217,126877696
1620561247,157286400
1620561277,166723584
1620561307,202375168
1620561337,210763776
1620561367,244318208
1620561397,255852544
1620561427,289406976
1620561457,297795584
1620561487,27262976
1620561517,32505856
1620561547,60817408
1620561577,69206016
1620561607,97517568
1620561637,105906176
1620561667,134217728
1620561697,139460608
1620561727,169869312
1620561757,176160768
1620561787,203423744
1620561817,211812352
1620561847,242221056
1620561877,247463936
1620561907,277872640
1620561937,293601280
1620561967,23068672
1620561997,34603008
1620562027,57671680
1620562057,62914560
1620562087,88080384
1620562117,93323264
1620562147,118489088
1620562177,123731968
1620562207,148897792
1620562237,154140672
1620562267,178257920
1620562297,183500800
1620562327,208666624
1620562357,213909504
1620562387,238026752
1620562417,244318208
1620562447,268435456
1620562477,274726912
1620562507,298844160
1620562537,5242880
1620562567,30408704
1620562597,34603008
1620562627,58720256
1620562657,63963136
1620562687,89128960
1620562717,94371840
1620562747,119537664
1620562777,124780544
1620562807,148897792
1620562837,155189248
1620562867,179306496
1620562897,185597952
1620562927,209715200
1620562957,214958080
1620562987,239075328
1620563017,245366784
1620563047,269484032
1620563077,274726912
1620563107,299892736
1620563137,5242880
1620563167,30408704
1620563197,35651584
1620563227,59768832
1620563257,65011712
1620563287,90177536
1620563317,95420416
1620563347,120586240
1620563377,126877696
1620563407,149946368
1620563437,156237824
1620563467,180355072
1620563497,184549376
1620563527,208666624
1620563557,214958080
1620563587,239075328
1620563617,245366784
1620563647,269484032
1620563677,274726912
1620563707,299892736
1620563737,3145728
1620563767,28311552
1620563797,33554432
1620563827,57671680
1620563857,63963136
1620563887,88080384
1620563917,93323264
1620563947,118489088
1620563977,123731968
1620564007,147849216
1620564037,154140672
1620564067,179306496
1620564097,183500800
1620564127,208666624
1620564157,213909504
1620564187,239075328
1620564217,244318208
1620564247,269484032
1620564277,274726912
1620564307,298844160
1620564337,3145728
1620564367,27262976
1620564397,33554432
1620564427,57671680
1620564457,62914560
1620564487,88080384
1620564517,93323264
1620564547,118489088
1620564577,123731968
1620564607,148897792
1620564637,154140672
1620564667,179306496
1620564697,184549376
1620564727,208666624
1620564757,213909504
1620564787,239075328
1620564817,245366784
1620564847,269484032
1620564877,274726912
1620564907,298844160
1620564937,5242880
1620564967,29360128
1620564997,35651584
1620565027,59768832
1620565057,65011712
1620565087,90177536
1620565117,96468992
1620565147,120586240
1620565177,125829120
1620565207,150994944
1620565237,156237824
1620565267,179306496
1620565297,184549376
1620565327,209715200
1620565357,214958080
1620565387,240123904
1620565417,245366784
1620565447,270532608
1620565477,275775488
1620565507,299892736
1620565537,5242880
1620565567,30408704
1620565597,35651584
1620565627,59768832
1620565657,65011712
1620565687,89128960
1620565717,95420416
1620565747,120586240
1620565777,125829120
1620565807,149946368
1620565837,156237824
1620565867,180355072
1620565897,185597952
1620565927,210763776
1620565957,216006656
1620565987,240123904
1620566017,246415360
1620566047,270532608
1620566077,275775488
1620566107,1048576
1620566137,5242880
1620566167,30408704
1620566197,36700160
1620566227,60817408
1620566257,66060288
1620566287,90177536
1620566317,95420416
1620566347,120586240
1620566377,126877696
1620566407,150994944
1620566437,156237824
1620566467,180355072
1620566497,186646528
1620566527,210763776
1620566557,217055232
1620566587,241172480
1620566617,246415360
1620566647,271581184
1620566677,276824064
1620566707,300941312
1620566737,5242880
1620566767,30408696
1620566797,35651576
1620566827,59768824
1620566857,66060280
1620566887,90177528
1620566917,96468984
1620566947,120586232
1620566977,126877688
1620567007,150994936
1620567037,156237816
1620567067,181403640
1620567097,186646520
1620567127,210763768
1620567157,216006648
1620567187,241172472
1620567217,246415352
1620567247,271581176
1620567277,276824056
1620567307,300941304
1620567337,6291456
1620567367,31457280
1620567397,36700160
1620567427,61865984
1620567457,67108864
1620567487,91226112
1620567517,97517568
1620567547,120586240
1620567577,125829120
1620567607,150994944
1620567637,156237824
1620567667,181403648
1620567697,186646528
1620567727,210763776
1620567757,217055232
1620567787,241172480
1620567817,247463936
1620567847,271581184
1620567877,277872640
1620567907,1048576
1620567937,7340032
1620567967,31457280
1620567997,36700160
1620568027,60817408
1620568057,67108864
1620568087,91226112
1620568117,96468992
1620568147,121634816
1620568177,126877696
1620568207,152043520
1620568237,157286400
1620568267,181403648
1620568297,187695104
1620568327,211812352
1620568357,218103808
1620568387,242221056
1620568417,247463936
1620568447,272629760
1620568477,277872640
1620568507,2097152
1620568537,8388608
1620568567,33554432
1620568597,38797312
1620568627,62914560
1620568657,68157440
1620568687,93323264
1620568717,98566144
1620568747,123731968
1620568777,128974848
1620568807,154140672
1620568837,159383552
1620568867,182452224
1620568897,188743680
1620568927,212860928
1620568957,218103808
1620568987,243269632
1620569017,249561088
1620569047,273678336
1620569077,279969792
1620569107,304087040
1620569137,309329920
1620569167,20971520
1620569197,26214400
1620569227,51380224
1620569257,56623104
1620569287,81788928
1620569317,87031808
1620569347,111149056
1620569377,117440512
1620569407,141557760
1620569437,146800640
1620569467,170917888
1620569497,177209344
1620569527,202375168
1620569557,207618048
1620569587,231735296
1620569617,236978176
1620569647,262144000
1620569677,267386880
1620569707,292552704
1620569737,297795584
1620569767,5242880
1620569797,11534336
1620569827,35651584
1620569857,41943040
1620569887,66060288
1620569917,71303168
1620569947,96468992
1620569977,101711872
1620570007,126877696
1620570037,131072000
1620570067,155189248
1620570097,161480704
1620570127,186646528
1620570157,191889408
1620570187,216006656
1620570217,221249536
1620570247,246415360
1620570277,251658240
1620570307,276824064
1620570337,282066944
1620570367,307232768
1620570397,312475648
1620570427,18874368
1620570457,25165824
1620570487,49283072
1620570517,54525952
1620570547,79691776
1620570577,85983232
1620570607,110100480
1620570637,116391936
1620570667,139460608
1620570697,145752064
1620570727,168820736
1620570757,175112192
1620570787,199229440
1620570817,204472320
1620570847,229638144
1620570877,234881024
1620570907,260046848
1620570937,265289728
1620570967,290455552
1620570997,295698432
1620571027,2097152
1620571057,8388608
1620571087,31457280
1620571117,36700160
1620571147,62914560
1620571177,68157440
1620571207,93323264
1620571237,98566144
1620571267,122683392
1620571297,128974848
1620571327,153092096
1620571357,159383552
1620571387,183500800
1620571417,188743680
1620571447,213909504
1620571477,219152384
1620571507,244318208
1620571537,249561088
1620571567,273678336
1620571597,279969792
1620571627,304087040
1620571657,309329920
1620571687,15728640
1620571717,20971520
1620571747,45088768
1620571777,50331648
1620571807,75497472
1620571837,80740352
1620571867,105906176
1620571897,111149056
1620571927,135266304
1620571957,141557760
1620571987,165675008
1620572017,171966464
1620572047,197132288
1620572077,202375168
1620572107,226492416
1620572137,232783872
1620572167,256901120
1620572197,262144000
1620572227,286261248
1620572257,292552704
1620572287,317718528
1620572317,4194304
1620572347,30408704
1620572377,34603008
1620572407,59768832
1620572437,66060288
1620572467,90177536
1620572497,95420416
1620572527,120586240
1620572557,125829120
1620572587,150994944
1620572617,157286400
1620572647,181403648
1620572677,186646528
1620572707,211812352
1620572737,217055232
1620572767,240123904
1620572797,245366784
1620572827,270532608
1620572857,275775488
1620572887,301989888
1620572917,307232768
1620572947,12582912
1620572977,17825792
1620573007,42991616
1620573037,48234496
1620573067,73400320
1620573097,78643200
1620573127,102760448
1620573157,109051904
1620573187,133169152
1620573217,139460608
1620573247,163577856
1620573277,169869312
1620573307,193986560
1620573337,198180864
1620573367,223346688
1620573397,229638144
1620573427,253755392
1620573457,258998272
1620573487,283115520
1620573517,289406976
1620573547,314572800
1620573577,2097152
1620573607,26214400
1620573637,31457280
1620573667,55574528
1620573697,61865984
1620573727,87031808
1620573757,92274688
1620573787,116391936
1620573817,122683392
1620573847,146800640
1620573877,153092096
1620573907,177209344
1620573937,183500800
