t,value
1620558028,75
1620558958,176
1620558988,198
1620559018,202
1620559048,202
1620559078,202
1620559108,202
1620559138,202
1620559168,202
1620559198,202
1620559228,203
1620559258,203
1620559288,202
1620559318,202
1620559348,203
1620559378,203
1620559408,203
1620559438,203
1620559468,203
1620559498,203
1620559528,205
1620559558,205
1620559588,203
1620559618,203
1620559648,203
1620559678,203
1620559708,203
1620559738,203
1620559768,203
1620559798,203
1620559828,204
1620559858,204
1620559888,203
1620560377,157
1620560407,152
1620560437,152
1620560467,151
1620560497,151
1620560527,150
1620560557,150
1620560587,149
1620560617,149
1620560647,150
1620560677,150
1620560707,147
1620560737,147
1620560767,146
1620560797,146
1620560827,145
1620560857,145
1620560887,145
1620560917,145
1620560947,146
1620560977,146
1620561007,145
1620561037,145
1620561067,145
1620561097,145
1620561127,145
1620561157,145
1620561187,145
1620561217,145
1620561247,146
1620561277,146
1620561307,145
1620561337,145
1620561367,145
1620561397,145
1620561427,145
1620561457,145
1620561487,145
1620561517,145
1620561547,146
1620561577,146
1620561607,145
1620561637,145
1620561667,145
1620561697,145
1620561727,145
1620561757,145
1620561787,147
1620561817,147
1620561847,148
1620561877,148
1620561907,147
1620561937,147
1620561967,147
1620561997,147
1620562027,147
1620562057,147
1620562087,147
1620562117,147
1620562147,148
1620562177,148
1620562207,147
1620562237,147
1620562267,147
1620562297,147
1620562327,147
1620562357,147
1620562387,147
1620562417,147
1620562447,148
1620562477,148
1620562507,147
1620562537,147
1620562567,147
1620562597,147
1620562627,147
1620562657,147
1620562687,147
1620562717,147
1620562747,148
1620562777,148
1620562807,147
1620562837,147
1620562867,147
1620562897,147
1620562927,147
1620562957,147
1620562987,147
1620563017,147
1620563047,148
1620563077,148
1620563107,147
1620563137,147
1620563167,147
1620563197,147
1620563227,147
1620563257,147
1620563287,147
1620563317,147
1620563347,148
1620563377,148
1620563407,147
1620563437,147
1620563467,147
1620563497,147
1620563527,147
1620563557,147
1620563587,147
1620563617,147
1620563647,148
1620563677,148
1620563707,147
1620563737,147
1620563767,147
1620563797,147
1620563827,147
1620563857,147
1620563887,147
1620563917,147
1620563947,148
1620563977,148
1620564007,147
1620564037,147
1620564067,147
1620564097,147
1620564127,147
1620564157,147
1620564187,147
1620564217,147
1620564247,148
1620564277,148
1620564307,147
1620564337,147
1620564367,147
1620564397,147
1620564427,147
1620564457,147
1620564487,147
1620564517,147
1620564547,148
1620564577,148
1620564607,147
1620564637,147
1620564667,149
1620564697,149
1620564727,147
1620564757,147
1620564787,147
1620564817,147
1620564847,148
1620564877,148
1620564907,147
1620564937,147
1620564967,147
1620564997,148
1620565027,148
1620565057,147
1620565087,147
1620565117,147
1620565147,148
1620565177,148
1620565207,147
1620565237,147
1620565267,147
1620565297,147
1620565327,147
1620565357,147
1620565387,147
1620565417,147
1620565447,148
1620565477,148
1620565507,147
1620565537,147
1620565567,147
1620565597,147
1620565627,147
1620565657,147
1620565687,147
1620565717,147
1620565747,148
1620565777,148
1620565807,147
1620565837,147
1620565867,147
1620565897,147
1620565927,147
1620565957,147
1620565987,147
1620566017,147
1620566047,148
1620566077,148
1620566107,147
1620566137,147
1620566167,147
1620566197,147
1620566227,147
1620566257,147
1620566287,147
1620566317,147
1620566347,148
1620566377,148
1620566407,147
1620566437,147
1620566467,147
1620566497,147
1620566527,147
1620566557,147
1620566587,147
1620566617,147
1620566647,148
1620566677,148
1620566707,147
1620566737,147
1620566767,147
1620566797,147
1620566827,149
1620566857,149
1620566887,147
1620566917,147
1620566947,148
1620566977,148
1620567007,147
1620567037,147
1620567067,147
1620567097,147
1620567127,147
1620567157,147
1620567187,147
1620567217,147
1620567247,149
1620567277,149
1620567307,147
1620567337,147
1620567367,147
1620567397,147
1620567427,147
1620567457,147
1620567487,147
1620567517,147
1620567547,148
1620567577,148
1620567607,147
1620567637,147
1620567667,147
1620567697,147
1620567727,147
1620567757,147
1620567787,147
1620567817,147
1620567847,148
1620567877,148
1620567907,147
1620567937,147
1620567967,147
1620567997,147
1620568027,147
1620568057,147
1620568087,147
1620568117,147
1620568147,148
1620568177,148
1620568207,147
1620568237,147
1620568267,147
1620568297,147
1620568327,147
1620568357,147
1620568387,147
1620568417,147
1620568447,148
1620568477,148
1620568507,147
1620568537,147
1620568567,147
1620568597,147
1620568627,147
1620568657,147
1620568687,147
1620568717,147
1620568747,148
1620568777,148
1620568807,147
1620568837,147
1620568867,147
1620568897,147
1620568927,147
1620568957,147
1620568987,149
1620569017,149
1620569047,148
1620569077,148
1620569107,147
1620569137,147
1620569167,147
1620569197,147
1620569227,147
1620569257,147
1620569287,147
1620569317,147
1620569347,149
1620569377,149
1620569407,147
1620569437,147
1620569467,145
1620569497,147
1620569527,147
1620569557,147
1620569587,147
1620569617,147
1620569647,148
1620569677,148
1620569707,147
1620569737,147
1620569767,147
1620569797,147
1620569827,147
1620569857,147
1620569887,147
1620569917,147
1620569947,148
1620569977,148
1620570007,147
1620570037,147
1620570067,147
1620570097,147
1620570127,147
1620570157,147
1620570187,147
1620570217,147
1620570247,148
1620570277,148
1620570307,147
1620570337,147
1620570367,147
1620570397,147
1620570427,147
1620570457,147
1620570487,147
1620570517,147
1620570547,148
1620570577,148
1620570607,147
1620570637,147
1620570667,147
1620570697,147
1620570727,147
1620570757,147
1620570787,147
1620570817,147
1620570847,148
1620570877,148
1620570907,147
1620570937,147
1620570967,147
1620570997,147
1620571027,147
1620571057,147
1620571087,147
1620571117,147
1620571147,148
1620571177,148
1620571207,147
1620571237,147
1620571267,147
1620571297,147
1620571327,147
1620571357,147
1620571387,147
1620571417,147
1620571447,148
1620571477,148
1620571507,147
1620571537,147
1620571567,147
1620571597,147
1620571627,147
1620571657,147
1620571687,147
1620571717,147
1620571747,148
1620571777,148
1620571807,147
1620571837,147
1620571867,147
1620571897,147
1620571927,147
1620571957,147
1620571987,147
1620572017,147
1620572047,148
1620572077,148
1620572107,147
1620572137,147
1620572167,147
1620572197,147
1620572227,147
1620572257,147
1620572287,147
1620572317,147
1620572347,148
1620572377,148
1620572407,147
1620572437,147
1620572467,147
1620572497,147
1620572527,147
1620572557,147
1620572587,147
1620572617,147
1620572647,148
1620572677,148
1620572707,147
1620572737,147
