t,value
1620558028,9223372036854775807
1620558958,9223372036854775807
1620558988,9223372036854775807
1620559018,9223372036854775807
1620559048,9223372036854775807
1620559078,9223372036854775807
1620559108,9223372036854775807
1620559138,9223372036854775807
1620559168,9223372036854775807
1620559198,9223372036854775807
1620559228,9223372036854775807
1620559258,9223372036854775807
1620559288,9223372036854775807
1620559318,9223372036854775807
1620559348,9223372036854775807
1620559378,9223372036854775807
1620559408,9223372036854775807
1620559438,9223372036854775807
1620559468,9223372036854775807
1620559498,9223372036854775807
1620559528,9223372036854775807
1620559558,9223372036854775807
1620559588,9223372036854775807
1620559618,9223372036854775807
1620559648,9223372036854775807
1620559678,9223372036854775807
1620559708,9223372036854775807
1620559738,9223372036854775807
1620559768,9223372036854775807
1620559798,9223372036854775807
1620559828,9223372036854775807
1620559858,9223372036854775807
1620559888,9223372036854775807
1620559918,9223372036854775807
1620560377,9223372036854775807
1620560407,9223372036854775807
1620560437,9223372036854775807
1620560467,9223372036854775807
1620560497,9223372036854775807
1620560527,9223372036854775807
1620560557,9223372036854775807
1620560587,9223372036854775807
1620560617,9223372036854775807
1620560647,9223372036854775807
1620560677,9223372036854775807
1620560707,9223372036854775807
1620560737,9223372036854775807
1620560767,9223372036854775807
1620560797,9223372036854775807
1620560827,9223372036854775807
1620560857,9223372036854775807
1620560887,9223372036854775807
1620560917,9223372036854775807
1620560947,9223372036854775807
1620560977,9223372036854775807
1620561007,9223372036854775807
1620561037,9223372036854775807
1620561067,9223372036854775807
1620561097,9223372036854775807
1620561127,9223372036854775807
1620561157,9223372036854775807
1620561187,9223372036854775807
1620561217,9223372036854775807
1620561247,9223372036854775807
1620561277,9223372036854775807
1620561307,9223372036854775807
1620561337,9223372036854775807
1620561367,9223372036854775807
1620561397,9223372036854775807
1620561427,9223372036854775807
1620561457,9223372036854775807
1620561487,9223372036854775807
1620561517,9223372036854775807
1620561547,9223372036854775807
1620561577,9223372036854775807
1620561607,9223372036854775807
1620561637,9223372036854775807
1620561667,9223372036854775807
1620561697,9223372036854775807
1620561727,9223372036854775807
1620561757,9223372036854775807
1620561787,9223372036854775807
1620561817,9223372036854775807
1620561847,9223372036854775807
1620561877,9223372036854775807
1620561907,9223372036854775807
1620561937,9223372036854775807
1620561967,9223372036854775807
1620561997,9223372036854775807
1620562027,9223372036854775807
1620562057,9223372036854775807
1620562087,9223372036854775807
1620562117,9223372036854775807
1620562147,9223372036854775807
1620562177,9223372036854775807
1620562207,9223372036854775807
1620562237,9223372036854775807
1620562267,9223372036854775807
1620562297,9223372036854775807
