t,value
1620558958,3473
1620558988,85
1620559018,3378
1620559048,0
1620559078,3304
1620559108,6602
1620559138,3200
1620559168,6497
1620559198,3131
1620559228,6422
1620559258,3064
1620559288,6340
1620559318,2979
1620559348,6282
1620559378,2934
1620559408,6244
1620559438,2874
1620559468,6191
1620559498,2812
1620559528,6127
1620559558,2767
1620559588,6061
1620559618,2691
1620559648,5991
1620559678,2602
1620559708,5910
1620559738,2538
1620559768,5841
1620559798,2475
1620559828,5763
1620559858,2385
1620559888,5683
1620559918,2295
