t,value
1620558028,0
1620558958,0
1620558988,0
1620559018,0
1620559048,0
1620559078,0
1620559108,0
1620559138,0
1620559168,0
1620559198,0
1620559228,0
1620559258,0
1620559288,0
1620559318,0
1620559348,0
1620559378,0
1620559408,0
1620559438,0
1620559468,0
1620559498,0
1620559528,0
1620559558,0
1620559588,0
1620559618,0
1620559648,0
1620559678,0
1620559708,0
1620559738,0
1620559768,0
1620559798,0
1620559828,0
1620559858,0
1620559888,0
1620559918,0
1620560377,37
1620560407,37
1620560437,37
1620560467,37
1620560497,37
1620560527,37
1620560557,37
1620560587,37
1620560617,37
1620560647,37
1620560677,37
1620560707,37
1620560737,37
1620560767,37
1620560797,37
1620560827,37
1620560857,37
1620560887,37
1620560917,37
1620560947,37
1620560977,37
1620561007,37
1620561037,37
1620561067,37
1620561097,37
1620561127,37
1620561157,37
1620561187,37
1620561217,37
1620561247,37
1620561277,37
1620561307,37
1620561337,37
1620561367,37
1620561397,37
1620561427,37
1620561457,37
1620561487,37
1620561517,37
1620561547,31
1620561577,31
1620561607,31
1620561637,31
1620561667,31
1620561697,31
1620561727,31
1620561757,31
1620561787,31
1620561817,31
1620561847,31
1620561877,31
1620561907,31
1620561937,31
1620561967,31
1620561997,31
1620562027,31
1620562057,31
1620562087,31
1620562117,31
1620562147,31
1620562177,31
1620562207,31
1620562237,31
1620562267,31
1620562297,31
1620562327,31
1620562357,31
1620562387,31
1620562417,31
1620562447,31
1620562477,31
1620562507,31
1620562537,31
1620562567,31
1620562597,31
1620562627,31
1620562657,31
1620562687,31
1620562717,31
1620562747,31
1620562777,31
1620562807,31
1620562837,31
1620562867,31
1620562897,31
1620562927,31
1620562957,31
1620562987,31
1620563017,31
1620563047,31
1620563077,31
1620563107,31
1620563137,31
1620563167,31
1620563197,31
1620563227,31
1620563257,31
1620563287,31
1620563317,31
1620563347,31
1620563377,31
1620563407,31
1620563437,31
1620563467,31
1620563497,31
1620563527,31
1620563557,31
1620563587,31
1620563617,31
1620563647,31
1620563677,31
1620563707,31
1620563737,31
1620563767,31
1620563797,31
1620563827,31
1620563857,31
1620563887,31
1620563917,31
1620563947,31
1620563977,31
1620564007,31
1620564037,31
1620564067,31
1620564097,31
1620564127,31
1620564157,31
1620564187,31
1620564217,31
1620564247,31
1620564277,31
1620564307,31
1620564337,31
1620564367,31
1620564397,31
1620564427,31
1620564457,31
1620564487,31
1620564517,31
1620564547,31
1620564577,31
1620564607,31
1620564637,31
1620564667,31
1620564697,31
1620564727,31
1620564757,31
1620564787,31
1620564817,31
1620564847,31
1620564877,31
1620564907,31
1620564937,31
1620564967,31
1620564997,31
1620565027,31
1620565057,31
1620565087,31
1620565117,31
1620565147,31
1620565177,31
1620565207,31
1620565237,31
1620565267,31
1620565297,31
1620565327,31
1620565357,31
1620565387,31
1620565417,31
1620565447,31
1620565477,31
1620565507,31
1620565537,31
1620565567,31
1620565597,31
1620565627,31
1620565657,31
1620565687,31
1620565717,31
1620565747,31
1620565777,31
1620565807,31
1620565837,31
1620565867,31
1620565897,31
1620565927,31
1620565957,31
1620565987,31
1620566017,31
1620566047,31
1620566077,31
1620566107,31
1620566137,31
1620566167,31
1620566197,31
1620566227,31
1620566257,31
1620566287,31
1620566317,31
1620566347,31
1620566377,31
1620566407,31
1620566437,31
1620566467,31
1620566497,31
1620566527,31
1620566557,31
1620566587,31
1620566617,31
1620566647,31
1620566677,31
1620566707,31
1620566737,31
1620566767,31
1620566797,31
1620566827,31
1620566857,31
1620566887,31
1620566917,31
1620566947,31
1620566977,31
1620567007,31
1620567037,31
1620567067,31
1620567097,31
1620567127,31
1620567157,31
1620567187,31
1620567217,31
1620567247,31
1620567277,31
1620567307,31
1620567337,31
1620567367,31
1620567397,31
1620567427,31
1620567457,31
1620567487,31
1620567517,31
1620567547,31
1620567577,31
1620567607,31
1620567637,31
1620567667,31
1620567697,31
1620567727,31
1620567757,31
1620567787,31
1620567817,31
1620567847,31
1620567877,31
1620567907,31
1620567937,31
1620567967,31
1620567997,31
1620568027,31
1620568057,31
1620568087,31
1620568117,31
1620568147,31
1620568177,31
1620568207,31
1620568237,31
1620568267,31
1620568297,31
1620568327,31
1620568357,31
1620568387,31
1620568417,31
1620568447,31
1620568477,31
1620568507,31
1620568537,31
1620568567,31
1620568597,31
1620568627,31
1620568657,31
1620568687,31
1620568717,31
1620568747,31
1620568777,31
1620568807,31
1620568837,31
1620568867,31
1620568897,31
1620568927,31
1620568957,31
1620568987,31
1620569017,31
1620569047,31
1620569077,31
1620569107,31
1620569137,31
1620569167,31
1620569197,31
1620569227,31
1620569257,31
1620569287,31
1620569317,31
1620569347,31
1620569377,31
1620569407,31
1620569437,31
1620569467,31
1620569497,31
1620569527,31
1620569557,31
1620569587,31
1620569617,31
1620569647,31
1620569677,31
1620569707,31
1620569737,31
1620569767,31
1620569797,31
1620569827,31
1620569857,31
1620569887,31
1620569917,31
1620569947,31
1620569977,31
1620570007,31
1620570037,31
1620570067,31
1620570097,31
1620570127,31
1620570157,31
1620570187,31
1620570217,31
1620570247,31
1620570277,31
1620570307,31
1620570337,31
1620570367,31
1620570397,31
1620570427,31
1620570457,31
1620570487,31
1620570517,31
1620570547,31
1620570577,31
1620570607,31
1620570637,31
1620570667,31
1620570697,31
1620570727,31
1620570757,31
1620570787,31
1620570817,31
1620570847,31
1620570877,31
1620570907,31
1620570937,31
1620570967,31
1620570997,31
1620571027,31
1620571057,31
1620571087,31
1620571117,31
1620571147,31
1620571177,31
1620571207,31
1620571237,31
1620571267,31
1620571297,31
1620571327,31
1620571357,31
1620571387,31
1620571417,31
1620571447,31
1620571477,31
1620571507,31
1620571537,31
1620571567,31
1620571597,31
1620571627,31
1620571657,31
1620571687,31
1620571717,31
1620571747,31
1620571777,31
1620571807,31
1620571837,31
1620571867,31
1620571897,31
1620571927,31
1620571957,31
1620571987,31
1620572017,31
1620572047,31
1620572077,31
1620572107,31
1620572137,31
1620572167,31
1620572197,31
1620572227,31
1620572257,31
1620572287,31
1620572317,31
1620572347,31
1620572377,31
1620572407,31
1620572437,31
1620572467,31
1620572497,31
1620572527,31
1620572557,31
1620572587,31
1620572617,31
1620572647,31
1620572677,31
1620572707,31
1620572737,31
1620572767,31
1620572797,31
1620572827,31
1620572857,31
1620572887,31
1620572917,31
1620572947,31
1620572977,31
1620573007,31
1620573037,31
1620573067,31
1620573097,31
1620573127,31
1620573157,31
1620573187,31
1620573217,31
1620573247,31
1620573277,31
1620573307,31
1620573337,31
1620573367,31
1620573397,31
1620573427,31
1620573457,31
1620573487,31
1620573517,31
1620573547,31
1620573577,31
1620573607,31
1620573637,31
1620573667,31
1620573697,31
1620573727,31
1620573757,31
1620573787,31
1620573817,31
1620573847,31
1620573877,31
1620573907,31
1620573937,31
1620573967,31
1620573997,31
1620574027,31
1620574057,31
1620574087,31
1620574117,31
1620574147,31
1620574177,31
1620574207,31
1620574237,31
1620574267,31
1620574297,31
1620574327,31
1620574357,31
1620574387,31
1620574417,31
1620574447,31
1620574477,31
1620574507,31
1620574537,31
1620574567,31
1620574597,31
1620574627,31
1620574657,31
1620574687,31
1620574717,31
1620574747,31
1620574777,31
1620574807,31
1620574837,31
1620574867,31
1620574897,31
1620574927,31
1620574957,31
1620574987,31
1620575017,31
1620575047,31
1620575077,31
1620575107,31
1620575137,31
1620575167,31
1620575197,31
1620575227,31
1620575257,31
1620575287,31
1620575317,31
1620575347,31
1620575377,31
1620575407,31
1620575437,31
1620575467,31
1620575497,31
1620575527,31
1620575557,31
1620575587,31
1620575617,31
1620575647,31
1620575677,31
1620575707,31
1620575737,31
1620575767,31
1620575797,31
1620575827,31
1620575857,31
1620575887,31
1620575917,31
1620575947,31
1620575977,31
1620576007,31
1620576037,31
1620576067,31
1620576097,31
1620576127,31
1620576157,31
1620576187,31
1620576217,31
1620576247,31
1620576277,31
1620576307,31
1620576337,31
1620576367,31
1620576397,31
1620576427,31
1620576457,31
1620576487,31
1620576517,31
1620576547,31
1620576577,31
1620576607,31
1620576637,31
1620576667,31
1620576697,31
1620576727,31
1620576757,31
1620576787,31
1620576817,31
1620576847,31
1620576877,31
1620576907,31
1620576937,31
1620576967,31
1620576997,31
1620577027,31
1620577057,31
1620577087,31
1620577117,31
1620577147,31
1620577177,31
1620577207,31
1620577237,31
1620577267,31
1620577297,31
1620577327,31
1620577357,31
1620577387,31
1620577417,31
1620577447,31
1620577477,31
1620577507,31
1620577537,31
1620577567,31
1620577597,31
1620577627,31
1620577657,31
1620577687,31
1620577717,31
1620577747,31
1620577891,0
1620577921,0
1620577951,0
1620577981,0
1620578011,0
1620578041,0
1620578071,0
1620578101,0
1620578131,0
1620578161,0
1620578191,0
1620578221,0
1620578251,0
1620578281,0
1620578311,0
1620578341,0
1620578371,0
1620578401,0
1620578431,0
1620578461,0
1620578491,0
1620578521,0
1620578551,0
1620578581,0
1620578611,0
1620578641,0
1620578671,0
1620578701,0
1620578731,0
1620578761,0
1620578791,0
1620578821,0
1620578851,0
1620578881,0
1620578911,0
1620578941,0
1620578971,0
1620579001,0
1620579031,0
1620579061,0
1620579091,0
1620579121,0
1620579151,0
1620579181,0
1620579211,0
1620579241,0
1620579271,0
1620579301,0
1620579331,0
1620579361,0
1620579391,0
1620579421,0
1620579451,0
1620579481,0
1620579511,0
1620579541,0
1620579571,0
1620579601,0
1620579631,0
1620579661,0
1620579691,0
1620579721,0
1620579751,0
1620579781,0
1620579811,0
1620579841,0
1620579871,0
1620579901,0
1620579931,0
1620579961,0
1620579991,0
1620580021,0
1620580051,0
1620580081,0
1620580111,0
1620580141,0
1620580171,0
