t,value
1620558028,0
1620558958,0
1620558988,0
1620559018,75
1620559048,75
1620559078,75
1620559108,75
1620559138,75
1620559168,75
1620559198,75
1620559228,75
1620559258,75
1620559288,75
1620559318,75
1620559348,75
1620559378,75
1620559408,75
1620559438,75
1620559468,75
1620559498,75
1620559528,75
1620559558,75
1620559588,75
1620559618,75
1620559648,75
1620559678,75
1620559708,75
1620559738,75
1620559768,75
1620559798,75
1620559828,75
1620559858,75
1620559888,75
1620559918,75
1620560377,75
1620560407,75
1620560437,75
1620560467,75
1620560497,75
1620560527,75
1620560557,75
1620560587,75
1620560617,75
1620560647,75
1620560677,75
1620560707,75
1620560737,75
1620560767,196
1620560797,196
1620560827,196
1620560857,196
1620560887,196
1620560917,196
1620560947,196
1620560977,196
1620561007,196
1620561037,196
1620561067,196
1620561097,196
1620561127,196
1620561157,196
1620561187,196
1620561217,196
1620561247,196
1620561277,196
1620561307,196
1620561337,196
1620561367,196
1620561397,196
1620561427,196
1620561457,196
1620561487,196
1620561517,196
1620561547,196
1620561577,196
1620561607,196
1620561637,196
1620561667,196
1620561697,196
1620561727,196
1620561757,196
1620561787,196
1620561817,196
1620561847,196
1620561877,196
1620561907,196
1620561937,196
1620561967,196
1620561997,196
1620562027,196
1620562057,196
1620562087,196
1620562117,196
1620562147,196
1620562177,196
1620562207,196
1620562237,196
1620562267,196
1620562297,196
1620562327,196
1620562357,196
1620562387,196
1620562417,196
1620562447,196
1620562477,196
1620562507,196
1620562537,196
1620562567,196
1620562597,196
1620562627,196
1620562657,196
1620562687,196
1620562717,196
1620562747,196
1620562777,196
1620562807,196
1620562837,196
1620562867,196
1620562897,196
1620562927,196
1620562957,196
1620562987,196
1620563017,196
1620563047,196
1620563077,196
1620563107,196
1620563137,196
1620563167,196
1620563197,196
1620563227,196
1620563257,196
1620563287,196
1620563317,196
1620563347,196
1620563377,196
1620563407,196
1620563437,196
1620563467,196
1620563497,196
1620563527,196
1620563557,196
1620563587,196
1620563617,196
1620563647,196
1620563677,196
1620563707,196
1620563737,196
1620563767,196
1620563797,196
1620563827,196
1620563857,196
1620563887,196
1620563917,196
1620563947,196
1620563977,196
1620564007,196
1620564037,196
1620564067,196
1620564097,196
1620564127,196
1620564157,196
1620564187,196
1620564217,196
1620564247,196
1620564277,196
1620564307,196
1620564337,196
1620564367,196
1620564397,196
1620564427,196
1620564457,196
1620564487,196
1620564517,196
1620564547,196
1620564577,196
1620564607,196
1620564637,196
1620564667,196
1620564697,196
1620564727,196
1620564757,196
1620564787,196
1620564817,196
1620564847,196
1620564877,196
1620564907,196
1620564937,196
1620564967,196
1620564997,196
1620565027,196
1620565057,196
1620565087,196
1620565117,196
1620565147,196
1620565177,196
1620565207,196
1620565237,196
1620565267,196
1620565297,196
1620565327,196
1620565357,196
1620565387,196
1620565417,196
1620565447,196
1620565477,196
1620565507,196
1620565537,196
1620565567,196
1620565597,196
1620565627,196
1620565657,196
1620565687,196
1620565717,196
1620565747,196
1620565777,196
1620565807,196
1620565837,196
1620565867,196
1620565897,196
1620565927,196
1620565957,196
1620565987,196
1620566017,196
1620566047,196
1620566077,196
1620566107,196
1620566137,196
1620566167,196
1620566197,196
1620566227,196
1620566257,196
1620566287,196
1620566317,196
1620566347,196
1620566377,196
1620566407,196
1620566437,196
1620566467,196
1620566497,196
1620566527,196
1620566557,196
1620566587,196
1620566617,196
1620566647,196
1620566677,196
1620566707,196
1620566737,196
1620566767,196
1620566797,196
1620566827,196
1620566857,196
1620566887,196
1620566917,196
1620566947,196
1620566977,196
1620567007,196
1620567037,196
1620567067,196
1620567097,196
1620567127,196
1620567157,196
1620567187,196
1620567217,196
1620567247,196
1620567277,196
1620567307,196
1620567337,196
1620567367,196
1620567397,196
1620567427,196
1620567457,196
1620567487,196
1620567517,196
1620567547,196
1620567577,196
1620567607,196
1620567637,196
1620567667,196
1620567697,196
1620567727,196
1620567757,196
1620567787,196
1620567817,196
1620567847,196
1620567877,196
1620567907,196
1620567937,196
1620567967,196
1620567997,196
1620568027,196
1620568057,196
1620568087,196
1620568117,196
1620568147,196
1620568177,196
1620568207,196
1620568237,196
1620568267,196
1620568297,196
1620568327,196
1620568357,196
1620568387,196
1620568417,196
1620568447,196
1620568477,196
1620568507,196
1620568537,196
1620568567,196
1620568597,196
1620568627,196
1620568657,196
1620568687,196
1620568717,196
1620568747,196
1620568777,196
1620568807,196
1620568837,196
1620568867,196
1620568897,196
1620568927,196
1620568957,196
1620568987,196
1620569017,196
1620569047,196
1620569077,196
1620569107,196
1620569137,196
1620569167,196
1620569197,196
1620569227,196
1620569257,196
1620569287,196
1620569317,196
1620569347,196
1620569377,196
1620569407,196
1620569437,196
1620569467,196
1620569497,196
1620569527,196
1620569557,196
1620569587,196
1620569617,196
1620569647,196
1620569677,196
1620569707,196
1620569737,196
1620569767,196
1620569797,196
1620569827,196
1620569857,196
1620569887,196
1620569917,196
1620569947,196
1620569977,196
1620570007,196
1620570037,196
1620570067,196
1620570097,196
1620570127,196
1620570157,196
1620570187,196
1620570217,196
1620570247,196
1620570277,196
1620570307,196
1620570337,196
1620570367,196
1620570397,196
1620570427,196
1620570457,196
1620570487,196
1620570517,196
1620570547,196
1620570577,196
1620570607,196
1620570637,196
1620570667,196
1620570697,196
1620570727,196
1620570757,196
1620570787,196
1620570817,196
1620570847,196
1620570877,196
1620570907,196
1620570937,196
1620570967,196
1620570997,196
1620571027,196
1620571057,196
1620571087,196
1620571117,196
1620571147,196
1620571177,196
1620571207,196
1620571237,196
1620571267,196
1620571297,196
1620571327,196
1620571357,196
1620571387,196
1620571417,196
1620571447,196
1620571477,196
1620571507,196
1620571537,196
1620571567,196
1620571597,196
1620571627,196
1620571657,196
1620571687,196
1620571717,196
1620571747,196
1620571777,196
1620571807,196
1620571837,196
1620571867,196
1620571897,196
1620571927,196
1620571957,196
1620571987,196
1620572017,196
1620572047,196
1620572077,196
1620572107,196
1620572137,196
1620572167,196
1620572197,196
1620572227,196
1620572257,196
1620572287,196
1620572317,196
1620572347,196
1620572377,196
1620572407,196
1620572437,196
1620572467,196
1620572497,196
1620572527,196
1620572557,196
1620572587,196
1620572617,196
1620572647,196
1620572677,196
1620572707,196
1620572737,196
1620572767,196
1620572797,196
1620572827,196
1620572857,196
1620572887,196
1620572917,196
1620572947,196
1620572977,196
1620573007,196
1620573037,196
1620573067,196
1620573097,196
1620573127,196
1620573157,196
1620573187,196
1620573217,196
1620573247,196
1620573277,196
1620573307,196
1620573337,196
1620573367,196
1620573397,196
1620573427,196
1620573457,196
1620573487,196
1620573517,196
1620573547,196
1620573577,196
1620573607,196
1620573637,196
1620573667,196
1620573697,196
1620573727,196
1620573757,196
1620573787,196
1620573817,196
1620573847,196
1620573877,196
1620573907,196
1620573937,196
1620573967,196
1620573997,196
1620574027,196
1620574057,196
1620574087,196
1620574117,196
1620574147,196
1620574177,196
1620574207,196
1620574237,196
1620574267,196
1620574297,196
1620574327,196
1620574357,196
1620574387,196
1620574417,196
1620574447,196
1620574477,196
1620574507,196
1620574537,196
1620574567,196
1620574597,196
1620574627,196
1620574657,196
1620574687,196
1620574717,196
1620574747,196
1620574777,196
1620574807,196
1620574837,196
1620574867,196
1620574897,196
1620574927,196
1620574957,196
1620574987,196
1620575017,196
1620575047,196
1620575077,196
1620575107,196
1620575137,196
1620575167,196
1620575197,196
1620575227,196
1620575257,196
1620575287,196
1620575317,196
1620575347,196
1620575377,196
1620575407,196
1620575437,196
1620575467,196
1620575497,196
1620575527,196
1620575557,196
1620575587,196
1620575617,196
1620575647,196
1620575677,196
1620575707,196
1620575737,196
1620575767,196
1620575797,196
1620575827,196
1620575857,196
1620575887,196
1620575917,196
1620575947,196
1620575977,196
1620576007,196
1620576037,196
1620576067,196
1620576097,196
1620576127,196
1620576157,196
1620576187,196
1620576217,196
1620576247,196
1620576277,196
1620576307,196
1620576337,196
1620576367,196
1620576397,196
1620576427,196
1620576457,196
1620576487,196
1620576517,196
1620576547,196
1620576577,196
1620576607,196
1620576637,196
1620576667,196
1620576697,196
1620576727,196
1620576757,196
1620576787,196
1620576817,196
1620576847,196
1620576877,196
1620576907,196
1620576937,196
1620576967,196
1620576997,196
1620577027,196
1620577057,196
1620577087,196
1620577117,196
1620577147,196
1620577177,196
1620577207,196
1620577237,196
1620577267,196
1620577297,196
1620577327,196
1620577357,196
1620577387,196
1620577417,196
1620577447,196
1620577477,196
1620577507,196
1620577537,196
1620577567,196
1620577597,196
1620577627,196
1620577657,196
1620577687,196
1620577717,196
1620577747,196
1620577891,196
1620577921,196
1620577951,196
1620577981,196
1620578011,196
1620578041,196
1620578071,196
1620578101,196
1620578131,196
1620578161,196
1620578191,196
1620578221,196
1620578251,196
1620578281,196
1620578311,196
1620578341,196
1620578371,196
1620578401,196
1620578431,196
1620578461,196
1620578491,196
1620578521,196
1620578551,196
1620578581,196
1620578611,196
1620578641,196
1620578671,196
1620578701,196
1620578731,196
1620578761,196
1620578791,196
1620578821,196
1620578851,196
1620578881,196
1620578911,196
1620578941,196
1620578971,196
1620579001,196
1620579031,196
1620579061,196
1620579091,196
1620579121,196
1620579151,196
1620579181,196
1620579211,196
1620579241,196
1620579271,196
1620579301,196
1620579331,196
1620579361,196
1620579391,196
1620579421,196
1620579451,196
1620579481,196
1620579511,196
1620579541,196
1620579571,196
1620579601,196
1620579631,196
1620579661,196
1620579691,196
1620579721,196
1620579751,196
1620579781,196
1620579811,196
1620579841,196
1620579871,196
1620579901,196
1620579931,196
1620579961,196
1620579991,196
1620580021,196
1620580051,196
1620580081,196
1620580111,196
1620580141,196
1620580171,196
