t,value
1620558028,0
1620558958,0
1620558988,0
1620559018,110
1620559048,110
1620559078,110
1620559108,110
1620559138,110
1620559168,110
1620559198,110
1620559228,110
1620559258,110
1620559288,110
1620559318,110
1620559348,110
1620559378,110
1620559408,110
1620559438,110
1620559468,110
1620559498,110
1620559528,110
1620559558,110
1620559588,110
1620559618,110
1620559648,110
1620559678,110
1620559708,110
1620559738,110
1620559768,110
1620559798,110
1620559828,110
1620559858,110
1620559888,110
1620559918,110
1620560377,110
1620560407,110
1620560437,110
1620560467,110
1620560497,110
1620560527,110
1620560557,110
1620560587,110
1620560617,110
1620560647,110
1620560677,110
1620560707,110
1620560737,110
1620560767,221
1620560797,221
1620560827,221
1620560857,221
1620560887,221
1620560917,221
1620560947,221
1620560977,221
1620561007,221
1620561037,221
1620561067,221
1620561097,221
1620561127,221
1620561157,221
1620561187,221
1620561217,221
1620561247,221
1620561277,221
1620561307,221
1620561337,221
1620561367,221
1620561397,221
1620561427,221
1620561457,221
1620561487,221
1620561517,221
1620561547,221
1620561577,221
1620561607,221
1620561637,221
1620561667,221
1620561697,221
1620561727,221
1620561757,221
1620561787,221
1620561817,221
1620561847,221
1620561877,221
1620561907,221
1620561937,221
1620561967,221
1620561997,221
1620562027,221
1620562057,221
1620562087,221
1620562117,221
1620562147,221
1620562177,221
1620562207,221
1620562237,221
1620562267,221
1620562297,221
1620562327,221
1620562357,221
1620562387,221
1620562417,221
1620562447,221
1620562477,221
1620562507,221
1620562537,221
1620562567,221
1620562597,221
1620562627,221
1620562657,221
1620562687,221
1620562717,221
1620562747,221
1620562777,221
1620562807,221
1620562837,221
1620562867,221
1620562897,221
1620562927,221
1620562957,221
1620562987,221
1620563017,221
1620563047,221
1620563077,221
1620563107,221
1620563137,221
1620563167,221
1620563197,221
1620563227,221
1620563257,221
1620563287,221
1620563317,221
1620563347,221
1620563377,221
1620563407,221
1620563437,221
1620563467,221
1620563497,221
1620563527,221
1620563557,221
1620563587,221
1620563617,221
1620563647,221
1620563677,221
1620563707,221
1620563737,221
1620563767,221
1620563797,221
1620563827,221
1620563857,221
1620563887,221
1620563917,221
1620563947,221
1620563977,221
1620564007,221
1620564037,221
1620564067,221
1620564097,221
1620564127,221
1620564157,221
1620564187,221
1620564217,221
1620564247,221
1620564277,221
1620564307,221
1620564337,221
1620564367,221
1620564397,221
1620564427,221
1620564457,221
1620564487,221
1620564517,221
1620564547,221
1620564577,221
1620564607,221
1620564637,221
1620564667,221
1620564697,221
1620564727,221
1620564757,221
1620564787,221
1620564817,221
1620564847,221
1620564877,221
1620564907,221
1620564937,221
1620564967,221
1620564997,221
1620565027,221
1620565057,221
1620565087,221
1620565117,221
1620565147,221
1620565177,221
1620565207,221
1620565237,221
1620565267,221
1620565297,221
1620565327,221
1620565357,221
1620565387,221
1620565417,221
1620565447,221
1620565477,221
1620565507,221
1620565537,221
1620565567,221
1620565597,221
1620565627,221
1620565657,221
1620565687,221
1620565717,221
1620565747,221
1620565777,221
1620565807,221
1620565837,221
1620565867,221
1620565897,221
1620565927,221
1620565957,221
1620565987,221
1620566017,221
1620566047,221
1620566077,221
1620566107,221
1620566137,221
1620566167,221
1620566197,221
1620566227,221
1620566257,221
1620566287,221
1620566317,221
1620566347,221
1620566377,221
1620566407,221
1620566437,221
1620566467,221
1620566497,221
1620566527,221
1620566557,221
1620566587,221
1620566617,221
1620566647,221
1620566677,221
1620566707,221
1620566737,221
1620566767,221
1620566797,221
1620566827,221
1620566857,221
1620566887,221
1620566917,221
1620566947,221
1620566977,221
1620567007,221
1620567037,221
1620567067,221
1620567097,221
1620567127,221
1620567157,221
1620567187,221
1620567217,221
1620567247,221
1620567277,221
1620567307,221
1620567337,221
1620567367,221
1620567397,221
1620567427,221
1620567457,221
1620567487,221
1620567517,221
1620567547,221
1620567577,221
1620567607,221
1620567637,221
1620567667,221
1620567697,221
1620567727,221
1620567757,221
1620567787,221
1620567817,221
1620567847,221
1620567877,221
1620567907,221
1620567937,221
1620567967,221
1620567997,221
1620568027,221
1620568057,221
1620568087,221
1620568117,221
1620568147,221
1620568177,221
1620568207,221
1620568237,221
1620568267,221
1620568297,221
1620568327,221
1620568357,221
1620568387,221
1620568417,221
1620568447,221
1620568477,221
1620568507,221
1620568537,221
1620568567,221
1620568597,221
1620568627,221
1620568657,221
1620568687,221
1620568717,221
1620568747,221
1620568777,221
1620568807,221
1620568837,221
1620568867,221
1620568897,221
1620568927,221
1620568957,221
1620568987,221
1620569017,221
1620569047,221
1620569077,221
1620569107,221
1620569137,221
1620569167,221
1620569197,221
1620569227,221
1620569257,221
1620569287,221
1620569317,221
1620569347,221
1620569377,221
1620569407,221
1620569437,221
1620569467,221
1620569497,221
1620569527,221
1620569557,221
1620569587,221
1620569617,221
1620569647,221
1620569677,221
1620569707,221
1620569737,221
1620569767,221
1620569797,221
1620569827,221
1620569857,221
1620569887,221
1620569917,221
1620569947,221
1620569977,221
1620570007,221
1620570037,221
1620570067,221
1620570097,221
1620570127,221
1620570157,221
1620570187,221
1620570217,221
1620570247,221
1620570277,221
1620570307,221
1620570337,221
1620570367,221
1620570397,221
1620570427,221
1620570457,221
1620570487,221
1620570517,221
1620570547,221
1620570577,221
1620570607,221
1620570637,221
1620570667,221
1620570697,221
1620570727,221
1620570757,221
1620570787,221
1620570817,221
1620570847,221
1620570877,221
1620570907,221
1620570937,221
1620570967,221
1620570997,221
1620571027,221
1620571057,221
1620571087,221
1620571117,221
1620571147,221
1620571177,221
1620571207,221
1620571237,221
1620571267,221
1620571297,221
1620571327,221
1620571357,221
1620571387,221
1620571417,221
1620571447,221
1620571477,221
1620571507,221
1620571537,221
1620571567,221
1620571597,221
1620571627,221
1620571657,221
1620571687,221
1620571717,221
1620571747,221
1620571777,221
1620571807,221
1620571837,221
1620571867,221
1620571897,221
1620571927,221
1620571957,221
1620571987,221
1620572017,221
1620572047,221
1620572077,221
1620572107,221
1620572137,221
1620572167,221
1620572197,221
1620572227,221
1620572257,221
1620572287,221
1620572317,221
1620572347,221
1620572377,221
1620572407,221
1620572437,221
1620572467,221
1620572497,221
1620572527,221
1620572557,221
1620572587,221
1620572617,221
1620572647,221
1620572677,221
1620572707,221
1620572737,221
1620572767,221
1620572797,221
1620572827,221
1620572857,221
1620572887,221
1620572917,221
1620572947,221
1620572977,221
1620573007,221
1620573037,221
1620573067,221
1620573097,221
1620573127,221
1620573157,221
1620573187,221
1620573217,221
1620573247,221
1620573277,221
1620573307,221
1620573337,221
1620573367,221
1620573397,221
1620573427,221
1620573457,221
1620573487,221
1620573517,221
1620573547,221
1620573577,221
1620573607,221
1620573637,221
1620573667,221
1620573697,221
1620573727,221
1620573757,221
1620573787,221
1620573817,221
1620573847,221
1620573877,221
1620573907,221
1620573937,221
1620573967,221
1620573997,221
1620574027,221
1620574057,221
1620574087,221
1620574117,221
1620574147,221
1620574177,221
1620574207,221
1620574237,221
1620574267,221
1620574297,221
1620574327,221
1620574357,221
1620574387,221
1620574417,221
1620574447,221
1620574477,221
1620574507,221
1620574537,221
1620574567,221
1620574597,221
1620574627,221
1620574657,221
1620574687,221
1620574717,221
1620574747,221
1620574777,221
1620574807,221
1620574837,221
1620574867,221
1620574897,221
1620574927,221
1620574957,221
1620574987,221
1620575017,221
1620575047,221
1620575077,221
1620575107,221
1620575137,221
1620575167,221
1620575197,221
1620575227,221
1620575257,221
1620575287,221
1620575317,221
1620575347,221
1620575377,221
1620575407,221
1620575437,221
1620575467,221
1620575497,221
1620575527,221
1620575557,221
1620575587,221
1620575617,221
1620575647,221
1620575677,221
1620575707,221
1620575737,221
1620575767,221
1620575797,221
1620575827,221
1620575857,221
1620575887,221
1620575917,221
1620575947,221
1620575977,221
1620576007,221
1620576037,221
1620576067,221
1620576097,221
1620576127,221
1620576157,221
1620576187,221
1620576217,221
1620576247,221
1620576277,221
1620576307,221
1620576337,221
1620576367,221
1620576397,221
1620576427,221
1620576457,221
1620576487,221
1620576517,221
1620576547,221
1620576577,221
1620576607,221
1620576637,221
1620576667,221
1620576697,221
1620576727,221
1620576757,221
1620576787,221
1620576817,221
1620576847,221
1620576877,221
1620576907,221
1620576937,221
1620576967,221
1620576997,221
1620577027,221
1620577057,221
1620577087,221
1620577117,221
1620577147,221
1620577177,221
1620577207,221
1620577237,221
1620577267,221
1620577297,221
1620577327,221
1620577357,221
1620577387,221
1620577417,221
1620577447,221
1620577477,221
1620577507,221
1620577537,221
1620577567,221
1620577597,221
1620577627,221
1620577657,221
1620577687,221
1620577717,221
1620577747,221
1620577891,221
1620577921,221
1620577951,221
1620577981,221
1620578011,221
1620578041,221
1620578071,221
1620578101,221
1620578131,221
1620578161,221
1620578191,221
1620578221,221
1620578251,221
1620578281,221
1620578311,221
1620578341,221
1620578371,221
1620578401,221
1620578431,221
1620578461,221
1620578491,221
1620578521,221
1620578551,221
1620578581,221
1620578611,221
1620578641,221
1620578671,221
1620578701,221
1620578731,221
1620578761,221
1620578791,221
1620578821,221
1620578851,221
1620578881,221
1620578911,221
1620578941,221
1620578971,221
1620579001,221
1620579031,221
1620579061,221
1620579091,221
1620579121,221
1620579151,221
1620579181,221
1620579211,221
1620579241,221
1620579271,221
1620579301,221
1620579331,221
1620579361,221
1620579391,221
1620579421,221
1620579451,221
1620579481,221
1620579511,221
1620579541,221
1620579571,221
1620579601,221
1620579631,221
1620579661,221
1620579691,221
1620579721,221
1620579751,221
1620579781,221
1620579811,221
1620579841,221
1620579871,221
1620579901,221
1620579931,221
1620579961,221
1620579991,221
1620580021,221
1620580051,221
1620580081,221
1620580111,221
1620580141,221
1620580171,221
