t,value
1620558028,811008
1620558958,819893
1620558988,819893
1620559018,819893
1620559048,819893
1620559078,819893
1620559108,819893
1620559138,819893
1620559168,819893
1620559198,819893
1620559228,819893
1620559258,819893
1620559288,819893
1620559318,819893
1620559348,819893
1620559378,819893
1620559408,819893
1620559438,819893
1620559468,819893
1620559498,819893
1620559528,819893
1620559558,819893
1620559588,819893
1620559618,819893
1620559648,819893
1620559678,819893
1620559708,819893
1620559738,819893
1620559768,819893
1620559798,819893
1620559828,819893
1620559858,819893
1620559888,819893
1620559918,819893
1620560377,885429
1620560407,885429
1620560437,885429
1620560467,885429
1620560497,885429
1620560527,885429
1620560557,885429
1620560587,885429
1620560617,885429
1620560647,885429
1620560677,885429
1620560707,885429
1620560737,885429
1620560767,885429
1620560797,885429
1620560827,885429
1620560857,885429
1620560887,885429
1620560917,885429
1620560947,885429
1620560977,885429
1620561007,885429
1620561037,885429
1620561067,885429
1620561097,885429
1620561127,885429
1620561157,885429
1620561187,885429
1620561217,885429
1620561247,885429
1620561277,885429
1620561307,885429
1620561337,885429
1620561367,885429
1620561397,885429
1620561427,885429
1620561457,885429
1620561487,885429
1620561517,885429
1620561547,885429
1620561577,885429
1620561607,885429
1620561637,885429
1620561667,885429
1620561697,885429
1620561727,885429
1620561757,885429
1620561787,885429
1620561817,885429
1620561847,885429
1620561877,885429
1620561907,885429
1620561937,885429
1620561967,885429
1620561997,885429
1620562027,885429
1620562057,885429
1620562087,885429
1620562117,885429
1620562147,885429
1620562177,885429
1620562207,885429
1620562237,885429
1620562267,885429
1620562297,885429
1620562327,885429
1620562357,885429
1620562387,885429
1620562417,885429
1620562447,885429
1620562477,885429
1620562507,885429
1620562537,885429
1620562567,885429
1620562597,885429
1620562627,885429
1620562657,885429
1620562687,885429
1620562717,885429
1620562747,885429
1620562777,885429
1620562807,885429
1620562837,885429
1620562867,885429
1620562897,885429
1620562927,885429
1620562957,885429
1620562987,885429
1620563017,885429
1620563047,885429
1620563077,885429
1620563107,885429
1620563137,885429
1620563167,885429
1620563197,885429
1620563227,885429
1620563257,885429
1620563287,885429
1620563317,885429
1620563347,885429
1620563377,885429
1620563407,885429
1620563437,885429
1620563467,885429
1620563497,885429
1620563527,885429
1620563557,885429
1620563587,885429
1620563617,885429
1620563647,885429
1620563677,885429
1620563707,885429
1620563737,885429
1620563767,885429
1620563797,885429
1620563827,885429
1620563857,885429
1620563887,885429
1620563917,885429
1620563947,885429
1620563977,885429
1620564007,885429
1620564037,885429
1620564067,885429
1620564097,885429
1620564127,885429
1620564157,885429
1620564187,885429
1620564217,885429
1620564247,885429
1620564277,885429
1620564307,885429
1620564337,885429
1620564367,885429
1620564397,885429
1620564427,885429
1620564457,885429
1620564487,885429
1620564517,885429
1620564547,885429
1620564577,885429
1620564607,885429
1620564637,885429
1620564667,885429
1620564697,885429
1620564727,885429
1620564757,885429
1620564787,885429
1620564817,885429
1620564847,885429
1620564877,885429
1620564907,885429
1620564937,885429
1620564967,885429
1620564997,885429
1620565027,885429
1620565057,885429
1620565087,885429
1620565117,885429
1620565147,885429
1620565177,885429
1620565207,885429
1620565237,885429
1620565267,885429
1620565297,885429
1620565327,885429
1620565357,885429
1620565387,885429
1620565417,885429
1620565447,885429
1620565477,885429
1620565507,885429
1620565537,885429
1620565567,885429
1620565597,885429
1620565627,885429
1620565657,885429
1620565687,885429
1620565717,885429
1620565747,885429
1620565777,885429
1620565807,885429
1620565837,885429
1620565867,885429
1620565897,885429
1620565927,885429
1620565957,885429
1620565987,885429
1620566017,885429
1620566047,885429
1620566077,885429
1620566107,885429
1620566137,885429
1620566167,885429
1620566197,885429
1620566227,885429
1620566257,885429
1620566287,885429
1620566317,885429
1620566347,885429
1620566377,885429
1620566407,885429
1620566437,885429
1620566467,885429
1620566497,885429
1620566527,885429
1620566557,885429
1620566587,885429
1620566617,885429
1620566647,885429
1620566677,885429
1620566707,885429
1620566737,885429
1620566767,885429
1620566797,885429
1620566827,885429
1620566857,885429
1620566887,885429
1620566917,885429
1620566947,885429
1620566977,885429
1620567007,885429
1620567037,885429
1620567067,885429
1620567097,885429
1620567127,885429
1620567157,885429
1620567187,885429
1620567217,885429
1620567247,885429
1620567277,885429
1620567307,885429
1620567337,885429
1620567367,885429
1620567397,885429
1620567427,885429
1620567457,885429
1620567487,885429
1620567517,885429
1620567547,885429
1620567577,885429
1620567607,885429
1620567637,885429
1620567667,885429
1620567697,885429
1620567727,885429
1620567757,885429
1620567787,885429
1620567817,885429
1620567847,885429
1620567877,885429
1620567907,885429
1620567937,885429
1620567967,885429
1620567997,885429
1620568027,885429
1620568057,885429
1620568087,885429
1620568117,885429
1620568147,885429
1620568177,885429
1620568207,885429
1620568237,885429
1620568267,885429
1620568297,885429
1620568327,885429
1620568357,885429
1620568387,885429
1620568417,885429
1620568447,885429
1620568477,885429
1620568507,885429
1620568537,885429
1620568567,885429
1620568597,885429
1620568627,885429
1620568657,885429
1620568687,885429
1620568717,885429
1620568747,885429
1620568777,885429
1620568807,885429
1620568837,885429
1620568867,885429
1620568897,885429
1620568927,885429
1620568957,885429
1620568987,885429
1620569017,885429
1620569047,885429
1620569077,885429
1620569107,885429
1620569137,885429
1620569167,885429
1620569197,885429
1620569227,885429
1620569257,885429
1620569287,885429
1620569317,885429
1620569347,885429
1620569377,885429
1620569407,885429
1620569437,885429
1620569467,885429
1620569497,885429
1620569527,885429
1620569557,885429
1620569587,885429
1620569617,885429
1620569647,885429
1620569677,885429
1620569707,885429
1620569737,885429
1620569767,885429
1620569797,885429
1620569827,885429
1620569857,885429
1620569887,885429
1620569917,885429
1620569947,885429
1620569977,885429
1620570007,885429
1620570037,885429
1620570067,885429
1620570097,885429
1620570127,885429
1620570157,885429
1620570187,885429
1620570217,885429
1620570247,885429
1620570277,885429
1620570307,885429
1620570337,885429
1620570367,885429
1620570397,885429
1620570427,885429
1620570457,885429
1620570487,885429
1620570517,885429
1620570547,885429
1620570577,885429
1620570607,885429
1620570637,885429
1620570667,885429
1620570697,885429
1620570727,885429
1620570757,885429
1620570787,885429
1620570817,885429
1620570847,885429
1620570877,885429
1620570907,885429
1620570937,885429
1620570967,885429
1620570997,885429
1620571027,885429
1620571057,885429
1620571087,885429
1620571117,885429
1620571147,885429
1620571177,885429
1620571207,885429
1620571237,885429
1620571267,885429
1620571297,885429
1620571327,885429
1620571357,885429
1620571387,885429
1620571417,885429
1620571447,885429
1620571477,885429
1620571507,885429
1620571537,885429
1620571567,885429
1620571597,885429
1620571627,885429
1620571657,885429
1620571687,885429
1620571717,885429
1620571747,885429
1620571777,885429
1620571807,885429
1620571837,885429
1620571867,885429
1620571897,885429
1620571927,885429
1620571957,885429
1620571987,885429
1620572017,885429
1620572047,885429
1620572077,885429
1620572107,885429
1620572137,885429
1620572167,885429
1620572197,885429
1620572227,885429
1620572257,885429
1620572287,885429
1620572317,885429
1620572347,885429
1620572377,885429
1620572407,885429
1620572437,885429
1620572467,885429
1620572497,885429
1620572527,885429
1620572557,885429
1620572587,885429
1620572617,885429
1620572647,885429
1620572677,885429
1620572707,885429
1620572737,885429
1620572767,885429
1620572797,885429
1620572827,885429
1620572857,885429
1620572887,885429
1620572917,885429
