t,value
1620558028,0.0
1620558958,0.0
1620558988,0.9922178988326849
1620559018,0.9887076537013801
1620559048,0.9908854166666666
1620559078,0.0
1620559108,1.0
1620559138,1.0
1620559168,1.0
1620559198,1.0
1620559228,1.0
1620559258,0.0
1620559288,1.0
1620559318,1.0
1620559348,1.0
1620559378,0.0
1620559408,1.0
1620559438,1.0
1620559468,1.0
1620559498,1.0
1620559528,1.0
1620559558,0.0
1620559588,1.0
1620559618,1.0
1620559648,1.0
1620559678,1.0
1620559708,1.0
1620559738,0.0
1620559768,1.0
1620559798,0.0
1620559828,1.0
1620559858,1.0
1620559888,1.0
1620559918,1.0
1620560377,0.0
1620560407,1.0
1620560437,1.0
1620560467,1.0
1620560497,1.0
1620560527,1.0
1620560557,1.0
1620560587,1.0
1620560617,1.0
1620560647,1.0
1620560677,1.0
1620560707,1.0
1620560737,1.0
1620560767,1.0
1620560797,1.0
1620560827,1.0
1620560857,1.0
1620560887,1.0
1620560917,1.0
1620560947,1.0
1620560977,1.0
1620561007,1.0
1620561037,1.0
1620561067,1.0
1620561097,1.0
1620561127,1.0
1620561157,1.0
1620561187,1.0
1620561217,1.0
1620561247,1.0
1620561277,1.0
1620561307,1.0
1620561337,1.0
1620561367,1.0
1620561397,1.0
1620561427,1.0
1620561457,1.0
1620561487,1.0
1620561517,1.0
1620561547,1.0
1620561577,1.0
1620561607,1.0
1620561637,1.0
1620561667,1.0
1620561697,1.0
1620561727,1.0
1620561757,1.0
1620561787,1.0
1620561817,1.0
1620561847,1.0
1620561877,1.0
1620561907,1.0
1620561937,1.0
1620561967,1.0
1620561997,1.0
1620562027,1.0
1620562057,1.0
1620562087,1.0
1620562117,1.0
1620562147,1.0
1620562177,1.0
1620562207,1.0
1620562237,1.0
1620562267,1.0
1620562297,1.0
1620562327,1.0
1620562357,1.0
1620562387,1.0
1620562417,1.0
1620562447,1.0
1620562477,1.0
1620562507,1.0
1620562537,1.0
1620562567,1.0
1620562597,1.0
1620562627,1.0
1620562657,1.0
1620562687,1.0
1620562717,1.0
1620562747,1.0
1620562777,1.0
1620562807,1.0
1620562837,1.0
1620562867,1.0
1620562897,1.0
1620562927,1.0
1620562957,1.0
1620562987,1.0
1620563017,1.0
1620563047,1.0
1620563077,1.0
1620563107,1.0
1620563137,1.0
1620563167,1.0
1620563197,1.0
1620563227,1.0
1620563257,1.0
1620563287,1.0
1620563317,1.0
1620563347,1.0
1620563377,1.0
1620563407,1.0
1620563437,1.0
1620563467,1.0
1620563497,1.0
1620563527,1.0
1620563557,1.0
1620563587,1.0
1620563617,1.0
1620563647,1.0
1620563677,1.0
1620563707,1.0
1620563737,1.0
1620563767,1.0
1620563797,1.0
1620563827,1.0
1620563857,1.0
1620563887,1.0
1620563917,1.0
1620563947,1.0
1620563977,1.0
1620564007,1.0
1620564037,1.0
1620564067,1.0
1620564097,1.0
1620564127,1.0
1620564157,1.0
1620564187,1.0
1620564217,1.0
1620564247,1.0
1620564277,1.0
1620564307,1.0
1620564337,1.0
1620564367,1.0
1620564397,1.0
1620564427,1.0
1620564457,1.0
1620564487,1.0
1620564517,1.0
1620564547,1.0
1620564577,1.0
1620564607,1.0
1620564637,1.0
1620564667,1.0
1620564697,1.0
1620564727,1.0
1620564757,1.0
1620564787,1.0
1620564817,1.0
1620564847,1.0
1620564877,1.0
1620564907,1.0
1620564937,1.0
1620564967,1.0
1620564997,1.0
1620565027,1.0
1620565057,1.0
1620565087,1.0
1620565117,1.0
1620565147,1.0
1620565177,1.0
1620565207,1.0
1620565237,1.0
1620565267,1.0
1620565297,1.0
1620565327,1.0
1620565357,1.0
1620565387,1.0
1620565417,1.0
1620565447,1.0
1620565477,1.0
1620565507,1.0
1620565537,1.0
1620565567,1.0
1620565597,1.0
1620565627,1.0
1620565657,1.0
1620565687,1.0
1620565717,1.0
1620565747,1.0
1620565777,1.0
1620565807,1.0
1620565837,1.0
1620565867,1.0
1620565897,1.0
1620565927,1.0
1620565957,1.0
1620565987,1.0
1620566017,1.0
1620566047,1.0
1620566077,1.0
1620566107,1.0
1620566137,1.0
1620566167,1.0
1620566197,1.0
1620566227,1.0
1620566257,1.0
1620566287,1.0
1620566317,1.0
1620566347,1.0
1620566377,1.0
1620566407,1.0
1620566437,1.0
1620566467,1.0
1620566497,1.0
1620566527,1.0
1620566557,1.0
1620566587,1.0
1620566617,1.0
1620566647,1.0
1620566677,1.0
1620566707,1.0
1620566737,1.0
1620566767,1.0
1620566797,1.0
1620566827,1.0
1620566857,1.0
1620566887,1.0
1620566917,1.0
1620566947,1.0
1620566977,1.0
1620567007,1.0
1620567037,1.0
1620567067,1.0
1620567097,1.0
1620567127,1.0
1620567157,1.0
1620567187,1.0
1620567217,1.0
1620567247,1.0
1620567277,1.0
1620567307,1.0
1620567337,1.0
1620567367,1.0
