t,value
1620558028,46
1620558958,46
1620558988,46
1620559018,46
1620559048,46
1620559078,46
1620559108,46
1620559138,46
1620559168,46
1620559198,46
1620559228,46
1620559258,46
1620559288,46
1620559318,46
1620559348,46
1620559378,46
1620559408,46
1620559438,46
1620559468,46
1620559498,46
1620559528,46
1620559558,46
1620559588,46
1620559618,46
1620559648,46
1620559678,46
1620559708,46
1620559738,46
1620559768,46
1620559798,46
1620559828,46
1620559858,46
1620559888,46
1620559918,46
1620560377,46
1620560407,46
1620560437,46
1620560467,46
1620560497,46
1620560527,46
1620560557,46
1620560587,46
1620560617,46
1620560647,46
1620560677,46
1620560707,46
1620560737,46
1620560767,46
1620560797,46
1620560827,46
1620560857,46
1620560887,46
1620560917,46
1620560947,46
1620560977,46
1620561007,46
1620561037,46
1620561067,46
1620561097,46
1620561127,46
1620561157,46
1620561187,46
1620561217,46
1620561247,46
1620561277,46
1620561307,46
1620561337,46
1620561367,46
1620561397,46
1620561427,46
1620561457,46
1620561487,46
1620561517,46
1620561547,46
1620561577,46
1620561607,46
1620561637,46
1620561667,46
1620561697,46
1620561727,46
1620561757,46
1620561787,46
1620561817,46
1620561847,46
1620561877,46
1620561907,46
1620561937,46
1620561967,46
1620561997,46
1620562027,46
1620562057,46
1620562087,46
1620562117,46
1620562147,46
1620562177,46
1620562207,46
1620562237,46
1620562267,46
1620562297,46
1620562327,46
1620562357,46
1620562387,46
1620562417,46
1620562447,46
1620562477,46
1620562507,46
1620562537,46
1620562567,46
1620562597,46
1620562627,46
1620562657,46
1620562687,46
1620562717,46
1620562747,46
1620562777,46
1620562807,46
1620562837,46
1620562867,46
1620562897,46
1620562927,46
1620562957,46
1620562987,46
1620563017,46
1620563047,46
1620563077,46
1620563107,46
1620563137,46
1620563167,46
1620563197,46
1620563227,46
1620563257,46
1620563287,46
1620563317,46
1620563347,46
1620563377,46
1620563407,46
1620563437,46
1620563467,46
1620563497,46
1620563527,46
1620563557,46
1620563587,46
1620563617,46
1620563647,46
1620563677,46
1620563707,46
1620563737,46
1620563767,46
1620563797,46
1620563827,46
1620563857,46
1620563887,46
1620563917,46
1620563947,46
1620563977,46
1620564007,46
1620564037,46
1620564067,46
1620564097,46
1620564127,46
1620564157,46
1620564187,46
1620564217,46
1620564247,46
1620564277,46
1620564307,46
1620564337,46
1620564367,46
1620564397,46
1620564427,46
1620564457,46
1620564487,46
1620564517,46
1620564547,46
1620564577,46
1620564607,46
1620564637,46
1620564667,46
1620564697,46
1620564727,46
1620564757,46
1620564787,46
1620564817,46
1620564847,46
1620564877,46
1620564907,46
1620564937,46
1620564967,46
1620564997,46
1620565027,46
1620565057,46
1620565087,46
1620565117,46
1620565147,46
1620565177,46
1620565207,46
1620565237,46
1620565267,46
1620565297,46
1620565327,46
1620565357,46
1620565387,46
1620565417,46
1620565447,46
1620565477,46
1620565507,46
1620565537,46
1620565567,46
1620565597,46
1620565627,46
1620565657,46
1620565687,46
1620565717,46
1620565747,46
1620565777,46
1620565807,46
1620565837,46
1620565867,46
1620565897,46
1620565927,46
1620565957,46
1620565987,46
1620566017,46
1620566047,46
1620566077,46
1620566107,46
1620566137,46
1620566167,46
1620566197,46
1620566227,46
1620566257,46
1620566287,46
1620566317,46
1620566347,46
1620566377,46
1620566407,46
1620566437,46
1620566467,46
1620566497,46
1620566527,46
1620566557,46
1620566587,46
1620566617,46
1620566647,46
1620566677,46
1620566707,46
1620566737,46
1620566767,46
1620566797,46
1620566827,46
1620566857,46
1620566887,46
1620566917,46
1620566947,46
1620566977,46
1620567007,46
1620567037,46
1620567067,46
1620567097,46
1620567127,46
1620567157,46
1620567187,46
1620567217,46
1620567247,46
1620567277,46
1620567307,46
1620567337,46
1620567367,46
1620567397,46
1620567427,46
1620567457,46
1620567487,46
1620567517,46
1620567547,46
1620567577,46
1620567607,46
1620567637,46
1620567667,46
1620567697,46
1620567727,46
1620567757,46
1620567787,46
1620567817,46
1620567847,46
1620567877,46
1620567907,46
1620567937,46
1620567967,46
1620567997,46
1620568027,46
1620568057,46
1620568087,46
1620568117,46
1620568147,46
1620568177,46
1620568207,46
1620568237,46
1620568267,46
1620568297,46
1620568327,46
1620568357,46
1620568387,46
1620568417,46
1620568447,46
1620568477,46
1620568507,46
1620568537,46
1620568567,46
1620568597,46
1620568627,46
1620568657,46
1620568687,46
1620568717,46
1620568747,46
1620568777,46
1620568807,46
1620568837,46
1620568867,46
1620568897,46
1620568927,46
1620568957,46
1620568987,46
1620569017,46
1620569047,46
1620569077,46
1620569107,46
1620569137,46
1620569167,46
1620569197,46
1620569227,46
1620569257,46
1620569287,46
1620569317,46
1620569347,46
1620569377,46
1620569407,46
1620569437,46
1620569467,46
1620569497,46
1620569527,46
1620569557,46
1620569587,46
1620569617,46
1620569647,46
1620569677,46
1620569707,46
1620569737,46
1620569767,46
1620569797,46
1620569827,46
1620569857,46
1620569887,46
1620569917,46
1620569947,46
1620569977,46
1620570007,46
1620570037,46
1620570067,46
1620570097,46
1620570127,46
1620570157,46
1620570187,46
1620570217,46
1620570247,46
1620570277,46
1620570307,46
1620570337,46
1620570367,46
1620570397,46
1620570427,46
1620570457,46
1620570487,46
1620570517,46
1620570547,46
1620570577,46
1620570607,46
1620570637,46
1620570667,46
1620570697,46
1620570727,46
1620570757,46
1620570787,46
1620570817,46
1620570847,46
1620570877,46
1620570907,46
1620570937,46
1620570967,46
1620570997,46
1620571027,46
1620571057,46
1620571087,46
1620571117,46
1620571147,46
1620571177,46
1620571207,46
1620571237,46
1620571267,46
1620571297,46
1620571327,46
1620571357,46
1620571387,46
1620571417,46
1620571447,46
1620571477,46
1620571507,46
1620571537,46
1620571567,46
1620571597,46
1620571627,46
1620571657,46
1620571687,46
1620571717,46
1620571747,46
1620571777,46
1620571807,46
1620571837,46
1620571867,46
1620571897,46
1620571927,46
1620571957,46
1620571987,46
1620572017,46
1620572047,46
1620572077,46
1620572107,46
1620572137,46
1620572167,46
1620572197,46
1620572227,46
1620572257,46
1620572287,46
1620572317,46
1620572347,46
1620572377,46
1620572407,46
1620572437,46
1620572467,46
1620572497,46
1620572527,46
1620572557,46
1620572587,46
1620572617,46
1620572647,46
1620572677,46
1620572707,46
1620572737,46
1620572767,46
1620572797,46
1620572827,46
1620572857,46
1620572887,46
1620572917,46
1620572947,46
1620572977,46
1620573007,46
1620573037,46
1620573067,46
1620573097,46
1620573127,46
1620573157,46
1620573187,46
