t,value
1620558028,334616344
1620558958,264945152
1620558988,264945152
1620559018,264945152
1620559048,264945152
1620559078,264945152
1620559108,264945152
1620559138,264945152
1620559168,264945152
1620559198,264945152
1620559228,264945152
1620559258,264945152
1620559288,264945152
1620559318,264945152
1620559348,264945152
1620559378,264945152
1620559408,264945152
1620559438,264945152
1620559468,264945152
1620559498,264945152
1620559528,264945152
1620559558,264945152
1620559588,264945152
1620559618,264945152
1620559648,264945152
1620559678,264945152
1620559708,264945152
1620559738,264945152
1620559768,264945152
1620559798,264945152
1620559828,264945152
1620559858,264945152
1620559888,264945152
1620559918,264945152
1620560377,134315616
1620560407,134315616
1620560437,134315616
1620560467,134315616
1620560497,134315616
1620560527,134315616
1620560557,134315616
1620560587,134315616
1620560617,134315616
1620560647,134315616
1620560677,134315616
1620560707,134315616
1620560737,134315616
1620560767,134315616
1620560797,134315616
1620560827,134315616
1620560857,134315616
1620560887,134315616
1620560917,134315616
1620560947,134315616
1620560977,134315616
1620561007,134315616
1620561037,134315616
1620561067,134315616
1620561097,134315616
1620561127,134315616
1620561157,134315616
1620561187,134315616
1620561217,134315616
1620561247,134315616
1620561277,134315616
1620561307,134315616
1620561337,134315616
1620561367,134315616
1620561397,134315616
1620561427,134315616
1620561457,134315616
1620561487,134315616
1620561517,134315616
1620561547,134315616
1620561577,134315616
1620561607,134315616
1620561637,134315616
1620561667,134315616
1620561697,134315616
1620561727,134315616
1620561757,134315616
1620561787,134315616
1620561817,134315616
1620561847,134315616
1620561877,134315616
1620561907,134315616
1620561937,134315616
1620561967,134315616
1620561997,134315616
1620562027,134315616
1620562057,134315616
1620562087,134315616
1620562117,134315616
1620562147,134315616
1620562177,134315616
1620562207,134315616
1620562237,134315616
1620562267,134315616
1620562297,134315616
1620562327,134315616
1620562357,134315616
1620562387,134315616
1620562417,134315616
1620562447,134315616
1620562477,134315616
1620562507,134315616
1620562537,134315616
1620562567,134315616
1620562597,134315616
1620562627,134315616
1620562657,134315616
1620562687,134315616
1620562717,134315616
1620562747,134315616
1620562777,134315616
1620562807,134315616
1620562837,134315616
1620562867,134315616
1620562897,134315616
1620562927,134315616
1620562957,134315616
1620562987,134315616
1620563017,134315616
1620563047,134315616
1620563077,134315616
1620563107,134315616
1620563137,134315616
1620563167,134315616
1620563197,134315616
1620563227,134315616
1620563257,134315616
1620563287,134315616
1620563317,134315616
1620563347,134315616
1620563377,134315616
1620563407,134315616
1620563437,134315616
1620563467,134315616
1620563497,134315616
1620563527,134315616
1620563557,134315616
1620563587,134315616
1620563617,134315616
1620563647,134315616
1620563677,134315616
1620563707,134315616
1620563737,134315616
1620563767,134315616
1620563797,134315616
1620563827,134315616
1620563857,134315616
1620563887,134315616
1620563917,134315616
1620563947,134315616
1620563977,134315616
1620564007,134315616
1620564037,134315616
1620564067,134315616
1620564097,134315616
1620564127,134315616
1620564157,134315616
1620564187,134315616
1620564217,134315616
1620564247,134315616
1620564277,134315616
1620564307,134315616
1620564337,134315616
1620564367,134315616
1620564397,134315616
1620564427,134315616
1620564457,134315616
1620564487,134315616
1620564517,134315616
1620564547,134315616
1620564577,134315616
1620564607,134315616
1620564637,134315616
1620564667,134315616
1620564697,134315616
1620564727,134315616
1620564757,134315616
1620564787,134315616
1620564817,134315616
1620564847,134315616
1620564877,134315616
1620564907,134315616
1620564937,134315616
1620564967,134315616
1620564997,134315616
1620565027,134315616
1620565057,134315616
1620565087,134315616
1620565117,134315616
1620565147,134315616
1620565177,134315616
1620565207,134315616
1620565237,134315616
1620565267,134315616
1620565297,134315616
1620565327,134315616
1620565357,134315616
1620565387,134315616
1620565417,134315616
1620565447,134315616
1620565477,134315616
1620565507,134315616
1620565537,134315616
1620565567,134315616
1620565597,134315616
1620565627,134315616
1620565657,134315616
1620565687,134315616
1620565717,134315616
1620565747,134315616
1620565777,134315616
1620565807,134315616
1620565837,134315616
1620565867,134315616
1620565897,134315616
1620565927,134315616
1620565957,134315616
1620565987,134315616
1620566017,134315616
1620566047,134315616
1620566077,134315616
1620566107,134315616
1620566137,134315616
1620566167,134315616
1620566197,134315616
1620566227,134315616
1620566257,134315616
1620566287,134315616
1620566317,134315616
1620566347,134315616
1620566377,134315616
1620566407,134315616
1620566437,134315616
1620566467,134315616
1620566497,134315616
1620566527,134315616
1620566557,134315616
1620566587,134315616
1620566617,134315616
1620566647,134315616
1620566677,134315616
1620566707,134315616
1620566737,134315616
1620566767,134315616
1620566797,134315616
1620566827,134315616
1620566857,134315616
1620566887,134315616
1620566917,134315616
1620566947,134315616
1620566977,134315616
1620567007,134315616
1620567037,134315616
1620567067,134315616
1620567097,134315616
1620567127,134315616
1620567157,134315616
1620567187,134315616
1620567217,134315616
1620567247,134315616
1620567277,134315616
1620567307,134315616
1620567337,134315616
1620567367,134315616
1620567397,134315616
1620567427,134315616
1620567457,134315616
1620567487,134315616
1620567517,134315616
1620567547,134315616
1620567577,134315616
1620567607,134315616
1620567637,134315616
1620567667,134315616
1620567697,134315616
1620567727,134315616
1620567757,134315616
1620567787,134315616
1620567817,134315616
1620567847,134315616
1620567877,134315616
1620567907,134315616
1620567937,134315616
1620567967,134315616
1620567997,134315616
1620568027,134315616
1620568057,134315616
1620568087,134315616
1620568117,134315616
1620568147,134315616
1620568177,134315616
1620568207,134315616
1620568237,134315616
1620568267,134315616
1620568297,134315616
1620568327,134315616
1620568357,134315616
1620568387,134315616
1620568417,134315616
1620568447,134315616
1620568477,134315616
1620568507,134315616
1620568537,134315616
1620568567,134315616
1620568597,134315616
1620568627,134315616
1620568657,134315616
1620568687,134315616
1620568717,134315616
1620568747,134315616
1620568777,134315616
1620568807,134315616
1620568837,134315616
1620568867,134315616
1620568897,134315616
1620568927,134315616
1620568957,134315616
1620568987,134315616
1620569017,134315616
1620569047,134315616
1620569077,134315616
1620569107,134315616
1620569137,134315616
1620569167,134315616
1620569197,134315616
1620569227,134315616
1620569257,134315616
1620569287,134315616
1620569317,134315616
