t,value
1620558028,28297728
1620558958,57934336
1620558988,81788928
1620559018,81788928
1620559048,81788928
1620559078,81788928
1620559108,81788928
1620559138,81788928
1620559168,81788928
1620559198,81788928
1620559228,81788928
1620559258,81788928
1620559288,81788928
1620559318,81788928
1620559348,103547904
1620559378,103547904
1620559408,103547904
1620559438,103547904
1620559468,103547904
1620559498,103547904
1620559528,103547904
1620559558,103547904
1620559588,103547904
1620559618,103547904
1620559648,103547904
1620559678,103547904
1620559708,103547904
1620559738,103547904
1620559768,103547904
1620559798,103547904
1620559828,103547904
1620559858,103547904
1620559888,103547904
1620559918,103547904
1620560377,33127936
1620560407,33127936
1620560437,41806336
1620560467,41806336
1620560497,41806336
1620560527,41806336
1620560557,41806336
1620560587,41806336
1620560617,41806336
1620560647,41806336
1620560677,41806336
1620560707,41806336
1620560737,70020608
1620560767,70020608
1620560797,70020608
1620560827,70020608
1620560857,70020608
1620560887,70020608
1620560917,70020608
1620560947,70020608
1620560977,70020608
1620561007,70020608
1620561037,70020608
1620561067,70020608
1620561097,70020608
1620561127,70020608
1620561157,70020608
1620561187,70020608
1620561217,70020608
1620561247,70020608
1620561277,70020608
1620561307,70020608
1620561337,70020608
1620561367,70020608
1620561397,70020608
1620561427,70020608
1620561457,70020608
1620561487,70020608
1620561517,70020608
1620561547,70020608
1620561577,70020608
1620561607,70020608
1620561637,70020608
1620561667,70020608
1620561697,70020608
1620561727,70020608
1620561757,70020608
1620561787,70020608
1620561817,70020608
1620561847,70020608
1620561877,70020608
1620561907,70020608
1620561937,70020608
1620561967,70020608
1620561997,70020608
1620562027,70020608
1620562057,70020608
1620562087,70020608
1620562117,70020608
1620562147,70020608
1620562177,70020608
1620562207,70020608
1620562237,70020608
1620562267,70020608
1620562297,70020608
1620562327,70020608
1620562357,70020608
1620562387,70020608
1620562417,70020608
1620562447,70020608
1620562477,70020608
1620562507,70020608
1620562537,70020608
1620562567,70020608
1620562597,70020608
1620562627,70020608
1620562657,70020608
1620562687,70020608
1620562717,70020608
1620562747,70020608
1620562777,70020608
1620562807,70020608
1620562837,70020608
1620562867,70020608
1620562897,70020608
1620562927,70020608
1620562957,70020608
1620562987,70020608
1620563017,70020608
1620563047,70020608
1620563077,70020608
1620563107,70020608
1620563137,70020608
1620563167,70020608
1620563197,70020608
1620563227,70020608
1620563257,70020608
1620563287,70020608
1620563317,70020608
1620563347,70020608
1620563377,70020608
1620563407,70020608
1620563437,70020608
1620563467,70020608
1620563497,70020608
1620563527,70020608
1620563557,70020608
1620563587,70020608
1620563617,70020608
1620563647,70020608
1620563677,70020608
1620563707,70020608
1620563737,70020608
1620563767,70020608
1620563797,70020608
1620563827,70020608
1620563857,70020608
1620563887,70020608
1620563917,70020608
1620563947,70020608
1620563977,70020608
1620564007,70020608
1620564037,70020608
1620564067,70020608
1620564097,70020608
1620564127,70020608
1620564157,70020608
1620564187,70020608
1620564217,70020608
1620564247,70020608
1620564277,70020608
1620564307,70020608
1620564337,70020608
1620564367,70020608
1620564397,70020608
1620564427,70020608
1620564457,70020608
1620564487,70020608
1620564517,70020608
1620564547,70020608
1620564577,70020608
1620564607,70020608
1620564637,70020608
1620564667,70020608
1620564697,70020608
1620564727,70020608
1620564757,70020608
1620564787,70020608
1620564817,70020608
1620564847,70020608
1620564877,70020608
1620564907,70020608
1620564937,70020608
1620564967,70020608
1620564997,70020608
1620565027,70020608
1620565057,70020608
1620565087,70020608
1620565117,70020608
1620565147,70020608
1620565177,70020608
1620565207,70020608
1620565237,70020608
1620565267,70020608
1620565297,70020608
1620565327,70020608
1620565357,70020608
1620565387,70020608
1620565417,70020608
1620565447,70020608
1620565477,70020608
1620565507,70020608
1620565537,70020608
1620565567,70020608
1620565597,70020608
1620565627,70020608
1620565657,70020608
1620565687,70020608
1620565717,70020608
1620565747,70020608
1620565777,70020608
1620565807,70020608
1620565837,70020608
1620565867,70020608
1620565897,70020608
1620565927,70020608
1620565957,70020608
1620565987,70020608
1620566017,70020608
1620566047,70020608
1620566077,70020608
1620566107,70020608
1620566137,70020608
1620566167,70020608
1620566197,70020608
1620566227,70020608
1620566257,70020608
1620566287,70020608
1620566317,70020608
1620566347,70020608
1620566377,70020608
1620566407,70020608
1620566437,70020608
1620566467,70020608
1620566497,70020608
1620566527,70020608
1620566557,70020608
1620566587,70020608
1620566617,70020608
1620566647,70020608
1620566677,70020608
1620566707,70020608
1620566737,70020608
1620566767,70020608
1620566797,70020608
1620566827,70020608
1620566857,70020608
1620566887,70020608
1620566917,70020608
1620566947,70020608
1620566977,70020608
1620567007,70020608
1620567037,70020608
1620567067,70020608
1620567097,70020608
1620567127,70020608
1620567157,70020608
1620567187,70020608
1620567217,70020608
1620567247,70020608
1620567277,70020608
1620567307,70020608
1620567337,70020608
1620567367,70020608
1620567397,70020608
1620567427,70020608
1620567457,70020608
1620567487,70020608
1620567517,70020608
1620567547,70020608
1620567577,70020608
1620567607,70020608
1620567637,70020608
1620567667,70020608
1620567697,70020608
1620567727,70020608
1620567757,70020608
1620567787,70020608
1620567817,70020608
1620567847,70020608
1620567877,70020608
1620567907,70020608
1620567937,70020608
1620567967,70020608
1620567997,70020608
1620568027,70020608
1620568057,70020608
1620568087,70020608
1620568117,70020608
1620568147,70020608
1620568177,70020608
1620568207,70020608
1620568237,70020608
1620568267,70020608
1620568297,70020608
1620568327,70020608
1620568357,70020608
1620568387,70020608
1620568417,70020608
1620568447,70020608
1620568477,70020608
1620568507,70020608
1620568537,70020608
1620568567,70020608
1620568597,70020608
1620568627,70020608
1620568657,70020608
1620568687,70020608
1620568717,70020608
1620568747,70020608
1620568777,70020608
1620568807,70020608
1620568837,70020608
1620568867,70020608
1620568897,70020608
1620568927,70020608
1620568957,70020608
1620568987,70020608
1620569017,70020608
1620569047,70020608
1620569077,70020608
1620569107,70020608
1620569137,70020608
1620569167,70020608
1620569197,70020608
1620569227,70020608
1620569257,70020608
1620569287,70020608
1620569317,70020608
1620569347,70020608
1620569377,70020608
1620569407,70020608
1620569437,70020608
1620569467,70020608
1620569497,70020608
1620569527,70020608
1620569557,70020608
1620569587,70020608
1620569617,70020608
1620569647,70020608
1620569677,70020608
1620569707,70020608
1620569737,70020608
1620569767,70020608
1620569797,70020608
1620569827,73111040
1620569857,73111040
1620569887,73111040
1620569917,73111040
1620569947,73111040
1620569977,73111040
1620570007,73111040
1620570037,73111040
1620570067,73111040
1620570097,73111040
1620570127,73111040
1620570157,73111040
1620570187,73111040
1620570217,73111040
1620570247,73111040
1620570277,73111040
1620570307,73111040
1620570337,73111040
1620570367,73111040
1620570397,73111040
1620570427,73111040
1620570457,74254336
1620570487,74254336
1620570517,74254336
1620570547,74254336
1620570577,74254336
1620570607,74254336
1620570637,74254336
1620570667,74254336
1620570697,74254336
1620570727,74254336
1620570757,74254336
1620570787,74254336
1620570817,74254336
1620570847,74254336
1620570877,74254336
1620570907,74254336
1620570937,74254336
1620570967,74254336
1620570997,74254336
1620571027,74254336
1620571057,74254336
1620571087,74584064
1620571117,74584064
1620571147,74584064
1620571177,74584064
1620571207,74584064
1620571237,74584064
1620571267,74584064
1620571297,74584064
1620571327,74584064
1620571357,74584064
1620571387,74584064
1620571417,74584064
1620571447,74584064
1620571477,74584064
1620571507,74584064
1620571537,74584064
1620571567,74584064
1620571597,74584064
1620571627,74584064
1620571657,74584064
1620571687,74584064
1620571717,74584064
1620571747,74685440
1620571777,74685440
1620571807,74685440
1620571837,74685440
1620571867,74685440
1620571897,74685440
1620571927,74685440
1620571957,74685440
1620571987,74685440
1620572017,74685440
1620572047,74685440
1620572077,74685440
1620572107,74685440
1620572137,74685440
1620572167,74685440
1620572197,74685440
1620572227,74685440
1620572257,74685440
1620572287,74685440
1620572317,74685440
1620572347,74708480
1620572377,74708480
1620572407,74708480
1620572437,74708480
1620572467,74708480
1620572497,74708480
1620572527,74708480
1620572557,74708480
1620572587,74708480
1620572617,74708480
1620572647,74708480
1620572677,74708480
1620572707,74708480
1620572737,74708480
1620572767,74708480
1620572797,74708480
1620572827,74708480
1620572857,74708480
1620572887,74708480
1620572917,74708480
1620572947,74708480
1620572977,74708480
1620573007,75114496
1620573037,75114496
1620573067,75114496
1620573097,75114496
1620573127,75114496
1620573157,75114496
1620573187,75114496
1620573217,75114496
1620573247,75114496
1620573277,75114496
1620573307,75114496
1620573337,75114496
1620573367,75114496
1620573397,75114496
1620573427,75114496
1620573457,75114496
1620573487,75114496
1620573517,75114496
1620573547,75114496
1620573577,75114496
1620573607,75151872
1620573637,75151872
1620573667,75151872
1620573697,75151872
1620573727,75151872
1620573757,75151872
