t,value
1620558028,81
1620558958,183
1620558988,205
1620559018,209
1620559048,209
1620559078,209
1620559108,209
1620559138,209
1620559168,209
1620559198,209
1620559228,210
1620559258,210
1620559288,209
1620559318,209
1620559348,210
1620559378,210
1620559408,210
1620559438,210
1620559468,210
1620559498,210
1620559528,212
1620559558,212
1620559588,210
1620559618,210
1620559648,210
1620559678,210
1620559708,210
1620559738,210
1620559768,210
1620559798,210
1620559828,211
1620559858,211
1620559888,210
1620559918,210
1620560377,133
1620560407,119
1620560437,121
1620560467,121
1620560497,121
1620560527,121
1620560557,121
1620560587,121
1620560617,121
1620560647,123
1620560677,124
1620560707,122
1620560737,123
1620560767,124
1620560797,124
1620560827,124
1620560857,124
1620560887,124
1620560917,124
1620560947,125
1620560977,125
1620561007,124
1620561037,124
1620561067,124
1620561097,123
1620561127,123
1620561157,123
1620561187,123
1620561217,123
1620561247,124
1620561277,124
1620561307,123
1620561337,123
1620561367,123
1620561397,123
1620561427,123
1620561457,123
1620561487,123
1620561517,123
1620561547,124
1620561577,124
1620561607,123
1620561637,123
1620561667,123
1620561697,123
1620561727,123
1620561757,123
1620561787,123
1620561817,123
1620561847,124
1620561877,124
1620561907,123
1620561937,123
1620561967,123
1620561997,123
1620562027,123
1620562057,123
1620562087,123
1620562117,123
1620562147,124
1620562177,124
1620562207,123
1620562237,123
1620562267,123
1620562297,123
1620562327,123
1620562357,123
1620562387,123
1620562417,123
1620562447,124
1620562477,124
1620562507,123
1620562537,123
1620562567,123
1620562597,123
1620562627,123
1620562657,123
1620562687,123
1620562717,123
1620562747,124
1620562777,124
1620562807,123
1620562837,123
1620562867,123
1620562897,123
1620562927,123
1620562957,123
1620562987,123
1620563017,123
1620563047,124
1620563077,124
1620563107,123
1620563137,123
1620563167,123
1620563197,123
1620563227,125
1620563257,125
1620563287,125
1620563317,125
1620563347,126
1620563377,126
1620563407,125
1620563437,125
1620563467,125
1620563497,125
1620563527,125
1620563557,125
1620563587,125
1620563617,125
1620563647,126
1620563677,126
1620563707,125
1620563737,125
1620563767,125
1620563797,125
1620563827,125
1620563857,125
1620563887,125
1620563917,125
1620563947,126
1620563977,126
1620564007,125
1620564037,125
1620564067,125
1620564097,125
1620564127,125
1620564157,125
1620564187,125
1620564217,125
1620564247,126
1620564277,126
1620564307,125
1620564337,125
1620564367,125
1620564397,125
1620564427,125
1620564457,125
1620564487,125
1620564517,125
1620564547,126
1620564577,126
1620564607,125
1620564637,125
1620564667,127
1620564697,127
1620564727,125
1620564757,125
1620564787,125
1620564817,125
1620564847,126
1620564877,126
1620564907,125
1620564937,125
1620564967,125
1620564997,126
1620565027,126
1620565057,125
1620565087,125
1620565117,125
1620565147,126
1620565177,126
1620565207,125
1620565237,125
1620565267,125
1620565297,125
1620565327,125
1620565357,125
1620565387,125
1620565417,125
1620565447,126
1620565477,126
1620565507,125
1620565537,125
1620565567,125
1620565597,125
1620565627,125
1620565657,125
1620565687,125
1620565717,125
1620565747,126
1620565777,126
1620565807,125
1620565837,125
1620565867,125
1620565897,125
1620565927,125
1620565957,125
1620565987,125
1620566017,125
1620566047,126
1620566077,126
1620566107,125
1620566137,125
1620566167,125
1620566197,125
1620566227,125
1620566257,125
1620566287,125
1620566317,125
1620566347,126
1620566377,126
1620566407,125
1620566437,125
1620566467,125
1620566497,125
1620566527,125
1620566557,125
1620566587,125
1620566617,125
1620566647,126
1620566677,126
1620566707,125
1620566737,125
1620566767,125
1620566797,125
1620566827,127
1620566857,127
1620566887,125
1620566917,125
1620566947,126
1620566977,126
1620567007,125
1620567037,125
1620567067,125
1620567097,125
1620567127,125
1620567157,125
1620567187,125
1620567217,125
1620567247,127
1620567277,127
1620567307,125
1620567337,125
1620567367,125
1620567397,125
1620567427,125
1620567457,125
1620567487,125
1620567517,125
1620567547,126
1620567577,126
1620567607,125
1620567637,125
1620567667,125
1620567697,125
1620567727,125
1620567757,125
1620567787,125
1620567817,125
1620567847,126
1620567877,126
1620567907,125
1620567937,125
1620567967,125
1620567997,125
1620568027,125
1620568057,125
1620568087,125
1620568117,126
1620568147,127
1620568177,127
1620568207,126
1620568237,126
1620568267,126
1620568297,126
1620568327,126
1620568357,126
1620568387,126
1620568417,126
1620568447,127
1620568477,127
1620568507,126
1620568537,126
1620568567,126
1620568597,126
1620568627,126
1620568657,126
1620568687,126
1620568717,126
1620568747,127
1620568777,127
1620568807,126
1620568837,126
1620568867,126
1620568897,126
1620568927,126
1620568957,126
1620568987,128
1620569017,128
1620569047,127
1620569077,127
1620569107,126
1620569137,126
1620569167,126
1620569197,126
1620569227,126
1620569257,126
1620569287,126
1620569317,126
1620569347,128
1620569377,128
1620569407,126
1620569437,126
1620569467,126
1620569497,126
1620569527,126
1620569557,126
1620569587,126
1620569617,126
1620569647,127
1620569677,127
1620569707,126
1620569737,126
1620569767,126
1620569797,126
1620569827,126
