t,value
1620558958,0
1620558988,0
1620559018,0
1620559048,0
1620559078,0
1620559108,0
1620559138,0
1620559168,0
1620559198,0
1620559228,0
1620559258,0
1620559288,0
1620559318,0
1620559348,0
1620559378,0
1620559408,0
1620559438,0
1620559468,0
1620559498,0
1620559528,0
1620559558,0
1620559588,0
1620559618,0
1620559648,0
1620559678,0
1620559708,0
1620559738,0
1620559768,0
1620559798,0
1620559828,0
1620559858,0
1620559888,0
1620559918,0
1620559948,0
1620559978,0
1620560008,0
1620560038,0
1620560068,0
1620560098,0
1620560128,0
1620560158,0
1620560188,0
1620560218,0
1620560248,0
1620560278,0
1620560308,0
1620560338,0
1620560368,0
1620560398,0
1620560428,0
1620560458,0
1620560488,0
1620560518,0
1620560548,0
1620560578,0
1620560608,0
1620560638,0
1620560668,0
1620560698,0
1620560728,0
1620560758,0
1620560788,0
1620560818,0
1620560848,0
1620560878,0
1620560908,0
1620560938,0
1620560968,0
1620560998,0
1620561028,0
1620561058,0
1620561088,0
1620561118,0
1620561148,0
1620561178,0
1620561208,0
1620561238,0
1620561268,0
1620561298,0
1620561328,0
1620561358,0
1620561388,0
1620561418,0
1620561448,0
1620561478,0
1620561508,0
1620561538,0
1620561568,0
1620561598,0
1620561628,0
1620561658,0
1620561688,0
1620561718,0
1620561748,0
1620561778,0
1620561808,0
1620561838,0
1620561868,0
1620561898,0
1620561928,0
1620561958,0
1620561988,0
1620562018,0
1620562048,0
1620562078,0
1620562108,0
1620562138,0
1620562168,0
1620562198,0
1620562228,0
1620562258,0
1620562288,0
1620562318,0
1620562348,0
1620562378,0
1620562408,0
1620562438,0
1620562468,0
1620562498,0
1620562528,0
1620562558,0
1620562588,0
1620562618,0
1620562648,0
1620562678,0
1620562708,0
1620562738,0
1620562768,0
1620562798,0
1620562828,0
1620562858,0
1620562888,0
1620562918,0
1620562948,0
1620562978,0
1620563008,0
1620563038,0
1620563068,0
1620563098,0
1620563128,0
1620563158,0
1620563188,0
1620563218,0
1620563248,0
1620563278,0
1620563308,0
1620563338,0
1620563368,0
1620563398,0
1620563428,0
1620563458,0
1620563488,0
1620563518,0
1620563548,0
1620563578,0
1620563608,0
1620563638,0
1620563668,0
1620563698,0
1620563728,0
1620563758,0
1620563788,0
1620563818,0
1620563848,0
1620563878,0
1620563908,0
1620563938,0
1620563968,0
1620563998,0
1620564028,0
1620564058,0
1620564088,0
1620564118,0
1620564148,0
1620564178,0
1620564208,0
1620564238,0
1620564268,0
1620564298,0
1620564328,0
1620564358,0
1620564388,0
1620564418,0
1620564448,0
1620564478,0
1620564508,0
1620564538,0
1620564568,0
1620564598,0
1620564628,0
1620564658,0
1620564688,0
1620564718,0
1620564748,0
1620564778,0
1620564808,0
1620564838,0
1620564868,0
1620564898,0
1620564928,0
1620564958,0
1620564988,0
1620565018,0
1620565048,0
1620565078,0
1620565108,0
1620565138,0
1620565168,0
1620565198,0
1620565228,0
1620565258,0
1620565288,0
1620565318,0
1620565348,0
1620565378,0
1620565408,0
1620565438,0
1620565468,0
1620565498,0
1620565528,0
1620565558,0
1620565588,0
1620565618,0
1620565648,0
1620565678,0
1620565708,0
1620565738,0
1620565768,0
1620565798,0
1620565828,0
1620565858,0
1620565888,0
1620565918,0
1620565948,0
1620565978,0
1620566008,0
1620566038,0
1620566068,0
1620566098,0
1620566128,0
1620566158,0
1620566188,0
1620566218,0
1620566248,0
1620566278,0
1620566308,0
1620566338,0
1620566368,0
1620566398,0
1620566428,0
1620566458,0
1620566488,0
1620566518,0
1620566548,0
1620566578,0
1620566608,0
1620566638,0
1620566668,0
1620566698,0
1620566728,0
1620566758,0
1620566788,0
1620566818,0
1620566848,0
1620566878,0
1620566908,0
1620566938,0
1620566968,0
1620566998,0
1620567028,0
1620567058,0
1620567088,0
1620567118,0
1620567148,0
1620567178,0
1620567208,0
1620567238,0
1620567268,0
1620567298,0
1620567328,0
1620567358,0
1620567388,0
1620567418,0
1620567448,0
1620567478,0
1620567508,0
1620567538,0
1620567568,0
1620567598,0
1620567628,0
1620567658,0
1620567688,0
1620567718,0
1620567748,0
1620567778,0
1620567808,0
1620567838,0
1620567868,0
1620567898,0
1620567928,0
1620567958,0
1620567988,0
1620568018,0
1620568048,0
1620568078,0
1620568108,0
1620568138,0
1620568168,0
1620568198,0
1620568228,0
1620568258,0
1620568288,0
1620568318,0
1620568348,0
1620568378,0
1620568408,0
1620568438,0
1620568468,0
1620568498,0
1620568528,0
1620568558,0
1620568588,0
1620568618,0
1620568648,0
1620568678,0
1620568708,0
1620568738,0
1620568768,0
1620568798,0
1620568828,0
1620568858,0
1620568888,0
1620568918,0
1620568948,0
1620568978,0
1620569008,0
1620569038,0
1620569068,0
1620569098,0
1620569128,0
1620569158,0
1620569188,0
1620569218,0
1620569248,0
1620569278,0
1620569308,0
1620569338,0
1620569368,0
1620569398,0
1620569428,0
1620569458,0
1620569488,0
1620569518,0
1620569548,0
1620569578,0
1620569608,0
1620569638,0
1620569668,0
1620569698,0
1620569728,0
1620569758,0
1620569788,0
1620569818,0
1620569848,0
1620569878,0
1620569908,0
1620569938,0
1620569968,0
1620569998,0
1620570028,0
1620570058,0
1620570088,0
1620570118,0
1620570148,0
1620570178,0
1620570208,0
1620570238,0
1620570268,0
1620570298,0
1620570328,0
1620570358,0
1620570388,0
1620570418,0
1620570448,0
1620570478,0
1620570508,0
1620570538,0
1620570568,0
1620570598,0
1620570628,0
1620570658,0
1620570688,0
1620570718,0
1620570748,0
1620570778,0
1620570808,0
1620570838,0
1620570868,0
1620570898,0
1620570928,0
1620570958,0
1620570988,0
1620571018,0
1620571048,0
1620571078,0
1620571108,0
1620571138,0
1620571168,0
1620571198,0
1620571228,0
1620571258,0
1620571288,0
1620571318,0
1620571348,0
1620571378,0
1620571408,0
1620571438,0
1620571468,0
1620571498,0
1620571528,0
1620571558,0
1620571588,0
1620571618,0
1620571648,0
1620571678,0
1620571708,0
1620571738,0
1620571768,0
1620571798,0
1620571828,0
1620571858,0
1620571888,0
1620571918,0
1620571948,0
1620571978,0
1620572008,0
1620572038,0
1620572068,0
1620572098,0
1620572128,0
1620572158,0
1620572188,0
1620572218,0
1620572248,0
1620572278,0
1620572308,0
1620572338,0
1620572368,0
1620572398,0
1620572428,0
1620572458,0
1620572488,0
1620572518,0
1620572548,0
1620572578,0
1620572608,0
1620572638,0
1620572668,0
1620572698,0
1620572728,0
1620572758,0
1620572788,0
1620572818,0
1620572848,0
1620572878,0
1620572908,0
1620572938,0
1620572968,0
1620572998,0
1620573028,0
1620573058,0
1620573088,0
1620573118,0
1620573148,0
1620573178,0
1620573208,0
1620573238,0
1620573268,0
1620573298,0
1620573328,0
1620573358,0
1620573388,0
1620573418,0
1620573448,0
1620573478,0
1620573508,0
1620573538,0
1620573568,0
1620573598,0
1620573628,0
1620573658,0
1620573688,0
1620573718,0
1620573748,0
1620573778,0
1620573808,0
1620573838,0
1620573868,0
1620573898,0
1620573928,0
