t,value
1620558028,0
1620558958,0
1620558988,0
1620559018,0
1620559048,0
1620559078,0
1620559108,0
1620559138,0
1620559168,0
1620559198,0
1620559228,0
1620559258,0
1620559288,0
1620559318,0
1620559348,0
1620559378,0
1620559408,0
1620559438,0
1620559468,0
1620559498,0
1620559528,0
1620559558,0
1620559588,0
1620559618,0
1620559648,0
1620559678,0
1620559708,0
1620559738,0
1620559768,0
1620559798,0
1620559828,0
1620559858,0
1620559888,0
1620559918,0
1620559948,0
1620559978,0
1620560008,0
1620560038,0
1620560068,0
1620560098,0
1620560128,0
1620560158,0
1620560188,0
1620560218,0
1620560248,0
1620560278,0
1620560308,0
1620560338,0
1620560368,0
1620560398,0
1620560428,0
1620560458,0
1620560488,0
1620560518,0
1620560548,34
1620560578,34
1620560608,34
1620560638,34
1620560668,34
1620560698,34
1620560728,34
1620560758,34
1620560788,34
1620560818,34
1620560848,34
1620560878,34
1620560908,34
1620560938,34
1620560968,34
1620560998,34
1620561028,34
1620561058,34
1620561088,34
1620561118,34
1620561148,34
1620561178,34
1620561208,34
1620561238,34
1620561268,34
1620561298,34
1620561328,34
1620561358,34
1620561388,34
1620561418,34
1620561448,29
1620561478,29
1620561508,29
1620561538,29
1620561568,29
1620561598,29
1620561628,29
1620561658,29
1620561688,29
1620561718,29
1620561748,29
1620561778,29
1620561808,29
1620561838,29
1620561868,29
1620561898,29
1620561928,29
1620561958,29
1620561988,29
1620562018,29
1620562048,29
1620562078,29
1620562108,29
1620562138,29
1620562168,29
1620562198,29
1620562228,29
1620562258,29
1620562288,29
1620562318,29
1620562348,29
1620562378,29
1620562408,29
1620562438,29
1620562468,29
1620562498,29
1620562528,29
1620562558,29
1620562588,29
1620562618,29
1620562648,29
1620562678,29
1620562708,29
1620562738,29
1620562768,29
1620562798,29
1620562828,29
1620562858,29
1620562888,29
1620562918,29
1620562948,29
1620562978,29
1620563008,29
1620563038,29
1620563068,29
1620563098,29
1620563128,29
1620563158,29
1620563188,29
1620563218,29
1620563248,29
1620563278,29
1620563308,29
1620563338,29
1620563368,29
1620563398,29
1620563428,29
1620563458,29
1620563488,29
1620563518,29
1620563548,29
1620563578,29
1620563608,29
1620563638,29
1620563668,29
1620563698,29
1620563728,29
1620563758,29
1620563788,29
1620563818,29
1620563848,29
1620563878,29
1620563908,29
1620563938,29
1620563968,29
1620563998,29
1620564028,29
1620564058,29
1620564088,29
1620564118,29
1620564148,29
1620564178,29
1620564208,29
1620564238,29
1620564268,29
1620564298,29
1620564328,29
1620564358,29
1620564388,29
1620564418,29
1620564448,29
1620564478,29
1620564508,29
1620564538,29
1620564568,29
1620564598,29
1620564628,29
1620564658,29
1620564688,29
1620564718,29
1620564748,29
1620564778,29
1620564808,29
1620564838,29
1620564868,29
1620564898,29
1620564928,29
1620564958,29
1620564988,29
1620565018,29
1620565048,29
1620565078,29
1620565108,29
1620565138,29
1620565168,29
1620565198,29
1620565228,29
1620565258,29
1620565288,29
1620565318,29
1620565348,29
1620565378,29
1620565408,29
1620565438,29
1620565468,29
1620565498,29
1620565528,29
1620565558,29
1620565588,29
1620565618,29
1620565648,29
1620565678,29
1620565708,29
1620565738,29
1620565768,29
1620565798,29
1620565828,29
1620565858,29
1620565888,29
1620565918,29
1620565948,29
1620565978,29
1620566008,29
1620566038,29
1620566068,29
1620566098,29
1620566128,29
1620566158,29
1620566188,29
1620566218,29
1620566248,29
1620566278,29
1620566308,29
1620566338,29
1620566368,29
1620566398,29
1620566428,29
1620566458,29
1620566488,29
1620566518,29
1620566548,29
1620566578,29
1620566608,29
1620566638,29
1620566668,29
1620566698,29
1620566728,29
1620566758,29
1620566788,29
1620566818,29
1620566848,29
1620566878,29
1620566908,29
1620566938,29
1620566968,29
1620566998,29
1620567028,29
1620567058,29
1620567088,29
1620567118,29
1620567148,29
1620567178,29
1620567208,29
1620567238,29
1620567268,29
1620567298,29
1620567328,29
1620567358,29
1620567388,29
1620567418,29
1620567448,29
1620567478,29
1620567508,29
1620567538,29
1620567568,29
1620567598,29
1620567628,29
1620567658,29
1620567688,29
1620567718,29
1620567748,29
1620567778,29
1620567808,29
1620567838,29
1620567868,29
1620567898,29
1620567928,29
1620567958,29
1620567988,29
1620568018,29
1620568048,29
1620568078,29
1620568108,29
1620568138,29
1620568168,29
1620568198,29
1620568228,29
1620568258,29
1620568288,29
1620568318,29
1620568348,29
1620568378,29
1620568408,29
1620568438,29
1620568468,29
1620568498,29
1620568528,29
1620568558,29
1620568588,29
1620568618,29
1620568648,29
1620568678,29
1620568708,29
1620568738,29
1620568768,29
1620568798,29
1620568828,29
1620568858,29
1620568888,29
1620568918,29
1620568948,29
1620568978,29
1620569008,29
1620569038,29
1620569068,29
1620569098,29
1620569128,29
1620569158,29
1620569188,29
1620569218,29
1620569248,29
1620569278,29
1620569308,29
1620569338,29
1620569368,29
1620569398,29
1620569428,29
1620569458,29
1620569488,29
1620569518,29
1620569548,29
1620569578,29
1620569608,29
1620569638,29
1620569668,29
1620569698,29
1620569728,29
1620569758,29
1620569788,29
1620569818,29
1620569848,29
1620569878,29
1620569908,29
1620569938,29
1620569968,29
1620569998,29
1620570028,29
1620570058,29
1620570088,29
1620570118,29
1620570148,29
1620570178,29
1620570208,29
1620570238,29
1620570268,29
1620570298,29
1620570328,29
1620570358,29
1620570388,29
1620570418,29
1620570448,29
1620570478,29
1620570508,29
1620570538,29
1620570568,29
1620570598,29
1620570628,29
1620570658,29
1620570688,29
1620570718,29
1620570748,29
1620570778,29
1620570808,29
1620570838,29
1620570868,29
1620570898,29
1620570928,29
1620570958,29
1620570988,29
1620571018,29
1620571048,29
1620571078,29
1620571108,29
1620571138,29
1620571168,29
1620571198,29
1620571228,29
1620571258,29
1620571288,29
1620571318,29
1620571348,29
1620571378,29
1620571408,29
1620571438,29
1620571468,29
1620571498,29
1620571528,29
1620571558,29
1620571588,29
1620571618,29
1620571648,29
1620571678,29
1620571708,29
1620571738,29
1620571768,29
1620571798,29
1620571828,29
1620571858,29
1620571888,29
1620571918,29
1620571948,29
1620571978,29
1620572008,29
1620572038,29
1620572068,29
1620572098,29
1620572128,29
1620572158,29
1620572188,29
1620572218,29
1620572248,29
1620572278,29
1620572308,29
1620572338,29
1620572368,29
1620572398,29
1620572428,29
1620572458,29
1620572488,29
1620572518,29
1620572548,29
1620572578,29
1620572608,29
1620572638,29
1620572668,29
1620572698,29
1620572728,29
1620572758,29
1620572788,29
1620572818,29
1620572848,29
1620572878,29
1620572908,29
1620572938,29
1620572968,29
1620572998,29
1620573028,29
1620573058,29
1620573088,29
1620573118,29
1620573148,29
1620573178,29
1620573208,29
1620573238,29
1620573268,29
1620573298,29
1620573328,29
1620573358,29
1620573388,29
1620573418,29
1620573448,29
1620573478,29
1620573508,29
1620573538,29
1620573568,29
1620573598,29
1620573628,29
1620573658,29
1620573688,29
1620573718,29
1620573748,29
1620573778,29
1620573808,29
1620573838,29
1620573868,29
1620573898,29
1620573928,29
1620573958,29
1620573988,29
1620574018,29
1620574048,29
1620574078,29
1620574108,29
1620574138,29
1620574168,29
1620574198,29
1620574228,29
1620574258,29
1620574288,29
1620574318,29
1620574348,29
1620574378,29
1620574408,29
1620574438,29
1620574468,29
1620574498,29
1620574528,29
1620574558,29
1620574588,29
1620574618,29
1620574648,29
1620574678,29
1620574708,29
1620574738,29
1620574768,29
1620574798,29
1620574828,29
1620574858,29
1620574888,29
1620574918,29
1620574948,29
1620574978,29
1620575008,29
1620575038,29
1620575068,29
1620575098,29
1620575128,29
1620575158,29
1620575188,29
1620575218,29
1620575248,29
1620575278,29
1620575308,29
1620575338,29
1620575368,29
1620575398,29
1620575428,29
1620575458,29
1620575488,29
1620575518,29
1620575548,29
1620575578,29
1620575608,29
1620575638,29
1620575668,29
1620575698,29
1620575728,29
1620575758,29
1620575788,29
1620575818,29
1620575848,29
1620575878,29
1620575908,29
1620575938,29
1620575968,29
1620575998,29
1620576028,29
1620576058,29
1620576088,29
1620576118,29
1620576148,29
1620576178,29
1620576208,29
1620576238,29
1620576268,29
1620576298,29
1620576328,29
1620576358,29
1620576388,29
1620576418,29
1620576448,29
1620576478,29
1620576508,29
1620576538,29
1620576568,29
1620576598,29
1620576628,29
1620576658,29
1620576688,29
1620576718,29
1620576748,29
1620576778,29
1620576808,29
1620576838,29
1620576868,29
1620576898,29
1620576928,29
1620576958,29
1620576988,29
1620577018,29
1620577048,29
1620577078,29
1620577108,29
1620577138,29
1620577168,29
1620577198,29
1620577228,29
1620577258,29
1620577288,29
1620577318,29
1620577348,29
1620577378,29
1620577408,29
1620577438,29
1620577468,29
1620577498,29
1620577528,29
1620577558,29
1620577588,29
1620577618,29
1620577648,29
1620577678,29
1620577708,29
1620577738,29
1620577768,29
1620577885,0
1620577915,0
1620577945,0
1620577975,0
1620578005,0
1620578035,0
1620578065,0
1620578095,0
1620578125,0
1620578155,0
1620578185,0
1620578215,0
1620578245,0
1620578275,0
1620578305,0
1620578335,0
1620578365,0
1620578395,0
1620578425,0
1620578455,0
1620578485,0
1620578515,0
1620578545,0
1620578575,0
1620578605,0
1620578635,0
1620578665,0
1620578695,0
1620578725,0
1620578755,0
1620578785,0
1620578815,0
1620578845,0
1620578875,0
1620578905,0
1620578935,0
1620578965,0
1620578995,0
1620579025,0
1620579055,0
1620579085,0
1620579115,0
1620579145,0
1620579175,0
1620579205,0
1620579235,0
1620579265,0
1620579295,0
1620579325,0
1620579355,0
1620579385,0
1620579415,0
1620579445,0
1620579475,0
1620579505,0
1620579535,0
1620579565,0
1620579595,0
1620579625,0
1620579655,0
1620579685,0
1620579715,0
1620579745,0
1620579775,0
1620579805,0
1620579835,0
1620579865,0
1620579895,0
1620579925,0
1620579955,0
1620579985,0
1620580015,0
1620580045,0
1620580075,0
1620580105,0
1620580135,0
1620580165,0
