t,value
1620558028,0
1620558958,0
1620558988,0
1620559018,110
1620559048,110
1620559078,110
1620559108,110
1620559138,110
1620559168,110
1620559198,110
1620559228,110
1620559258,110
1620559288,110
1620559318,110
1620559348,110
1620559378,110
1620559408,110
1620559438,110
1620559468,110
1620559498,110
1620559528,110
1620559558,110
1620559588,110
1620559618,110
1620559648,110
1620559678,110
1620559708,110
1620559738,110
1620559768,110
1620559798,110
1620559828,110
1620559858,110
1620559888,110
1620559918,110
1620559948,110
1620559978,110
1620560008,110
1620560038,110
1620560068,110
1620560098,110
1620560128,110
1620560158,110
1620560188,110
1620560218,110
1620560248,110
1620560278,110
1620560308,110
1620560338,110
1620560368,110
1620560398,110
1620560428,110
1620560458,110
1620560488,110
1620560518,110
1620560548,110
1620560578,110
1620560608,110
1620560638,110
1620560668,110
1620560698,110
1620560728,110
1620560758,221
1620560788,221
1620560818,221
1620560848,221
1620560878,221
1620560908,221
1620560938,221
1620560968,221
1620560998,221
1620561028,221
1620561058,221
1620561088,221
1620561118,221
1620561148,221
1620561178,221
1620561208,221
1620561238,221
1620561268,221
1620561298,221
1620561328,221
1620561358,221
1620561388,221
1620561418,221
1620561448,221
1620561478,221
1620561508,221
1620561538,221
1620561568,221
1620561598,221
1620561628,221
1620561658,221
1620561688,221
1620561718,221
1620561748,221
1620561778,221
1620561808,221
1620561838,221
1620561868,221
1620561898,221
1620561928,221
1620561958,221
1620561988,221
1620562018,221
1620562048,221
1620562078,221
1620562108,221
1620562138,221
1620562168,221
1620562198,221
1620562228,221
1620562258,221
1620562288,221
1620562318,221
1620562348,221
1620562378,221
1620562408,221
1620562438,221
1620562468,221
1620562498,221
1620562528,221
1620562558,221
1620562588,221
1620562618,221
1620562648,221
1620562678,221
1620562708,221
1620562738,221
1620562768,221
1620562798,221
1620562828,221
1620562858,221
1620562888,221
1620562918,221
1620562948,221
1620562978,221
1620563008,221
1620563038,221
1620563068,221
1620563098,221
1620563128,221
1620563158,221
1620563188,221
1620563218,221
1620563248,221
1620563278,221
1620563308,221
1620563338,221
1620563368,221
1620563398,221
1620563428,221
1620563458,221
1620563488,221
1620563518,221
1620563548,221
1620563578,221
1620563608,221
1620563638,221
1620563668,221
1620563698,221
1620563728,221
1620563758,221
1620563788,221
1620563818,221
1620563848,221
1620563878,221
1620563908,221
1620563938,221
1620563968,221
1620563998,221
1620564028,221
1620564058,221
1620564088,221
1620564118,221
1620564148,221
1620564178,221
1620564208,221
1620564238,221
1620564268,221
1620564298,221
1620564328,221
1620564358,221
1620564388,221
1620564418,221
1620564448,221
1620564478,221
1620564508,221
1620564538,221
1620564568,221
1620564598,221
1620564628,221
1620564658,221
1620564688,221
1620564718,221
1620564748,221
1620564778,221
1620564808,221
1620564838,221
1620564868,221
1620564898,221
1620564928,221
1620564958,221
1620564988,221
1620565018,221
1620565048,221
1620565078,221
1620565108,221
1620565138,221
1620565168,221
1620565198,221
1620565228,221
1620565258,221
1620565288,221
1620565318,221
1620565348,221
1620565378,221
1620565408,221
1620565438,221
1620565468,221
1620565498,221
1620565528,221
1620565558,221
1620565588,221
1620565618,221
1620565648,221
1620565678,221
1620565708,221
1620565738,221
1620565768,221
1620565798,221
1620565828,221
1620565858,221
1620565888,221
1620565918,221
1620565948,221
1620565978,221
1620566008,221
1620566038,221
1620566068,221
1620566098,221
1620566128,221
1620566158,221
1620566188,221
1620566218,221
1620566248,221
1620566278,221
1620566308,221
1620566338,221
1620566368,221
1620566398,221
1620566428,221
1620566458,221
1620566488,221
1620566518,221
1620566548,221
1620566578,221
1620566608,221
1620566638,221
1620566668,221
1620566698,221
1620566728,221
1620566758,221
1620566788,221
1620566818,221
1620566848,221
1620566878,221
1620566908,221
1620566938,221
1620566968,221
1620566998,221
1620567028,221
1620567058,221
1620567088,221
1620567118,221
1620567148,221
1620567178,221
1620567208,221
1620567238,221
1620567268,221
1620567298,221
1620567328,221
1620567358,221
1620567388,221
1620567418,221
1620567448,221
1620567478,221
1620567508,221
1620567538,221
1620567568,221
1620567598,221
1620567628,221
1620567658,221
1620567688,221
1620567718,221
1620567748,221
1620567778,221
1620567808,221
1620567838,221
1620567868,221
1620567898,221
1620567928,221
1620567958,221
1620567988,221
1620568018,221
1620568048,221
1620568078,221
1620568108,221
1620568138,221
1620568168,221
1620568198,221
1620568228,221
1620568258,221
1620568288,221
1620568318,221
1620568348,221
1620568378,221
1620568408,221
1620568438,221
1620568468,221
1620568498,221
1620568528,221
1620568558,221
1620568588,221
1620568618,221
1620568648,221
1620568678,221
1620568708,221
1620568738,221
1620568768,221
1620568798,221
1620568828,221
1620568858,221
1620568888,221
1620568918,221
1620568948,221
1620568978,221
1620569008,221
1620569038,221
1620569068,221
1620569098,221
1620569128,221
1620569158,221
1620569188,221
1620569218,221
1620569248,221
1620569278,221
1620569308,221
1620569338,221
1620569368,221
1620569398,221
1620569428,221
1620569458,221
1620569488,221
1620569518,221
1620569548,221
1620569578,221
1620569608,221
1620569638,221
1620569668,221
1620569698,221
1620569728,221
1620569758,221
1620569788,221
1620569818,221
1620569848,221
1620569878,221
1620569908,221
1620569938,221
1620569968,221
1620569998,221
1620570028,221
1620570058,221
1620570088,221
1620570118,221
1620570148,221
1620570178,221
1620570208,221
1620570238,221
1620570268,221
1620570298,221
1620570328,221
1620570358,221
1620570388,221
1620570418,221
1620570448,221
1620570478,221
1620570508,221
1620570538,221
1620570568,221
1620570598,221
1620570628,221
1620570658,221
1620570688,221
1620570718,221
1620570748,221
1620570778,221
1620570808,221
1620570838,221
1620570868,221
1620570898,221
1620570928,221
1620570958,221
1620570988,221
1620571018,221
1620571048,221
1620571078,221
1620571108,221
1620571138,221
1620571168,221
1620571198,221
1620571228,221
1620571258,221
1620571288,221
1620571318,221
1620571348,221
1620571378,221
1620571408,221
1620571438,221
1620571468,221
1620571498,221
1620571528,221
1620571558,221
1620571588,221
1620571618,221
1620571648,221
1620571678,221
1620571708,221
1620571738,221
1620571768,221
1620571798,221
1620571828,221
1620571858,221
1620571888,221
1620571918,221
1620571948,221
1620571978,221
1620572008,221
1620572038,221
1620572068,221
1620572098,221
1620572128,221
1620572158,221
1620572188,221
1620572218,221
1620572248,221
1620572278,221
1620572308,221
1620572338,221
1620572368,221
1620572398,221
1620572428,221
1620572458,221
1620572488,221
1620572518,221
1620572548,221
1620572578,221
1620572608,221
1620572638,221
1620572668,221
1620572698,221
1620572728,221
1620572758,221
1620572788,221
1620572818,221
1620572848,221
1620572878,221
1620572908,221
1620572938,221
1620572968,221
1620572998,221
1620573028,221
1620573058,221
1620573088,221
1620573118,221
1620573148,221
1620573178,221
1620573208,221
1620573238,221
1620573268,221
1620573298,221
1620573328,221
1620573358,221
1620573388,221
1620573418,221
1620573448,221
1620573478,221
1620573508,221
1620573538,221
1620573568,221
1620573598,221
1620573628,221
1620573658,221
1620573688,221
1620573718,221
1620573748,221
1620573778,221
1620573808,221
1620573838,221
1620573868,221
1620573898,221
1620573928,221
1620573958,221
1620573988,221
1620574018,221
1620574048,221
1620574078,221
1620574108,221
1620574138,221
1620574168,221
1620574198,221
1620574228,221
1620574258,221
1620574288,221
1620574318,221
1620574348,221
1620574378,221
1620574408,221
1620574438,221
1620574468,221
1620574498,221
1620574528,221
1620574558,221
1620574588,221
1620574618,221
1620574648,221
1620574678,221
1620574708,221
1620574738,221
1620574768,221
1620574798,221
1620574828,221
1620574858,221
1620574888,221
1620574918,221
1620574948,221
1620574978,221
1620575008,221
1620575038,221
1620575068,221
1620575098,221
1620575128,221
1620575158,221
1620575188,221
1620575218,221
1620575248,221
1620575278,221
1620575308,221
1620575338,221
1620575368,221
1620575398,221
1620575428,221
1620575458,221
1620575488,221
1620575518,221
1620575548,221
1620575578,221
1620575608,221
1620575638,221
1620575668,221
1620575698,221
1620575728,221
1620575758,221
1620575788,221
1620575818,221
1620575848,221
1620575878,221
1620575908,221
1620575938,221
1620575968,221
1620575998,221
1620576028,221
1620576058,221
1620576088,221
1620576118,221
1620576148,221
1620576178,221
1620576208,221
1620576238,221
1620576268,221
1620576298,221
1620576328,221
1620576358,221
1620576388,221
1620576418,221
1620576448,221
1620576478,221
1620576508,221
1620576538,221
1620576568,221
1620576598,221
1620576628,221
1620576658,221
1620576688,221
1620576718,221
1620576748,221
1620576778,221
1620576808,221
1620576838,221
1620576868,221
1620576898,221
1620576928,221
1620576958,221
1620576988,221
1620577018,221
1620577048,221
1620577078,221
1620577108,221
1620577138,221
1620577168,221
1620577198,221
1620577228,221
1620577258,221
1620577288,221
1620577318,221
1620577348,221
1620577378,221
1620577408,221
1620577438,221
1620577468,221
1620577498,221
1620577528,221
1620577558,221
1620577588,221
1620577618,221
1620577648,221
1620577678,221
1620577708,221
1620577738,221
1620577768,221
1620577885,221
1620577915,221
1620577945,221
1620577975,221
1620578005,221
1620578035,221
1620578065,221
1620578095,221
1620578125,221
1620578155,221
1620578185,221
1620578215,221
1620578245,221
1620578275,221
1620578305,221
1620578335,221
1620578365,221
1620578395,221
1620578425,221
1620578455,221
1620578485,221
1620578515,221
1620578545,221
1620578575,221
1620578605,221
1620578635,221
1620578665,221
1620578695,221
1620578725,221
1620578755,221
1620578785,221
1620578815,221
1620578845,221
1620578875,221
1620578905,221
1620578935,221
1620578965,221
1620578995,221
1620579025,221
1620579055,221
1620579085,221
1620579115,221
1620579145,221
1620579175,221
1620579205,221
1620579235,221
1620579265,221
1620579295,221
1620579325,221
1620579355,221
1620579385,221
1620579415,221
1620579445,221
1620579475,221
1620579505,221
1620579535,221
1620579565,221
1620579595,221
1620579625,221
1620579655,221
1620579685,221
1620579715,221
1620579745,221
1620579775,221
1620579805,221
1620579835,221
1620579865,221
1620579895,221
1620579925,221
1620579955,221
1620579985,221
1620580015,221
1620580045,221
1620580075,221
1620580105,221
1620580135,221
1620580165,221
