t,value
1620558028,811008
1620558958,819893
1620558988,819893
1620559018,819893
1620559048,819893
1620559078,819893
1620559108,819893
1620559138,819893
1620559168,819893
1620559198,819893
1620559228,819893
1620559258,819893
1620559288,819893
1620559318,819893
1620559348,819893
1620559378,819893
1620559408,819893
1620559438,819893
1620559468,819893
1620559498,819893
1620559528,819893
1620559558,819893
1620559588,819893
1620559618,819893
1620559648,819893
1620559678,819893
1620559708,819893
1620559738,819893
1620559768,819893
1620559798,819893
1620559828,819893
1620559858,819893
1620559888,819893
1620559918,819893
1620559948,819893
1620559978,819893
1620560008,819893
1620560038,819893
1620560068,819893
1620560098,819893
1620560128,819893
1620560158,819893
1620560188,819893
1620560218,819893
1620560248,819893
1620560278,819893
1620560308,819893
1620560338,819893
1620560368,819893
1620560398,819893
1620560428,819893
1620560458,819893
1620560488,819893
1620560518,819893
1620560548,819893
1620560578,819893
1620560608,819893
1620560638,819893
1620560668,819893
1620560698,819893
1620560728,885429
1620560758,885429
1620560788,885429
1620560818,885429
1620560848,885429
1620560878,885429
1620560908,885429
1620560938,885429
1620560968,885429
1620560998,885429
1620561028,885429
1620561058,885429
1620561088,885429
1620561118,885429
1620561148,885429
1620561178,885429
1620561208,885429
1620561238,885429
1620561268,885429
1620561298,885429
1620561328,885429
1620561358,885429
1620561388,885429
1620561418,885429
1620561448,885429
1620561478,885429
1620561508,885429
1620561538,885429
1620561568,885429
1620561598,885429
1620561628,885429
1620561658,885429
1620561688,885429
1620561718,885429
1620561748,885429
1620561778,885429
1620561808,885429
1620561838,885429
1620561868,885429
1620561898,885429
1620561928,885429
1620561958,885429
1620561988,885429
1620562018,885429
1620562048,885429
1620562078,885429
1620562108,885429
1620562138,885429
1620562168,885429
1620562198,885429
1620562228,885429
1620562258,885429
1620562288,885429
1620562318,885429
1620562348,885429
1620562378,885429
1620562408,885429
1620562438,885429
1620562468,885429
1620562498,885429
1620562528,885429
1620562558,885429
1620562588,885429
1620562618,885429
1620562648,885429
1620562678,885429
1620562708,885429
1620562738,885429
1620562768,885429
1620562798,885429
1620562828,885429
1620562858,885429
1620562888,885429
1620562918,885429
1620562948,885429
1620562978,885429
1620563008,885429
1620563038,885429
1620563068,885429
1620563098,885429
1620563128,885429
1620563158,885429
1620563188,885429
1620563218,885429
1620563248,885429
1620563278,885429
1620563308,885429
1620563338,885429
1620563368,885429
1620563398,885429
1620563428,885429
1620563458,885429
1620563488,885429
1620563518,885429
1620563548,885429
1620563578,885429
1620563608,885429
1620563638,885429
1620563668,885429
1620563698,885429
1620563728,885429
1620563758,885429
1620563788,885429
1620563818,885429
1620563848,885429
1620563878,885429
1620563908,885429
1620563938,885429
1620563968,885429
1620563998,885429
1620564028,885429
1620564058,885429
1620564088,885429
1620564118,885429
1620564148,885429
1620564178,885429
1620564208,885429
1620564238,885429
1620564268,885429
1620564298,885429
1620564328,885429
1620564358,885429
1620564388,885429
1620564418,885429
1620564448,885429
1620564478,885429
1620564508,885429
1620564538,885429
1620564568,885429
1620564598,885429
1620564628,885429
1620564658,885429
1620564688,885429
1620564718,885429
1620564748,885429
1620564778,885429
1620564808,885429
1620564838,885429
1620564868,885429
1620564898,885429
1620564928,885429
1620564958,885429
1620564988,885429
1620565018,885429
1620565048,885429
1620565078,885429
1620565108,885429
1620565138,885429
1620565168,885429
1620565198,885429
1620565228,885429
1620565258,885429
1620565288,885429
1620565318,885429
1620565348,885429
1620565378,885429
1620565408,885429
1620565438,885429
1620565468,885429
1620565498,885429
1620565528,885429
1620565558,885429
1620565588,885429
1620565618,885429
1620565648,885429
1620565678,885429
1620565708,885429
1620565738,885429
1620565768,885429
1620565798,885429
1620565828,885429
1620565858,885429
1620565888,885429
1620565918,885429
1620565948,885429
1620565978,885429
1620566008,885429
1620566038,885429
1620566068,885429
1620566098,885429
1620566128,885429
1620566158,885429
1620566188,885429
1620566218,885429
1620566248,885429
1620566278,885429
1620566308,885429
1620566338,885429
1620566368,885429
1620566398,885429
1620566428,885429
1620566458,885429
1620566488,885429
1620566518,885429
1620566548,885429
1620566578,885429
1620566608,885429
1620566638,885429
1620566668,885429
1620566698,885429
1620566728,885429
1620566758,885429
1620566788,885429
1620566818,885429
1620566848,885429
1620566878,885429
1620566908,885429
1620566938,885429
1620566968,885429
1620566998,885429
1620567028,885429
1620567058,885429
1620567088,885429
1620567118,885429
1620567148,885429
1620567178,885429
1620567208,885429
1620567238,885429
1620567268,885429
1620567298,885429
1620567328,885429
1620567358,885429
1620567388,885429
1620567418,885429
1620567448,885429
1620567478,885429
1620567508,885429
1620567538,885429
1620567568,885429
1620567598,885429
1620567628,885429
1620567658,885429
1620567688,885429
1620567718,885429
1620567748,885429
1620567778,885429
1620567808,885429
1620567838,885429
1620567868,885429
1620567898,885429
1620567928,885429
1620567958,885429
1620567988,885429
1620568018,885429
1620568048,885429
1620568078,885429
1620568108,885429
1620568138,885429
1620568168,885429
1620568198,885429
1620568228,885429
1620568258,885429
1620568288,885429
1620568318,885429
1620568348,885429
1620568378,885429
1620568408,885429
1620568438,885429
1620568468,885429
1620568498,885429
1620568528,885429
1620568558,885429
1620568588,885429
1620568618,885429
1620568648,885429
1620568678,885429
1620568708,885429
1620568738,885429
1620568768,885429
1620568798,885429
1620568828,885429
1620568858,885429
1620568888,885429
1620568918,885429
1620568948,885429
1620568978,885429
1620569008,885429
1620569038,885429
1620569068,885429
1620569098,885429
1620569128,885429
1620569158,885429
1620569188,885429
1620569218,885429
1620569248,885429
1620569278,885429
1620569308,885429
1620569338,885429
1620569368,885429
1620569398,885429
1620569428,885429
1620569458,885429
1620569488,885429
1620569518,885429
1620569548,885429
1620569578,885429
1620569608,885429
1620569638,885429
1620569668,885429
1620569698,885429
1620569728,885429
1620569758,885429
1620569788,885429
1620569818,885429
1620569848,885429
1620569878,885429
1620569908,885429
1620569938,885429
1620569968,885429
1620569998,885429
1620570028,885429
1620570058,885429
1620570088,885429
1620570118,885429
1620570148,885429
1620570178,885429
1620570208,885429
1620570238,885429
1620570268,885429
1620570298,885429
1620570328,885429
1620570358,885429
1620570388,885429
1620570418,885429
1620570448,885429
1620570478,885429
1620570508,885429
1620570538,885429
1620570568,885429
1620570598,885429
1620570628,885429
1620570658,885429
1620570688,885429
1620570718,885429
1620570748,885429
1620570778,885429
1620570808,885429
1620570838,885429
1620570868,885429
1620570898,885429
1620570928,885429
1620570958,885429
1620570988,885429
1620571018,885429
1620571048,885429
1620571078,885429
1620571108,885429
1620571138,885429
1620571168,885429
1620571198,885429
1620571228,885429
1620571258,885429
1620571288,885429
1620571318,885429
1620571348,885429
1620571378,885429
1620571408,885429
1620571438,885429
1620571468,885429
1620571498,885429
1620571528,885429
1620571558,885429
1620571588,885429
1620571618,885429
1620571648,885429
1620571678,885429
1620571708,885429
1620571738,885429
1620571768,885429
1620571798,885429
1620571828,885429
1620571858,885429
1620571888,885429
1620571918,885429
1620571948,885429
1620571978,885429
1620572008,885429
1620572038,885429
1620572068,885429
1620572098,885429
1620572128,885429
1620572158,885429
1620572188,885429
1620572218,885429
1620572248,885429
1620572278,885429
1620572308,885429
1620572338,885429
1620572368,885429
1620572398,885429
1620572428,885429
1620572458,885429
1620572488,885429
