t,value
1620558958,1667
1620558988,4907
1620559018,1527
1620559048,4825
1620559078,1468
1620559108,4765
1620559138,1393
1620559168,4680
1620559198,1301
1620559228,4605
1620559258,1245
1620559288,4542
1620559318,1180
1620559348,4487
1620559378,1138
1620559408,4442
1620559438,1065
1620559468,4373
1620559498,1014
1620559528,4309
1620559558,917
1620559588,4235
1620559618,876
1620559648,4170
1620559678,794
1620559708,4099
1620559738,719
1620559768,4020
1620559798,666
1620559828,3957
1620559858,580
1620559888,3884
1620559918,505
1620559948,3808
1620559978,452
1620560008,3756
1620560038,390
1620560068,3687
1620560098,314
1620560128,3612
1620560158,232
1620560188,3536
1620560218,155
1620560248,3458
1620560278,94
1620560308,3407
1620560338,32
1620560368,3341
1620560398,6639
1620560428,3274
1620560458,6560
1620560488,3209
1620560518,6518
1620560548,3166
1620560578,6464
1620560608,3100
1620560638,6403
1620560668,3017
1620560698,6322
1620560728,2927
1620560758,6235
1620560788,2858
1620560818,6147
1620560848,2784
1620560878,6075
1620560908,2705
1620560938,5997
1620560968,2619
1620560998,5931
1620561028,2567
1620561058,5872
1620561088,2512
1620561118,5805
1620561148,2433
1620561178,5729
1620561208,2374
1620561238,5689
1620561268,2326
1620561298,5641
1620561328,2279
1620561358,5583
1620561388,2209
1620561418,5528
1620561448,2161
1620561478,5455
1620561508,2074
1620561538,5395
1620561568,2035
1620561598,5332
1620561628,1955
1620561658,5257
1620561688,1892
1620561718,5208
1620561748,1827
1620561778,5143
1620561808,1766
1620561838,5089
1620561868,1716
1620561898,5018
1620561928,1658
1620561958,4978
1620561988,1629
1620562018,4940
1620562048,1555
1620562078,4843
1620562108,1485
1620562138,4772
1620562168,1396
1620562198,4686
1620562228,1334
1620562258,4631
1620562288,1280
1620562318,4593
1620562348,1240
1620562378,4542
1620562408,1178
1620562438,4481
1620562468,1107
1620562498,4421
1620562528,1047
1620562558,4341
1620562588,980
1620562618,4283
1620562648,926
1620562678,4235
1620562708,860
1620562738,4165
1620562768,800
1620562798,4100
1620562828,725
1620562858,4048
1620562888,669
1620562918,3980
1620562948,612
1620562978,3908
1620563008,545
1620563038,3843
1620563068,468
1620563098,3772
1620563128,393
1620563158,3701
1620563188,315
1620563218,3620
1620563248,264
