t,value
1620558028,46
1620558958,46
1620558988,46
1620559018,46
1620559048,46
1620559078,46
1620559108,46
1620559138,46
1620559168,46
1620559198,46
1620559228,46
1620559258,46
1620559288,46
1620559318,46
1620559348,46
1620559378,46
1620559408,46
1620559438,46
1620559468,46
1620559498,46
1620559528,46
1620559558,46
1620559588,46
1620559618,46
1620559648,46
1620559678,46
1620559708,46
1620559738,46
1620559768,46
1620559798,46
1620559828,46
1620559858,46
1620559888,46
1620559918,46
1620559948,46
1620559978,46
1620560008,46
1620560038,46
1620560068,46
1620560098,46
1620560128,46
1620560158,46
1620560188,46
1620560218,46
1620560248,46
1620560278,46
1620560308,46
1620560338,46
1620560368,46
1620560398,46
1620560428,46
1620560458,46
1620560488,46
1620560518,46
1620560548,46
1620560578,46
1620560608,46
1620560638,46
1620560668,46
1620560698,46
1620560728,46
1620560758,46
1620560788,46
1620560818,46
1620560848,46
1620560878,46
1620560908,46
1620560938,46
1620560968,46
1620560998,46
1620561028,46
1620561058,46
1620561088,46
1620561118,46
1620561148,46
1620561178,46
1620561208,46
1620561238,46
1620561268,46
1620561298,46
1620561328,46
1620561358,46
1620561388,46
1620561418,46
1620561448,46
1620561478,46
1620561508,46
1620561538,46
1620561568,46
1620561598,46
1620561628,46
1620561658,46
1620561688,46
1620561718,46
1620561748,46
1620561778,46
1620561808,46
1620561838,46
1620561868,46
1620561898,46
1620561928,46
1620561958,46
1620561988,46
1620562018,46
1620562048,46
1620562078,46
1620562108,46
1620562138,46
1620562168,46
1620562198,46
1620562228,46
1620562258,46
1620562288,46
1620562318,46
1620562348,46
1620562378,46
1620562408,46
1620562438,46
1620562468,46
1620562498,46
1620562528,46
1620562558,46
1620562588,46
1620562618,46
1620562648,46
1620562678,46
1620562708,46
1620562738,46
1620562768,46
1620562798,46
1620562828,46
1620562858,46
1620562888,46
1620562918,46
1620562948,46
1620562978,46
1620563008,46
1620563038,46
1620563068,46
1620563098,46
1620563128,46
1620563158,46
1620563188,46
1620563218,46
1620563248,46
1620563278,46
1620563308,46
1620563338,46
1620563368,46
1620563398,46
1620563428,46
1620563458,46
1620563488,46
1620563518,46
1620563548,46
1620563578,46
1620563608,46
1620563638,46
1620563668,46
1620563698,46
1620563728,46
1620563758,46
1620563788,46
1620563818,46
1620563848,46
1620563878,46
1620563908,46
1620563938,46
1620563968,46
1620563998,46
1620564028,46
1620564058,46
1620564088,46
1620564118,46
1620564148,46
1620564178,46
1620564208,46
1620564238,46
1620564268,46
1620564298,46
1620564328,46
1620564358,46
1620564388,46
1620564418,46
1620564448,46
1620564478,46
1620564508,46
1620564538,46
1620564568,46
1620564598,46
1620564628,46
1620564658,46
1620564688,46
1620564718,46
1620564748,46
1620564778,46
1620564808,46
1620564838,46
1620564868,46
1620564898,46
1620564928,46
1620564958,46
1620564988,46
1620565018,46
1620565048,46
1620565078,46
1620565108,46
1620565138,46
1620565168,46
1620565198,46
1620565228,46
1620565258,46
1620565288,46
1620565318,46
1620565348,46
1620565378,46
1620565408,46
1620565438,46
1620565468,46
1620565498,46
1620565528,46
1620565558,46
1620565588,46
1620565618,46
1620565648,46
1620565678,46
1620565708,46
1620565738,46
1620565768,46
1620565798,46
1620565828,46
1620565858,46
1620565888,46
1620565918,46
1620565948,46
1620565978,46
1620566008,46
1620566038,46
1620566068,46
1620566098,46
1620566128,46
1620566158,46
1620566188,46
1620566218,46
1620566248,46
1620566278,46
1620566308,46
1620566338,46
1620566368,46
1620566398,46
1620566428,46
1620566458,46
1620566488,46
1620566518,46
1620566548,46
1620566578,46
1620566608,46
1620566638,46
1620566668,46
1620566698,46
1620566728,46
1620566758,46
1620566788,46
1620566818,46
1620566848,46
1620566878,46
1620566908,46
1620566938,46
1620566968,46
1620566998,46
1620567028,46
1620567058,46
1620567088,46
1620567118,46
1620567148,46
1620567178,46
1620567208,46
1620567238,46
1620567268,46
1620567298,46
1620567328,46
1620567358,46
1620567388,46
1620567418,46
1620567448,46
1620567478,46
1620567508,46
1620567538,46
1620567568,46
1620567598,46
1620567628,46
1620567658,46
1620567688,46
1620567718,46
1620567748,46
1620567778,46
1620567808,46
1620567838,46
1620567868,46
1620567898,46
1620567928,46
1620567958,46
1620567988,46
1620568018,46
1620568048,46
1620568078,46
1620568108,46
1620568138,46
1620568168,46
1620568198,46
1620568228,46
1620568258,46
1620568288,46
1620568318,46
1620568348,46
1620568378,46
1620568408,46
1620568438,46
1620568468,46
1620568498,46
1620568528,46
1620568558,46
1620568588,46
1620568618,46
1620568648,46
1620568678,46
1620568708,46
1620568738,46
1620568768,46
1620568798,46
1620568828,46
1620568858,46
1620568888,46
1620568918,46
1620568948,46
1620568978,46
1620569008,46
1620569038,46
1620569068,46
1620569098,46
1620569128,46
1620569158,46
1620569188,46
1620569218,46
1620569248,46
1620569278,46
1620569308,46
1620569338,46
1620569368,46
1620569398,46
1620569428,46
1620569458,46
1620569488,46
1620569518,46
1620569548,46
1620569578,46
1620569608,46
1620569638,46
1620569668,46
1620569698,46
1620569728,46
1620569758,46
1620569788,46
1620569818,46
1620569848,46
1620569878,46
1620569908,46
1620569938,46
1620569968,46
1620569998,46
1620570028,46
1620570058,46
1620570088,46
1620570118,46
1620570148,46
1620570178,46
1620570208,46
1620570238,46
1620570268,46
1620570298,46
1620570328,46
1620570358,46
1620570388,46
1620570418,46
1620570448,46
1620570478,46
1620570508,46
1620570538,46
1620570568,46
1620570598,46
1620570628,46
1620570658,46
1620570688,46
1620570718,46
1620570748,46
1620570778,46
1620570808,46
1620570838,46
1620570868,46
1620570898,46
1620570928,46
1620570958,46
1620570988,46
1620571018,46
1620571048,46
1620571078,46
1620571108,46
1620571138,46
1620571168,46
1620571198,46
1620571228,46
1620571258,46
1620571288,46
1620571318,46
1620571348,46
1620571378,46
1620571408,46
1620571438,46
1620571468,46
1620571498,46
1620571528,46
1620571558,46
1620571588,46
1620571618,46
1620571648,46
1620571678,46
1620571708,46
1620571738,46
1620571768,46
1620571798,46
1620571828,46
1620571858,46
1620571888,46
1620571918,46
1620571948,46
1620571978,46
1620572008,46
1620572038,46
1620572068,46
1620572098,46
1620572128,46
1620572158,46
1620572188,46
1620572218,46
1620572248,46
1620572278,46
1620572308,46
1620572338,46
1620572368,46
1620572398,46
1620572428,46
1620572458,46
1620572488,46
1620572518,46
1620572548,46
1620572578,46
1620572608,46
1620572638,46
1620572668,46
1620572698,46
1620572728,46
1620572758,46
