t,value
1620558028,811008
1620558958,1058092
1620558988,1058092
1620559018,1058092
1620559048,1058092
1620559078,1058092
1620559108,1058092
1620559138,1058092
1620559168,1058092
1620559198,1058092
1620559228,1058092
1620559258,1058092
1620559288,1058092
1620559318,1058092
1620559348,1058092
1620559378,1058092
1620559408,1058092
1620559438,1058092
1620559468,1058092
1620559498,1058092
1620559528,1058092
1620559558,1058092
1620559588,1058092
1620559618,1058092
1620559648,1058092
1620559678,1058092
1620559708,1058092
1620559738,1058092
1620559768,1058092
1620559798,1058092
1620559828,1058092
1620559858,1058092
1620559888,1058092
1620559918,1058092
1620559948,1058092
1620559978,1058092
1620560008,1058092
1620560038,1058092
1620560068,1058092
1620560098,1058092
1620560128,1058092
1620560158,1058092
1620560188,1058092
1620560218,1058092
1620560248,1058092
1620560278,1058092
1620560308,1058092
1620560338,1058092
1620560368,1058092
1620560398,1058092
1620560428,1058092
1620560458,1058092
1620560488,1058092
1620560518,1058092
1620560548,1058092
1620560578,1058092
1620560608,1058092
1620560638,1058092
1620560668,1058092
1620560698,1058092
1620560728,1058092
1620560758,1058092
1620560788,1058092
1620560818,1058092
1620560848,1058092
1620560878,1058092
1620560908,1058092
1620560938,1058092
1620560968,1058092
1620560998,1058092
1620561028,1058092
1620561058,1058092
1620561088,1058092
1620561118,1058092
1620561148,1058092
1620561178,1058092
1620561208,1058092
1620561238,1058092
1620561268,1058092
1620561298,1058092
1620561328,1058092
1620561358,1058092
1620561388,1058092
1620561418,1058092
1620561448,1058092
1620561478,1058092
1620561508,1058092
1620561538,1058092
1620561568,1058092
1620561598,1058092
1620561628,1058092
1620561658,1058092
1620561688,1058092
1620561718,1058092
1620561748,1058092
1620561778,1058092
1620561808,1058092
1620561838,1058092
1620561868,1058092
1620561898,1058092
1620561928,1058092
1620561958,1058092
1620561988,1058092
1620562018,1058092
1620562048,1058092
1620562078,1058092
1620562108,1058092
1620562138,1058092
1620562168,1058092
1620562198,1058092
1620562228,1058092
1620562258,1058092
1620562288,1058092
1620562318,1058092
1620562348,1058092
1620562378,1058092
1620562408,1058092
1620562438,1058092
1620562468,1058092
1620562498,1058092
1620562528,1058092
1620562558,1058092
1620562588,1058092
1620562618,1058092
1620562648,1058092
1620562678,1058092
1620562708,1058092
1620562738,1058092
1620562768,1058092
1620562798,1058092
1620562828,1058092
1620562858,1058092
1620562888,1058092
1620562918,1058092
1620562948,1058092
1620562978,1058092
1620563008,1058092
1620563038,1058092
1620563068,1058092
1620563098,1058092
1620563128,1058092
1620563158,1058092
1620563188,1058092
1620563218,1058092
1620563248,1058092
1620563278,1058092
1620563308,1058092
1620563338,1058092
1620563368,1058092
1620563398,1058092
1620563428,1058092
1620563458,1058092
1620563488,1058092
1620563518,1058092
1620563548,1058092
1620563578,1058092
1620563608,1058092
1620563638,1058092
1620563668,1058092
1620563698,1058092
1620563728,1058092
1620563758,1058092
1620563788,1058092
1620563818,1058092
1620563848,1058092
1620563878,1058092
1620563908,1058092
1620563938,1058092
1620563968,1058092
1620563998,1058092
1620564028,1058092
1620564058,1058092
1620564088,1058092
1620564118,1058092
1620564148,1058092
1620564178,1058092
1620564208,1058092
1620564238,1058092
1620564268,1058092
1620564298,1058092
1620564328,1058092
1620564358,1058092
1620564388,1058092
1620564418,1058092
1620564448,1058092
1620564478,1058092
1620564508,1058092
1620564538,1058092
1620564568,1058092
1620564598,1058092
1620564628,1058092
1620564658,1058092
1620564688,1058092
1620564718,1058092
1620564748,1058092
1620564778,1058092
1620564808,1058092
1620564838,1058092
1620564868,1058092
1620564898,1058092
1620564928,1058092
1620564958,1058092
1620564988,1058092
1620565018,1058092
1620565048,1058092
1620565078,1058092
1620565108,1058092
1620565138,1058092
1620565168,1058092
1620565198,1058092
1620565228,1058092
1620565258,1058092
1620565288,1058092
1620565318,1058092
1620565348,1058092
1620565378,1058092
1620565408,1058092
1620565438,1058092
1620565468,1058092
1620565498,1058092
1620565528,1058092
