t,value
1620558028,8555
1620558958,1712416
1620558988,14375612
1620559018,14375612
1620559048,14375612
1620559078,14375612
1620559108,14375612
1620559138,14375612
1620559168,14375612
1620559198,14375612
1620559228,14375612
1620559258,14375612
1620559288,14375612
1620559318,14375612
1620559348,14375612
1620559378,14375612
1620559408,14375612
1620559438,14375612
1620559468,14375612
1620559498,14375612
1620559528,14375612
1620559558,14375612
1620559588,14375612
1620559618,14375612
1620559648,14375612
1620559678,14375612
1620559708,14375612
1620559738,14375612
1620559768,14375612
1620559798,14375612
1620559828,14375612
1620559858,14375612
1620559888,14375612
1620559918,14375612
1620559948,14375612
1620559978,14375612
1620560008,14375612
1620560038,14375612
1620560068,14375612
1620560098,14375612
1620560128,14375612
1620560158,14375612
1620560188,14375612
1620560218,14375612
1620560248,14375612
1620560278,14375612
1620560308,14375612
1620560338,14375612
1620560368,14375612
1620560398,14375612
1620560428,14375612
1620560458,14375612
1620560488,14375612
1620560518,14375612
1620560548,14375612
1620560578,14375612
1620560608,14375612
1620560638,14375612
1620560668,14375612
1620560698,14375612
1620560728,14375612
1620560758,14375612
1620560788,14375612
1620560818,14375612
1620560848,14375612
1620560878,14375612
1620560908,14375612
1620560938,14375612
1620560968,14375612
1620560998,14375612
1620561028,14375612
1620561058,14375612
1620561088,14375612
1620561118,14375612
1620561148,14375612
1620561178,14375612
1620561208,14375612
1620561238,14375612
1620561268,14375612
1620561298,14375612
1620561328,14375612
1620561358,14375612
1620561388,14375612
1620561418,14375612
1620561448,14375612
1620561478,14375612
1620561508,14375612
1620561538,14375612
1620561568,14375612
1620561598,14375612
1620561628,14375612
1620561658,14375612
1620561688,14375612
1620561718,14375612
1620561748,14375612
1620561778,14375612
1620561808,14375612
1620561838,14375612
1620561868,14375612
1620561898,14375612
1620561928,14375612
1620561958,14375612
1620561988,14375612
1620562018,14375612
1620562048,14375612
1620562078,14375612
1620562108,14375612
1620562138,14375612
1620562168,14375612
1620562198,14375612
1620562228,14375612
1620562258,14375612
1620562288,14375612
1620562318,14375612
1620562348,14375612
1620562378,14375612
1620562408,14375612
1620562438,14375612
1620562468,14375612
1620562498,14375612
1620562528,14375612
1620562558,14375612
1620562588,14375612
1620562618,14375612
1620562648,14375612
1620562678,14375612
1620562708,14375612
1620562738,14375612
1620562768,14375612
1620562798,14375612
1620562828,14375612
1620562858,14375612
1620562888,14375612
1620562918,14375612
1620562948,14375612
1620562978,14375612
1620563008,14375612
1620563038,14375612
1620563068,14375612
1620563098,14375612
1620563128,14375612
1620563158,14375612
1620563188,14375612
1620563218,14375612
1620563248,14375612
1620563278,14375612
1620563308,14375612
1620563338,14375612
1620563368,14375612
1620563398,14375612
1620563428,14375612
1620563458,14375612
1620563488,14375612
1620563518,14375612
1620563548,14375612
1620563578,14375612
1620563608,14375612
1620563638,14375612
1620563668,14375612
1620563698,14375612
1620563728,14375612
1620563758,14375612
1620563788,14375612
1620563818,14375612
1620563848,14375612
1620563878,14375612
1620563908,14375612
1620563938,14375612
1620563968,14375612
1620563998,14375612
1620564028,14375612
1620564058,14375612
1620564088,14375612
1620564118,14375612
1620564148,14375612
1620564178,14375612
1620564208,14375612
1620564238,14375612
1620564268,14375612
1620564298,14375612
1620564328,14375612
1620564358,14375612
1620564388,14375612
1620564418,14375612
1620564448,14375612
1620564478,14375612
1620564508,14375612
1620564538,14375612
1620564568,14375612
1620564598,14375612
1620564628,14375612
1620564658,14375612
1620564688,14375612
1620564718,14375612
1620564748,14375612
1620564778,14375612
1620564808,14375612
1620564838,14375612
1620564868,14375612
1620564898,14375612
1620564928,14375612
1620564958,14375612
1620564988,14375612
1620565018,14375612
1620565048,14375612
1620565078,14375612
1620565108,14375612
1620565138,14375612
1620565168,14375612
1620565198,14375612
1620565228,14375612
1620565258,14375612
1620565288,14375612
1620565318,14375612
1620565348,14375612
1620565378,14375612
1620565408,14375612
1620565438,14375612
1620565468,14375612
1620565498,14375612
1620565528,14375612
1620565558,14375612
1620565588,14375612
1620565618,14375612
1620565648,14375612
1620565678,14375612
1620565708,14375612
1620565738,14375612
1620565768,14375612
1620565798,14375612
1620565828,14375612
1620565858,14375612
1620565888,14375612
1620565918,14375612
1620565948,14375612
1620565978,14375612
1620566008,14375612
1620566038,14375612
1620566068,14375612
1620566098,14375612
1620566128,14375612
1620566158,14375612
1620566188,14375612
1620566218,14375612
1620566248,14375612
1620566278,14375612
1620566308,14375612
1620566338,14375612
1620566368,14375612
1620566398,14375612
1620566428,14375612
1620566458,14375612
1620566488,14375612
1620566518,14375612
1620566548,14375612
1620566578,14375612
1620566608,14375612
1620566638,14375612
1620566668,14375612
1620566698,14375612
1620566728,14375612
1620566758,14375612
1620566788,14375612
1620566818,14375612
1620566848,14375612
1620566878,14375612
1620566908,14375612
1620566938,14375612
1620566968,14375612
1620566998,14375612
1620567028,14375612
1620567058,14375612
1620567088,14375612
1620567118,14375612
1620567148,14375612
1620567178,14375612
1620567208,14375612
1620567238,14375612
1620567268,14375612
1620567298,14375612
1620567328,14375612
1620567358,14375612
1620567388,14375612
1620567418,14375612
1620567448,14375612
1620567478,14375612
1620567508,14375612
1620567538,14375612
1620567568,14375612
1620567598,14375612
1620567628,14375612
1620567658,14375612
1620567688,14375612
1620567718,14375612
1620567748,14375612
1620567778,14375612
1620567808,14375612
1620567838,14375612
1620567868,14375612
1620567898,14375612
1620567928,14375612
1620567958,14375612
1620567988,14375612
1620568018,14375612
1620568048,14375612
1620568078,14375612
1620568108,14375612
1620568138,14375612
1620568168,14375612
1620568198,14375612
1620568228,14375612
1620568258,14375612
1620568288,14375612
1620568318,14375612
1620568348,14375612
1620568378,14375612
1620568408,14375612
1620568438,14375612
1620568468,14375612
1620568498,14375612
1620568528,14375612
1620568558,14375612
1620568588,14375612
1620568618,14375612
1620568648,14375612
1620568678,14375612
1620568708,14375612
1620568738,14375612
1620568768,14375612
1620568798,14375612
1620568828,14375612
1620568858,14375612
1620568888,14375612
1620568918,14375612
1620568948,14375612
1620568978,14375612
1620569008,14375612
1620569038,14375612
1620569068,14375612
1620569098,14375612
1620569128,14375612
1620569158,14375612
1620569188,14375612
1620569218,14375612
1620569248,14375612
1620569278,14375612
1620569308,14375612
1620569338,14375612
1620569368,14375612
1620569398,14375612
1620569428,14375612
1620569458,14375612
1620569488,14375612
1620569518,14375612
1620569548,14375612
1620569578,14375612
1620569608,14375612
1620569638,14375612
1620569668,14375612
1620569698,14375612
1620569728,14375612
1620569758,14375612
1620569788,14375612
1620569818,14375612
1620569848,14375612
1620569878,14375612
1620569908,14375612
1620569938,14375612
1620569968,14375612
1620569998,14375612
1620570028,14375612
1620570058,14375612
1620570088,14375612
1620570118,14375612
1620570148,14375612
1620570178,14375612
1620570208,14375612
1620570238,14375612
1620570268,14375612
1620570298,14375612
1620570328,14375612
1620570358,14375612
1620570388,14375612
1620570418,14375612
1620570448,14375612
1620570478,14375612
1620570508,14375612
1620570538,14375612
1620570568,14375612
1620570598,14375612
1620570628,14375612
1620570658,14375612
1620570688,14375612
1620570718,14375612
1620570748,14375612
1620570778,14375612
1620570808,14375612
1620570838,14375612
1620570868,14375612
1620570898,14375612
1620570928,14375612
1620570958,14375612
1620570988,14375612
1620571018,14375612
1620571048,14375612
1620571078,14375612
1620571108,14375612
1620571138,14375612
1620571168,14375612
1620571198,14375612
1620571228,14375612
1620571258,14375612
1620571288,14375612
1620571318,14375612
1620571348,14375612
1620571378,14375612
1620571408,14375612
1620571438,14375612
1620571468,14375612
1620571498,14375612
1620571528,14375612
1620571558,14375612
1620571588,14375612
1620571618,14375612
1620571648,14375612
1620571678,14375612
1620571708,14375612
1620571738,14375612
1620571768,14375612
1620571798,14375612
1620571828,14375612
1620571858,14375612
1620571888,14375612
1620571918,14375612
1620571948,14375612
1620571978,14375612
1620572008,14375612
1620572038,14375612
1620572068,14375612
1620572098,14375612
1620572128,14375612
1620572158,14375612
1620572188,14375612
1620572218,14375612
1620572248,14375612
1620572278,14375612
1620572308,14375612
1620572338,14375612
1620572368,14375612
1620572398,14375612
1620572428,14375612
1620572458,14375612
1620572488,14375612
1620572518,14375612
1620572548,14375612
1620572578,14375612
1620572608,14375612
1620572638,14375612
1620572668,14375612
1620572698,14375612
1620572728,14375612
1620572758,14375612
1620572788,14375612
1620572818,14375612
1620572848,14375612
1620572878,14375612
1620572908,14375612
1620572938,14375612
1620572968,14375612
1620572998,14375612
1620573028,14375612
1620573058,14375612
1620573088,14375612
1620573118,14375612
1620573148,14375612
1620573178,14375612
1620573208,14375612
1620573238,14375612
1620573268,14375612
1620573298,14375612
1620573328,14375612
1620573358,14375612
1620573388,14375612
1620573418,14375612
1620573448,14375612
1620573478,14375612
1620573508,14375612
1620573538,14375612
1620573568,14375612
1620573598,14375612
1620573628,14375612
1620573658,14375612
1620573688,14375612
1620573718,14375612
1620573748,14375612
1620573778,14375612
1620573808,14375612
1620573838,14375612
1620573868,14375612
1620573898,14375612
1620573928,14375612
1620573958,14375612
1620573988,14375612
1620574018,14375612
1620574048,14375612
1620574078,14375612
1620574108,14375612
1620574138,14375612
1620574168,14375612
1620574198,14375612
1620574228,14375612
1620574258,14375612
1620574288,14375612
1620574318,14375612
1620574348,14375612
1620574378,14375612
1620574408,14375612
1620574438,14375612
1620574468,14375612
1620574498,14375612
1620574528,14375612
1620574558,14375612
1620574588,14375612
1620574618,14375612
1620574648,14375612
1620574678,14375612
1620574708,14375612
1620574738,14375612
1620574768,14375612
1620574798,14375612
1620574828,14375612
1620574858,14375612
1620574888,14375612
1620574918,14375612
1620574948,14375612
1620574978,14375612
1620575008,14375612
1620575038,14375612
1620575068,14375612
1620575098,14375612
1620575128,14375612
1620575158,14375612
1620575188,14375612
1620575218,14375612
1620575248,14375612
1620575278,14375612
1620575308,14375612
1620575338,14375612
1620575368,14375612
1620575398,14375612
1620575428,14375612
1620575458,14375612
1620575488,14375612
1620575518,14375612
1620575548,14375612
1620575578,14375612
1620575608,14375612
1620575638,14375612
1620575668,14375612
1620575698,14375612
1620575728,14375612
1620575758,14375612
1620575788,14375612
1620575818,14375612
1620575848,14375612
1620575878,14375612
1620575908,14375612
1620575938,14375612
1620575968,14375612
1620575998,14375612
1620576028,14375612
1620576058,14375612
1620576088,14375612
1620576118,14375612
1620576148,14375612
1620576178,14375612
1620576208,14375612
1620576238,14375612
1620576268,14375612
1620576298,14375612
1620576328,14375612
1620576358,14375612
1620576388,14375612
1620576418,14375612
1620576448,14375612
1620576478,14375612
1620576508,14375612
1620576538,14375612
1620576568,14375612
1620576598,14375612
1620576628,14375612
1620576658,14375612
1620576688,14375612
1620576718,14375612
1620576748,14375612
1620576778,14375612
1620576808,14375612
1620576838,14375612
1620576868,14375612
1620576898,14375612
1620576928,14375612
1620576958,14375612
1620576988,14375612
1620577018,14375612
1620577048,14375612
1620577078,14375612
1620577108,14375612
1620577138,14375612
1620577168,14375612
