t,value
1620558028,168820736
1620558958,51380224
1620558988,15728640
1620559018,114294784
1620559048,141557760
1620559078,149946368
1620559108,174063616
1620559138,182452224
1620559168,209715200
1620559198,218103808
1620559228,242221056
1620559258,250609664
1620559288,277872640
1620559318,286261248
1620559348,13631488
1620559378,22020096
1620559408,47185920
1620559438,70254592
1620559468,96468992
1620559498,101711872
1620559528,130023424
1620559558,138412032
1620559588,161480704
1620559618,169869312
1620559648,196083712
1620559678,204472320
1620559708,228589568
1620559738,236978176
1620559768,268435456
1620559798,282066944
1620559828,308281344
1620559858,2097152
1620559888,33554432
1620559918,40894464
1620559948,70254592
1620559978,78643200
1620560008,108003328
1620560038,116391936
1620560068,142606336
1620560098,150994944
1620560128,178257920
1620560158,186646528
1620560188,212860928
1620560218,223346688
1620560248,252706816
1620560278,261095424
1620560308,287309824
1620560338,297795584
1620560368,15728640
1620560398,28311552
1620560428,54525952
1620560458,63963136
1620560488,95420416
1620560518,101711872
1620560548,141557760
1620560578,149946368
1620560608,176160768
1620560638,187695104
1620560668,214958080
1620560698,224395264
1620560728,252706816
1620560758,263192576
1620560788,7340032
1620560818,17825792
1620560848,42991616
1620560878,55574528
1620560908,81788928
1620560938,93323264
1620560968,117440512
1620560998,126877696
1620561028,154140672
1620561058,161480704
1620561088,189792256
1620561118,196083712
1620561148,221249536
1620561178,230686720
1620561208,271581184
1620561238,282066944
1620561268,309329920
1620561298,3145728
1620561328,34603008
1620561358,41943040
1620561388,67108864
1620561418,79691776
1620561448,114294784
1620561478,120586240
1620561508,145752064
1620561538,155189248
1620561568,180355072
1620561598,188743680
1620561628,214958080
1620561658,225443840
1620561688,252706816
1620561718,258998272
1620561748,287309824
1620561778,294649856
1620561808,5242880
1620561838,15728640
1620561868,41943040
1620561898,51380224
1620561928,79691776
1620561958,85983232
1620561988,113246208
1620562018,120586240
1620562048,146800640
1620562078,153092096
1620562108,179306496
1620562138,185597952
1620562168,210763776
1620562198,216006656
1620562228,241172480
1620562258,247463936
1620562288,273678336
1620562318,279969792
1620562348,305135616
1620562378,311427072
1620562408,24117248
1620562438,30408704
1620562468,55574528
1620562498,62914560
1620562528,89128960
1620562558,95420416
1620562588,121634816
1620562618,127926272
1620562648,153092096
1620562678,160432128
1620562708,184549376
1620562738,190840832
1620562768,217055232
1620562798,223346688
1620562828,248512512
1620562858,254803968
1620562888,279969792
1620562918,287309824
1620562948,312475648
1620562978,5242880
1620563008,31457280
1620563038,37748736
1620563068,62914560
1620563098,70254592
1620563128,95420416
1620563158,100663296
1620563188,125829120
1620563218,133169152
1620563248,159383552
1620563278,165675008
1620563308,190840832
1620563338,198180864
1620563368,223346688
1620563398,229638144
1620563428,254803968
1620563458,262144000
1620563488,287309824
1620563518,293601280
1620563548,5242880
1620563578,12582912
1620563608,37748736
1620563638,45088768
1620563668,70254592
1620563698,76546048
1620563728,101711872
1620563758,109051904
1620563788,134217728
1620563818,140509184
1620563848,166723584
1620563878,173015040
1620563908,198180864
1620563938,204472320
1620563968,230686720
1620563998,236978176
1620564028,261095424
1620564058,267386880
1620564088,292552704
1620564118,299892736
1620564148,12582912
1620564178,18874368
1620564208,44040192
1620564238,51380224
1620564268,76546048
1620564298,82837504
1620564328,109051904
1620564358,115343360
1620564388,140509184
1620564418,146800640
1620564448,171966464
1620564478,178257920
1620564508,203423744
1620564538,210763776
1620564568,235929600
1620564598,242221056
1620564628,267386880
1620564658,274726912
1620564688,299892736
1620564718,306184192
1620564748,19922944
1620564778,26214400
1620564808,51380224
1620564838,57671680
1620564868,82837504
1620564898,89128960
1620564928,115343360
1620564958,122683392
1620564988,147849216
1620565018,154140672
1620565048,179306496
1620565078,185597952
1620565108,211812352
1620565138,218103808
1620565168,242221056
1620565198,248512512
1620565228,274726912
1620565258,281018368
1620565288,306184192
1620565318,1048576
1620565348,25165824
1620565378,31457280
1620565408,57671680
1620565438,63963136
1620565468,90177536
1620565498,96468992
1620565528,121634816
1620565558,128974848
1620565588,154140672
1620565618,161480704
1620565648,185597952
1620565678,192937984
1620565708,218103808
1620565738,224395264
1620565768,250609664
1620565798,256901120
1620565828,282066944
1620565858,288358400
1620565888,1048576
1620565918,8388608
1620565948,33554432
1620565978,39845888
1620566008,65011712
1620566038,71303168
1620566068,96468992
1620566098,103809024
1620566128,128974848
1620566158,136314880
1620566188,161480704
1620566218,168820736
1620566248,193986560
1620566278,200278016
1620566308,226492416
1620566338,232783872
1620566368,257949696
1620566398,264241152
1620566428,290455552
1620566458,296747008
1620566488,9437184
1620566518,16777216
1620566548,40894464
1620566578,47185920
1620566608,72351744
1620566638,78643200
1620566668,104857600
1620566698,111149056
1620566728,136314880
1620566758,143654912
1620566788,168820736
1620566818,176160768
1620566848,201326592
1620566878,207618048
1620566908,232783872
1620566938,239075328
1620566968,265289728
1620566998,271581184
1620567028,296747008
1620567058,304087040
1620567088,16777216
1620567118,22020096
1620567148,47185920
1620567178,54525952
1620567208,79691776
1620567238,85983232
1620567268,111149056
1620567298,118489088
1620567328,143654912
1620567358,150994944
1620567388,176160768
1620567418,182452224
1620567448,208666624
1620567478,213909504
1620567508,240123904
1620567538,246415360
1620567568,271581184
1620567598,277872640
1620567628,304087040
1620567658,310378496
1620567688,23068672
1620567718,30408704
1620567748,55574528
1620567778,61865984
1620567808,87031808
1620567838,94371840
1620567868,119537664
1620567898,126877696
1620567928,150994944
1620567958,157286400
1620567988,183500800
1620568018,189792256
1620568048,214958080
1620568078,221249536
1620568108,247463936
1620568138,253755392
1620568168,278921216
1620568198,285212672
1620568228,311427072
1620568258,3145728
1620568288,29360128
1620568318,36700160
1620568348,61865984
1620568378,68157440
1620568408,93323264
1620568438,100663296
1620568468,125829120
1620568498,132120576
1620568528,157286400
1620568558,163577856
1620568588,188743680
1620568618,195035136
1620568648,220200960
1620568678,227540992
1620568708,252706816
1620568738,258998272
1620568768,285212672
1620568798,291504128
1620568828,2097152
1620568858,9437184
1620568888,34603008
1620568918,41943040
1620568948,67108864
1620568978,73400320
1620569008,99614720
1620569038,105906176
1620569068,131072000
1620569098,138412032
1620569128,163577856
1620569158,169869312
1620569188,195035136
1620569218,201326592
1620569248,226492416
1620569278,232783872
1620569308,257949696
1620569338,265289728
1620569368,290455552
1620569398,297795584
1620569428,5242880
1620569458,12582912
1620569488,36700160
1620569518,42991616
1620569548,69206016
1620569578,75497472
1620569608,100663296
1620569638,108003328
1620569668,133169152
1620569698,139460608
1620569728,165675008
1620569758,173015040
1620569788,198180864
1620569818,204472320
1620569848,230686720
1620569878,236978176
1620569908,262144000
1620569938,268435456
1620569968,293601280
1620569998,300941312
1620570028,10485760
1620570058,16777216
1620570088,41943040
1620570118,49283072
1620570148,72351744
1620570178,79691776
1620570208,104857600
1620570238,112197632
1620570268,137363456
1620570298,143654912
1620570328,169869312
1620570358,176160768
1620570388,201326592
1620570418,208666624
1620570448,233832448
1620570478,240123904
1620570508,265289728
1620570538,271581184
1620570568,296747008
1620570598,303038464
1620570628,11534336
1620570658,18874368
1620570688,42991616
1620570718,50331648
1620570748,74448896
1620570778,80740352
1620570808,105906176
1620570838,113246208
1620570868,138412032
1620570898,145752064
1620570928,170917888
1620570958,177209344
1620570988,202375168
1620571018,209715200
1620571048,234881024
1620571078,241172480
1620571108,266338304
1620571138,273678336
1620571168,298844160
1620571198,305135616
1620571228,13631488
1620571258,19922944
1620571288,45088768
1620571318,51380224
1620571348,77594624
1620571378,83886080
1620571408,109051904
1620571438,115343360
1620571468,140509184
1620571498,147849216
1620571528,173015040
1620571558,180355072
1620571588,205520896
1620571618,211812352
1620571648,238026752
1620571678,244318208
1620571708,269484032
1620571738,275775488
1620571768,299892736
1620571798,306184192
1620571828,14680064
1620571858,20971520
1620571888,46137344
1620571918,52428800
1620571948,78643200
1620571978,84934656
1620572008,110100480
1620572038,116391936
1620572068,141557760
1620572098,147849216
1620572128,174063616
1620572158,180355072
1620572188,205520896
1620572218,212860928
1620572248,238026752
1620572278,244318208
1620572308,269484032
1620572338,276824064
1620572368,301989888
1620572398,308281344
1620572428,16777216
1620572458,23068672
1620572488,47185920
1620572518,53477376
1620572548,78643200
1620572578,85983232
1620572608,111149056
1620572638,117440512
1620572668,142606336
1620572698,149946368
1620572728,175112192
1620572758,182452224
1620572788,207618048
1620572818,213909504
1620572848,240123904
1620572878,246415360
1620572908,271581184
1620572938,278921216
1620572968,304087040
1620572998,310378496
1620573028,16777216
1620573058,24117248
1620573088,48234496
1620573118,54525952
1620573148,80740352
1620573178,87031808
1620573208,112197632
1620573238,119537664
1620573268,144703488
1620573298,150994944
1620573328,177209344
1620573358,184549376
1620573388,209715200
1620573418,216006656
1620573448,241172480
1620573478,248512512
